,,"Tabela 1 - População residente, total e respectiva distribuição percentual, por situação do domicílio e sexo, e razão de sexo,",,,,,,,,,
,, segundo os municípios e as classes de tamanho da população dos municípios - Brasil - 2010,,,,,,,,,
,,,,,,,,,,,
Código do Município,Sigla da Unidade da Federação,"Municípios e classes de tamanhoda população dos municípios (habitantes)",População residente,,,,,"Razão desexo(% )",,,
,,,Total,Distribição percentual (%),,,,,,,
,,,,Situação do domicílio,,Sexo,,,,,
,,,,Urbana,Rural,Homem,Mulher,,,,
,,               Brasil, 190 755 799,84.4,15.6,49.0,51.0,96.0,,,
,,Até  5.000 , 4 374 345,56.3,43.7,51.1,48.9,104.4,,,
4200051,SC,Abdon Batista,  2 653,27.3,72.7,52.1,47.9,108.7,,,
1700251,TO,Abreulândia,  2 391,61.7,38.3,52.7,47.3,111.6,,,
3100401,MG,Acaiaca,  3 920,65.1,34.9,48.3,51.7,93.5,,,
4300034,RS,Aceguá,  4 394,24.1,75.9,52.4,47.6,110.1,,,
5200159,GO,Adelândia,  2 477,89.1,10.9,51.4,48.6,105.7,,,
3500204,SP,Adolfo,  3 557,90.0,10.0,50.2,49.8,101.0,,,
4200309,SC,Agronômica,  4 904,37.9,62.1,50.9,49.1,103.7,,,
3100708,MG,Água Comprida,  2 025,75.1,24.9,53.0,47.0,112.7,,,
5200209,GO,Água Limpa,  2 013,70.8,29.2,52.1,47.9,108.6,,,
2400406,RN,Água Nova,  2 980,64.0,36.0,49.7,50.3,98.6,,,
4300059,RS,Água Santa,  3 722,38.9,61.1,50.5,49.5,101.9,,,
3100807,MG,Aguanil,  4 054,57.8,42.2,50.8,49.2,103.4,,,
3500600,SP,Águas de São Pedro,  2 707,100.0,-,46.6,53.4,87.3,,,
4200556,SC,Águas Frias,  2 424,40.5,59.5,52.8,47.2,111.7,,,
2900603,BA,Aiquara,  4 602,58.2,41.8,51.1,48.9,104.5,,,
3101300,MG,Alagoa,  2 709,41.0,59.0,52.0,48.0,108.2,,,
3500758,SP,Alambari,  4 884,75.2,24.8,50.3,49.7,101.2,,,
3101409,MG,Albertina,  2 913,69.1,30.9,51.1,48.9,104.4,,,
5000252,MS,Alcinópolis,  4 569,68.6,31.4,53.2,46.8,113.8,,,
4300455,RS,Alegria,  4 301,36.9,63.2,50.0,50.0,99.9,,,
3500808,SP,Alfredo Marcondes,  3 891,83.7,16.4,50.9,49.1,103.7,,,
2500577,PB,Algodão de Jandaíra,  2 366,52.0,48.0,51.4,48.6,105.9,,,
2400604,RN,Almino Afonso,  4 871,71.4,28.6,51.3,48.7,105.2,,,
4300471,RS,Almirante Tamandaré do Sul,  2 067,40.6,59.4,50.4,49.6,101.5,,,
5200506,GO,Aloândia,  2 051,86.3,13.8,51.1,48.9,104.5,,,
3500907,SP,Altair,  3 815,79.2,20.8,53.8,46.2,116.3,,,
4100459,PR,Altamira do Paraná,  4 306,49.6,50.4,51.1,48.9,104.7,,,
3501103,SP,Alto Alegre,  4 102,78.8,21.2,51.4,48.6,105.8,,,
4300554,RS,Alto Alegre,  1 848,40.2,59.8,51.1,48.9,104.4,,,
4200754,SC,Alto Bela Vista,  2 005,30.2,69.8,50.1,49.9,100.5,,,
4300570,RS,Alto Feliz,  2 917,28.0,72.0,51.4,48.6,105.8,,,
5200555,GO,Alto Horizonte,  4 505,85.8,14.3,52.2,47.8,109.2,,,
4128625,PR,Alto Paraíso,  3 206,55.3,44.7,50.5,49.5,102.0,,,
3102209,MG,Alvarenga,  4 444,47.7,52.3,50.4,49.6,101.5,,,
3501202,SP,Álvares Florence,  3 897,68.0,32.1,51.3,48.7,105.3,,,
3501400,SP,Álvaro de Carvalho,  4 650,63.5,36.5,63.6,36.4,175.0,,,
3501509,SP,Alvinlândia,  3 000,89.8,10.2,49.4,50.6,97.6,,,
3102407,MG,Alvorada de Minas,  3 546,40.9,59.1,50.2,49.8,100.7,,,
5200829,GO,Amaralina,  3 434,32.1,67.9,53.4,46.6,114.5,,,
5200902,GO,Amorinópolis,  3 609,60.2,39.8,50.7,49.3,102.9,,,
2500734,PB,Amparo,  2 088,50.9,49.1,50.1,49.9,100.6,,,
2800100,SE,Amparo de São Francisco,  2 275,80.9,19.1,49.9,50.1,99.6,,,
4101051,PR,Anahy,  2 874,73.4,26.7,50.1,49.9,100.3,,,
3502002,SP,Analândia,  4 293,79.4,20.6,51.3,48.7,105.4,,,
4300661,RS,André da Rocha,  1 216,40.8,59.2,51.0,49.0,104.0,,,
1701051,TO,Angico,  3 175,61.0,39.0,52.7,47.3,111.4,,,
4101150,PR,Ângulo,  2 859,78.8,21.2,51.0,49.0,103.9,,,
5201207,GO,Anhanguera,  1 020,93.6,6.4,50.6,49.4,102.4,,,
3502408,SP,Anhumas,  3 738,81.8,18.2,49.8,50.2,99.4,,,
4201109,SC,Anitápolis,  3 214,40.9,59.1,52.1,47.9,108.9,,,
2200806,PI,Antônio Almeida,  3 039,73.2,26.8,51.3,48.7,105.2,,,
3103108,MG,Antônio Prado de Minas,  1 671,60.0,40.0,51.5,48.5,106.3,,,
5201454,GO,Aparecida do Rio Doce,  2 427,80.4,19.7,51.1,48.9,104.6,,,
1701101,TO,Aparecida do Rio Negro,  4 213,78.6,21.4,51.5,48.5,106.2,,,
3502606,SP,Aparecida d'Oeste,  4 450,81.9,18.1,48.9,51.1,95.8,,,
5201504,GO,Aporé,  3 803,66.8,33.2,52.7,47.3,111.5,,,
4201273,SC,Arabutã,  4 193,31.2,68.8,50.9,49.1,103.5,,,
3103207,MG,Araçaí,  2 243,79.5,20.5,48.3,51.7,93.3,,,
3103306,MG,Aracitaba,  2 058,79.7,20.3,51.2,48.8,104.8,,,
5201603,GO,Araçu,  3 802,88.3,11.7,50.2,49.8,100.8,,,
