"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110009 Espigão D'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"130100 Carauari";-;-;-;-;-;-;-;-;-;-;1;11;12
"150010 Abaetetuba";1;-;-;1;-;2;1;-;1;1;-;1;8
"150020 Acará";-;-;-;-;-;-;-;-;3;-;-;-;3
"150070 Anajás";-;-;-;-;1;-;-;-;1;-;-;-;2
"150080 Ananindeua";-;-;-;3;-;-;-;1;1;5;-;-;10
"150085 Anapu";-;-;-;-;-;-;-;1;-;-;-;-;1
"150130 Barcarena";-;-;-;1;-;1;-;1;-;1;1;-;5
"150140 Belém";4;1;-;-;-;-;-;6;20;5;1;4;41
"150170 Bragança";-;-;-;-;-;-;-;-;-;-;1;-;1
"150180 Breves";-;-;-;-;-;-;-;5;3;1;-;1;10
"150190 Bujaru";-;-;1;-;-;-;-;-;1;-;-;-;2
"150210 Cametá";-;-;-;-;-;-;-;-;3;-;-;-;3
"150240 Castanhal";-;-;-;-;-;-;-;-;-;1;-;-;1
"150260 Colares";-;-;-;-;-;-;-;-;1;-;-;-;1
"150270 Conceição do Araguaia";-;-;-;-;-;-;-;-;-;1;2;-;3
"150280 Curralinho";-;-;-;-;-;-;-;1;-;-;-;-;1
"150330 Igarapé-Miri";1;1;-;1;-;1;-;2;4;-;2;-;12
"150350 Irituia";-;-;-;-;-;-;-;-;-;2;-;-;2
"150442 Marituba";-;-;-;-;-;-;-;-;-;1;-;-;1
"150450 Melgaço";-;-;-;-;-;-;-;1;1;-;-;-;2
"150470 Moju";-;1;-;-;-;-;-;1;-;-;3;-;5
"150490 Muaná";-;-;-;-;-;-;-;-;3;2;1;-;6
"150506 Novo Repartimento";-;-;-;-;-;-;-;-;-;-;1;-;1
"150613 Redenção";-;-;-;-;-;-;-;1;-;-;-;1;2
"150720 São Domingos do Capim";1;-;-;-;-;1;-;-;-;-;-;-;2
"150810 Tucuruí";-;-;-;-;-;-;-;1;-;-;-;-;1
"160030 Macapá";2;1;-;-;-;-;1;-;2;-;-;-;6
"160060 Santana";1;-;-;-;-;-;-;1;-;2;-;-;4
"160005 Serra do Navio";-;-;-;-;-;-;-;-;-;1;-;-;1
"170100 Ananás";-;-;-;-;-;-;-;-;-;10;1;-;11
"170220 Araguatins";-;-;-;-;-;-;-;-;1;-;-;-;1
"172120 Tocantinópolis";-;-;-;-;-;-;-;-;3;-;-;-;3
"172208 Wanderlândia";-;-;-;-;-;-;-;1;-;-;-;-;1
"210160 Barra do Corda";-;-;-;-;-;-;-;-;-;3;-;-;3
"210300 Caxias";-;-;1;-;-;-;-;-;-;-;-;-;1
"210900 Porto Franco";-;-;-;-;-;-;-;-;-;1;-;-;1
"211167 São Roberto";-;-;-;-;-;-;-;-;5;-;-;-;5
"221000 São João do Piauí";-;1;-;-;-;-;-;-;-;-;-;-;1
"261130 Pombos";-;-;-;-;-;-;2;-;-;-;-;-;2
"261220 Salgueiro";1;-;-;-;-;-;-;-;1;-;-;-;2
"261620 Vertentes";-;-;1;-;-;-;-;-;-;-;-;-;1
"520940 Guarani de Goiás";-;2;-;-;-;-;-;-;-;-;-;-;2
"521830 Posse";4;-;-;-;-;-;-;-;-;-;-;-;4
"522010 São Luís de Montes Belos";1;-;-;-;-;-;-;-;-;-;-;-;1
"522068 Simolândia";-;-;-;-;-;-;-;1;-;-;-;-;1
"Total";16;8;3;6;1;5;4;24;54;37;14;18;190
