"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120030 Feijó";-;-;-;-;1;-;-;-;-;-;-;-;1
"130014 Apuí";-;-;-;-;-;-;-;-;-;1;-;-;1
"130040 Barcelos";-;-;-;-;-;-;1;-;-;-;-;-;1
"130120 Coari";-;-;-;1;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;-;1;-;1;1;-;-;24;25;1;53
"150030 Afuá";2;-;-;-;-;-;-;-;-;-;-;1;3
"150070 Anajás";-;-;-;-;-;1;-;-;-;-;-;-;1
"150080 Ananindeua";-;-;-;-;-;-;-;1;-;-;-;-;1
"150120 Baião";-;1;-;-;-;-;-;-;-;-;-;-;1
"150125 Bannach";-;1;-;-;-;-;-;-;-;-;-;-;1
"150130 Barcarena";-;-;-;-;-;-;-;1;2;1;-;-;4
"150140 Belém";-;-;-;-;1;-;4;4;13;17;2;1;42
"150180 Breves";-;-;-;-;-;1;5;1;3;6;9;-;25
"150200 Cachoeira do Arari";-;-;-;-;-;-;1;-;-;-;-;-;1
"150210 Cametá";-;-;-;-;-;-;-;-;-;-;-;1;1
"150220 Capanema";-;-;-;-;-;-;-;2;-;-;-;-;2
"150240 Castanhal";-;-;-;-;-;-;1;2;-;5;-;-;8
"150275 Concórdia do Pará";-;-;-;-;-;-;-;1;-;-;-;-;1
"150280 Curralinho";-;-;-;-;-;1;15;-;-;-;-;-;16
"150307 Garrafão do Norte";-;-;-;-;-;-;-;1;-;-;-;-;1
"150310 Gurupá";1;-;-;-;-;-;-;-;-;-;-;1;2
"150330 Igarapé-Miri";-;1;-;-;-;-;-;-;-;-;-;-;1
"150450 Melgaço";-;-;-;1;-;-;-;-;-;1;1;-;3
"150470 Moju";-;-;-;-;-;-;-;-;-;-;-;1;1
"150490 Muaná";-;-;-;-;-;-;-;1;-;1;-;-;2
"150550 Paragominas";-;1;-;-;-;-;-;-;-;-;-;-;1
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;4;1;1;1;7
"150580 Portel";-;-;-;-;-;-;-;14;1;-;-;-;15
"150590 Porto de Moz";-;-;1;-;-;-;-;1;-;-;-;-;2
"150630 Salvaterra";-;-;-;-;-;-;-;-;-;-;2;-;2
"150770 São Sebastião da Boa Vista";-;1;-;-;-;-;-;-;-;-;1;-;2
"150796 Terra Alta";-;-;-;-;-;-;-;3;-;-;-;-;3
"160030 Macapá";-;-;-;-;-;-;3;-;1;2;1;1;8
"210340 Coelho Neto";-;-;-;-;-;-;-;1;-;-;-;-;1
"210960 Rosário";-;-;-;-;-;-;-;-;-;1;-;-;1
"211170 São Vicente Ferrer";-;-;-;-;1;-;-;-;-;-;-;-;1
"211250 Tutóia";-;-;-;-;-;-;-;-;1;-;-;-;1
"211400 Zé Doca";-;-;-;-;-;-;-;-;-;1;-;-;1
"500660 Ponta Porã";-;1;-;-;-;-;-;-;-;-;-;-;1
"Total";3;6;1;3;3;4;31;33;25;61;42;8;220
