"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110094 Cujubim";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"120020 Cruzeiro do Sul";-;-;1;-;1;-;-;1;-;2;-;-;1;6
"120030 Feijó";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120039 Porto Walter";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130100 Carauari";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"130160 Fonte Boa";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"130185 Iranduba";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130220 Juruá";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"130240 Lábrea";-;3;-;-;-;-;-;-;-;-;-;-;2;5
"130260 Manaus";-;-;-;1;1;-;-;1;-;-;-;-;3;6
"130270 Manicoré";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"140010 Boa Vista";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150010 Abaetetuba";-;4;1;-;-;1;1;1;-;1;3;2;-;14
"150020 Acará";-;-;-;1;-;-;-;16;1;-;1;-;1;20
"150030 Afuá";-;-;1;1;1;-;-;-;2;-;-;-;-;5
"150040 Alenquer";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150080 Ananindeua";-;-;-;-;2;-;-;2;-;2;-;-;-;6
"150120 Baião";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"150130 Barcarena";-;8;7;1;-;-;-;-;1;-;-;9;3;29
"150140 Belém";-;-;-;1;6;1;4;3;3;4;9;-;-;31
"150150 Benevides";-;3;1;1;-;-;-;-;-;-;2;-;-;7
"150170 Bragança";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150180 Breves";-;2;1;1;1;2;5;1;6;7;-;-;2;28
"150210 Cametá";-;-;1;-;-;2;2;7;2;3;2;-;1;20
"150240 Castanhal";-;-;-;-;-;-;-;-;1;2;-;-;-;3
"150280 Curralinho";-;-;-;-;1;-;-;-;5;1;10;2;-;19
"150285 Curuá";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"150307 Garrafão do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150310 Gurupá";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150330 Igarapé-Miri";-;-;1;-;-;-;1;-;1;1;-;1;-;5
"150375 Jacareacanga";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150390 Juruti";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150400 Limoeiro do Ajuru";-;-;-;-;-;-;1;-;6;10;6;1;-;24
"150442 Marituba";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150450 Melgaço";-;-;-;-;-;-;-;2;3;-;1;2;-;8
"150470 Moju";-;-;-;1;-;-;-;-;-;-;1;-;-;2
"150490 Muaná";-;1;1;-;-;-;1;-;1;9;1;-;2;16
"150506 Novo Repartimento";-;1;-;-;-;-;-;-;-;-;-;-;1;2
"150520 Oeiras do Pará";1;-;-;-;1;-;1;1;1;-;1;-;1;7
"150570 Ponta de Pedras";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150580 Portel";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"150600 Prainha";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"150680 Santarém";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150720 São Domingos do Capim";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"150760 São Miguel do Guamá";-;-;-;-;-;-;-;-;4;-;-;-;-;4
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-;-;10;1;-;4;-;-;15
"150800 Tomé-Açu";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150803 Tracuateua";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"150810 Tucuruí";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"160030 Macapá";-;-;-;-;-;1;-;4;1;2;2;-;-;10
"160040 Mazagão";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"160060 Santana";-;-;-;-;-;-;-;-;4;1;-;-;-;5
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-;-;-;-;-;10;-;10
"170210 Araguaína";-;-;-;-;1;-;-;-;-;-;-;1;-;2
"170550 Colinas do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170930 Guaraí";-;-;-;-;-;-;-;-;-;-;-;3;-;3
"210825 Pedro do Rosário";-;1;19;-;-;-;-;-;-;-;-;-;-;20
"210860 Pinheiro";-;-;-;-;-;-;-;-;3;-;-;-;-;3
"211020 Santa Rita";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"211245 Turilândia";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"250290 Brejo dos Santos";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"250400 Campina Grande";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"251630 Sumé";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"291915 Lapão";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"530010 Brasília";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Total";1;28;39;11;21;9;17;55;47;49;45;33;25;380
