"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"314400 Mutum";-;-;-;-;-;-;-;-;-;-;1;-;1
"314890 Pedra do Indaiá";-;-;-;-;-;-;-;-;-;-;-;1;1
"315140 Pitangui";-;-;-;-;-;-;-;-;-;-;-;1;1
"317080 Várzea da Palma";-;-;-;-;-;-;1;-;-;-;-;-;1
"317090 Varzelândia";-;-;-;-;-;-;-;1;-;-;-;-;1
"320130 Cariacica";-;1;-;-;-;-;-;-;-;-;-;-;1
"320210 Ecoporanga";-;-;1;-;-;-;-;-;-;-;-;-;1
"320520 Vila Velha";1;1;-;-;-;-;-;-;-;-;-;-;2
"320530 Vitória";-;-;-;-;-;-;-;-;1;-;-;-;1
"330010 Angra dos Reis";1;1;-;-;1;-;-;1;-;-;-;-;4
"330170 Duque de Caxias";-;-;-;-;-;1;-;-;-;-;-;-;1
"330225 Itatiaia";-;-;-;-;-;1;-;-;-;-;-;-;1
"330385 Paty do Alferes";-;-;-;-;-;-;-;-;1;-;-;-;1
"330430 Rio Bonito";-;1;-;-;-;-;-;-;-;-;-;-;1
"330580 Teresópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"330630 Volta Redonda";1;-;-;-;-;-;-;-;-;-;-;-;1
"350635 Bertioga";-;-;-;1;-;-;-;-;-;-;-;-;1
"353110 Mongaguá";-;-;-;-;-;1;-;-;-;-;-;-;1
"354260 Registro";1;-;-;-;-;-;-;-;-;-;-;-;1
"354390 Rio Claro";1;-;-;-;-;-;-;-;-;-;1;-;2
"354995 São Lourenço da Serra";1;-;-;-;-;-;-;-;-;-;-;-;1
"355030 São Paulo";1;-;-;-;1;-;-;-;-;-;-;1;3
"410425 Campo Magro";1;-;-;-;-;-;-;-;-;-;-;-;1
"410580 Colombo";-;-;1;-;-;-;-;-;-;-;-;-;1
"410750 Engenheiro Beltrão";-;-;-;-;-;-;-;-;1;1;-;-;2
"410920 Guaraci";1;-;-;-;-;-;-;-;-;-;-;-;1
"411950 Piraquara";-;-;-;-;-;-;-;-;-;-;-;1;1
"420240 Blumenau";-;-;1;-;-;-;-;-;-;2;2;-;5
"420360 Campos Novos";-;1;-;-;-;-;-;-;-;-;-;-;1
"420420 Chapecó";-;-;1;-;-;-;-;1;-;-;-;-;2
"420460 Criciúma";-;1;-;-;-;-;-;1;-;-;-;-;2
"420670 Herval d'Oeste";-;-;-;-;-;-;-;-;-;-;1;-;1
"420890 Jaraguá do Sul";-;-;-;-;-;-;-;2;-;1;2;-;5
"421190 Palhoça";-;-;-;-;-;1;-;-;-;-;-;-;1
"430060 Alvorada";-;1;-;-;-;-;-;-;-;-;-;-;1
"430390 Campo Bom";-;-;-;1;-;-;-;-;-;-;-;-;1
"430450 Canguçu";-;1;1;-;-;-;1;-;-;-;-;-;3
"430460 Canoas";-;-;-;1;-;-;-;-;-;-;-;-;1
"430463 Capão da Canoa";-;-;-;-;-;-;-;-;1;-;-;-;1
"430510 Caxias do Sul";-;-;-;-;2;-;-;-;-;-;-;1;3
"430760 Estância Velha";-;-;-;-;-;1;-;-;-;-;-;-;1
"430770 Esteio";-;-;-;1;-;-;-;-;-;-;-;-;1
"430790 Farroupilha";1;-;-;-;-;-;-;-;-;-;-;1;2
"431033 Imbé";1;-;-;-;-;-;-;-;-;-;-;-;1
"431140 Lajeado";-;-;1;-;-;-;-;-;-;-;-;1;2
"431240 Montenegro";-;-;-;-;-;-;1;-;1;1;-;1;4
"431250 Mostardas";-;-;-;-;-;1;-;-;-;-;-;-;1
"431350 Osório";1;-;-;-;-;-;-;-;-;-;-;-;1
"431370 Palmeira das Missões";-;-;-;-;-;1;-;-;-;-;-;-;1
"431410 Passo Fundo";-;-;-;-;-;-;-;1;-;-;1;-;2
"431760 Santo Antônio da Patrulha";-;-;-;-;-;-;-;-;-;-;-;1;1
"431870 São Leopoldo";-;-;-;1;-;-;-;-;-;-;-;-;1
"431990 Sapiranga";-;-;2;-;1;-;-;-;-;-;-;-;3
"432080 Soledade";-;-;-;-;-;-;-;-;-;1;-;-;1
"432090 Tapejara";-;-;-;-;-;-;-;-;1;-;-;-;1
"432160 Tramandaí";-;-;1;-;-;-;-;-;-;-;1;-;2
"500070 Anastácio";-;-;-;-;-;-;1;-;-;-;-;-;1
"500090 Antônio João";-;-;1;-;-;-;-;-;-;-;-;-;1
"500124 Aral Moreira";-;-;-;-;1;-;-;-;-;-;-;-;1
"500270 Campo Grande";-;-;-;-;-;-;-;-;-;-;-;1;1
"500290 Cassilândia";-;-;-;-;-;-;1;-;-;-;-;-;1
"500345 Deodápolis";-;1;-;-;-;-;-;-;-;-;-;-;1
"500480 Japorã";1;-;-;-;-;-;1;-;-;-;-;-;2
"500540 Maracaju";-;-;-;-;-;-;-;-;-;-;1;-;1
"500570 Naviraí";-;-;-;-;-;-;-;-;-;-;1;-;1
"500640 Pedro Gomes";1;-;-;-;-;-;-;-;-;-;-;-;1
"500795 Tacuru";-;-;-;-;1;1;-;-;-;-;-;-;2
"510490 Jangada";-;-;1;-;-;-;-;-;-;-;-;-;1
"521120 Itapuranga";-;-;-;-;-;-;-;1;-;-;-;-;1
"521250 Luziânia";-;-;-;-;1;-;-;-;-;-;-;-;1
"521910 Santa Bárbara de Goiás";-;-;-;-;-;1;-;-;-;-;-;-;1
"Total";37;35;29;28;41;50;27;25;35;32;31;49;419
