"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120020 Cruzeiro do Sul";-;-;-;-;-;-;-;-;-;-;1;-;1
"130020 Atalaia do Norte";-;1;-;-;-;-;-;-;-;-;-;-;1
"130120 Coari";-;-;-;-;-;-;-;-;-;1;-;-;1
"130240 Lábrea";-;-;-;-;-;1;-;-;-;-;-;2;3
"130260 Manaus";-;-;-;-;-;-;-;-;-;-;1;1;2
"130280 Maraã";-;-;1;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";1;-;3;3;3;13;5;1;1;6;3;2;41
"150020 Acará";-;-;-;-;-;1;-;-;-;2;-;-;3
"150030 Afuá";1;-;-;-;-;-;-;-;1;-;-;-;2
"150070 Anajás";-;-;1;-;-;-;-;1;-;-;1;1;4
"150080 Ananindeua";1;-;-;-;-;-;-;1;-;3;1;5;11
"150090 Augusto Corrêa";-;1;-;-;-;-;-;-;-;1;-;-;2
"150095 Aurora do Pará";-;-;-;-;-;1;1;-;-;-;-;-;2
"150110 Bagre";-;-;2;-;-;-;-;-;-;-;1;-;3
"150130 Barcarena";6;1;-;-;-;4;4;3;2;-;-;-;20
"150140 Belém";3;13;-;1;-;-;4;3;2;5;4;-;35
"150150 Benevides";-;-;-;-;-;-;-;-;1;-;-;-;1
"150170 Bragança";-;-;-;-;1;-;-;-;-;-;1;-;2
"150180 Breves";1;-;-;-;-;1;6;5;8;-;10;-;31
"150190 Bujaru";-;-;-;-;-;1;-;1;-;3;10;-;15
"150210 Cametá";2;-;-;-;-;-;1;5;2;-;5;1;16
"150240 Castanhal";-;-;-;-;-;-;-;-;-;-;1;-;1
"150280 Curralinho";1;-;-;-;-;-;-;1;5;1;1;-;9
"150330 Igarapé-Miri";2;1;-;1;-;-;1;-;6;-;3;-;14
"150340 Inhangapi";-;-;-;-;-;-;-;1;-;-;-;-;1
"150350 Irituia";-;-;-;-;1;-;-;-;-;-;-;-;1
"150400 Limoeiro do Ajuru";-;-;-;-;-;-;-;1;2;-;1;1;5
"150410 Magalhães Barata";-;-;-;-;-;1;-;-;-;-;-;-;1
"150442 Marituba";-;-;-;-;-;-;1;-;-;-;-;-;1
"150450 Melgaço";-;2;-;-;-;-;-;-;1;1;-;-;4
"150460 Mocajuba";1;-;-;-;-;-;-;-;-;-;-;-;1
"150470 Moju";3;1;-;-;-;-;-;1;-;-;-;-;5
"150490 Muaná";1;-;-;-;1;6;-;6;5;1;-;-;20
"150520 Oeiras do Pará";-;-;-;-;-;-;1;-;1;1;-;-;3
"150530 Oriximiná";-;-;-;-;-;-;1;-;-;-;-;-;1
"150540 Ourém";-;-;-;-;-;-;-;1;-;-;-;-;1
"150550 Paragominas";-;-;-;-;-;-;4;1;-;-;-;-;5
"150570 Ponta de Pedras";-;-;-;1;-;-;-;-;-;-;-;1;2
"150580 Portel";-;1;-;-;-;-;-;-;-;-;-;-;1
"150600 Prainha";-;-;-;-;-;-;1;-;-;-;-;-;1
"150635 Santa Bárbara do Pará";-;-;-;-;-;-;-;-;-;1;-;-;1
"150680 Santarém";-;-;1;-;-;1;-;6;4;-;-;-;12
"150720 São Domingos do Capim";-;2;-;2;-;-;2;1;1;2;3;3;16
"150770 São Sebastião da Boa Vista";1;-;-;-;-;-;-;-;-;-;1;1;3
"160030 Macapá";-;4;3;1;2;-;1;4;-;1;4;3;23
"160060 Santana";-;-;-;-;-;-;1;-;-;-;1;-;2
"160070 Tartarugalzinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"210020 Alcântara";-;-;1;-;-;-;-;-;-;-;-;-;1
"240050 Alexandria";-;-;-;-;-;-;-;1;-;-;-;-;1
"241000 Pilões";-;-;-;-;-;-;-;-;-;-;1;-;1
"352470 Jaguariúna";-;-;-;-;-;-;-;2;-;-;-;-;2
"353440 Osasco";-;-;-;-;-;-;-;-;-;1;-;-;1
"510343 Curvelândia";-;-;-;-;-;1;-;-;-;-;-;-;1
"510790 Sinop";-;1;-;-;-;-;-;-;-;-;-;-;1
"Total";24;28;12;9;8;31;34;46;42;30;54;22;340
