"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110002 Ariquemes";1;-;-;-;-;-;-;-;-;-;-;-;1
"110006 Colorado do Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
"110143 Nova União";-;-;1;-;-;-;-;-;-;-;-;-;1
"110018 Pimenta Bueno";-;-;-;-;2;-;-;-;-;-;-;-;2
"130120 Coari";-;-;-;-;-;-;-;-;-;-;1;-;1
"130420 Tefé";-;1;-;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;-;-;-;-;-;2;2;15;2;-;21
"150030 Afuá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150060 Altamira";-;-;-;-;-;-;-;-;1;-;-;-;1
"150070 Anajás";-;-;-;-;-;-;-;-;1;-;-;-;1
"150080 Ananindeua";1;-;-;-;-;-;-;-;-;-;6;-;7
"150120 Baião";-;-;-;-;-;-;-;1;1;-;-;-;2
"150130 Barcarena";-;1;-;-;-;-;-;-;3;16;-;-;20
"150140 Belém";-;-;-;-;-;-;-;-;10;2;2;-;14
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;-;7;4;-;-;11
"150195 Cachoeira do Piriá";-;-;-;-;-;-;-;-;1;-;-;-;1
"150240 Castanhal";-;-;-;-;-;-;-;-;1;1;-;-;2
"150442 Marituba";-;-;-;-;-;-;-;-;-;-;1;-;1
"150460 Mocajuba";-;-;-;-;-;-;1;-;-;-;-;-;1
"150470 Moju";-;-;-;-;-;-;-;-;-;1;1;-;2
"150550 Paragominas";-;-;-;-;-;-;-;2;-;-;-;-;2
"150553 Parauapebas";-;-;1;-;-;-;-;-;-;-;-;-;1
"150680 Santarém";-;2;-;7;15;-;-;-;-;-;-;-;24
"150800 Tomé-Açu";-;-;-;-;-;-;-;-;-;-;1;-;1
"150810 Tucuruí";-;-;-;-;-;-;-;-;1;3;-;-;4
"160030 Macapá";1;-;-;-;-;-;-;-;-;2;-;-;3
"160060 Santana";2;-;-;-;-;-;-;-;-;1;2;-;5
"210005 Açailândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"210320 Chapadinha";1;-;-;-;-;-;-;-;-;-;-;-;1
