"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120032 Jordão";-;-;-;-;-;-;-;-;-;2;-;-;2
"120033 Mâncio Lima";1;-;-;-;-;-;-;-;-;-;-;-;1
"120042 Rodrigues Alves";-;-;-;-;-;-;1;-;-;-;-;-;1
"120060 Tarauacá";-;-;-;-;-;1;-;-;-;-;1;-;2
"130040 Barcelos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130100 Carauari";2;-;-;-;-;-;-;-;-;-;-;14;16
"130120 Coari";-;-;-;-;-;-;-;-;2;-;-;-;2
"130140 Eirunepé";-;-;-;1;-;-;-;-;-;-;-;-;1
"130260 Manaus";1;1;-;-;-;-;1;-;-;-;-;-;3
"130420 Tefé";-;-;-;1;-;-;-;-;-;-;-;-;1
"140010 Boa Vista";1;-;-;-;-;-;-;-;-;-;-;-;1
"140020 Caracaraí";-;-;-;-;-;-;-;-;-;-;1;-;1
"150010 Abaetetuba";1;1;-;-;-;1;2;3;1;2;7;-;18
"150020 Acará";-;1;-;-;-;-;-;1;-;-;-;-;2
"150030 Afuá";-;-;-;-;-;-;-;-;-;3;1;1;5
"150034 Água Azul do Norte";-;-;-;-;-;-;1;-;-;-;-;-;1
"150040 Alenquer";-;-;-;-;-;-;-;1;-;-;-;-;1
"150060 Altamira";-;-;-;-;-;1;-;-;-;-;-;-;1
"150070 Anajás";6;-;-;-;-;-;-;-;-;-;-;5;11
"150080 Ananindeua";7;-;-;-;-;-;2;1;-;2;1;-;13
"150090 Augusto Corrêa";-;-;-;1;-;-;-;-;-;-;-;-;1
"150110 Bagre";-;-;-;-;-;-;-;-;-;-;-;1;1
"150130 Barcarena";-;7;2;-;-;-;1;-;-;4;-;2;16
"150140 Belém";4;-;-;2;-;2;2;2;2;1;-;15;30
"150170 Bragança";1;-;-;-;-;-;-;-;4;-;-;-;5
"150180 Breves";-;-;1;-;2;9;2;6;2;4;7;17;50
"150210 Cametá";-;-;-;-;-;-;4;1;9;1;-;-;15
"150230 Capitão Poço";1;-;-;-;-;-;-;-;-;-;-;-;1
"150240 Castanhal";-;-;-;-;-;-;-;1;-;-;-;-;1
"150280 Curralinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"150307 Garrafão do Norte";-;-;-;-;-;-;-;-;-;-;1;-;1
"150330 Igarapé-Miri";1;-;-;1;4;-;2;1;5;-;-;-;14
"150400 Limoeiro do Ajuru";-;-;-;-;-;-;-;-;5;-;2;-;7
"150442 Marituba";-;-;-;-;-;-;-;-;-;-;3;1;4
"150450 Melgaço";-;-;-;-;-;-;-;-;-;9;1;-;10
"150460 Mocajuba";-;-;-;-;-;-;-;-;-;1;-;-;1
"150470 Moju";-;1;1;-;-;-;-;-;-;-;2;-;4
"150490 Muaná";-;-;-;-;-;1;-;-;-;1;-;-;2
"150580 Portel";-;-;-;-;-;-;-;-;-;-;2;-;2
"150720 São Domingos do Capim";-;-;-;-;-;1;-;-;-;-;-;1;2
"160030 Macapá";-;-;-;-;-;-;-;1;-;1;1;-;3
"160060 Santana";-;-;-;-;-;1;-;-;-;2;-;-;3
"170210 Araguaína";-;-;-;-;1;-;-;-;-;-;-;-;1
"211245 Turilândia";8;-;-;-;-;-;-;1;-;-;-;-;9
"Total";34;11;4;7;7;17;18;19;30;33;30;58;268
