"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110040 Alto Paraíso";-;-;-;-;-;1;-;-;-;-;-;-;1
"110006 Colorado do Oeste";-;-;-;-;-;-;1;-;-;-;-;-;1
"110028 Rolim de Moura";1;1;-;-;-;-;-;-;1;3;-;2;8
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;-;1;-;-;-;1
"110030 Vilhena";-;-;-;-;-;-;-;-;-;1;2;-;3
"130120 Coari";-;-;1;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;-;-;-;-;-;-;-;-;-;1;1
"150020 Acará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150080 Ananindeua";-;-;-;-;-;-;-;-;9;6;-;-;15
"150140 Belém";-;-;-;-;-;-;-;3;1;-;1;-;5
"150180 Breves";-;-;-;-;-;-;-;-;2;-;1;-;3
"150330 Igarapé-Miri";-;-;-;-;-;-;1;-;-;-;-;-;1
"150400 Limoeiro do Ajuru";-;-;-;1;-;-;-;-;-;-;-;-;1
"160030 Macapá";-;-;-;-;-;-;-;-;-;-;5;-;5
"160060 Santana";-;-;-;-;-;-;1;-;-;-;-;1;2
"210060 Amarante do Maranhão";-;-;-;-;-;-;-;1;1;-;-;-;2
"210400 Esperantinópolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"210530 Imperatriz";-;-;-;-;-;1;-;1;-;-;-;-;2
"220115 Baixa Grande do Ribeiro";-;-;-;-;-;-;-;-;1;-;-;-;1
"220277 Colônia do Piauí";1;1;1;1;3;-;1;3;2;1;-;-;14
"220660 Monte Alegre do Piauí";-;1;-;-;1;-;-;-;-;-;-;-;2
"220793 Pedro Laurentino";-;-;-;-;1;-;-;-;-;-;-;-;1
"220800 Picos";-;1;-;-;-;-;-;-;-;2;1;-;4
"220890 Ribeiro Gonçalves";-;-;-;1;-;-;1;-;-;-;1;-;3
"220910 Santa Cruz do Piauí";1;1;1;-;-;-;-;-;-;-;-;-;3
"220920 Santa Filomena";-;-;-;-;-;1;-;-;-;-;-;-;1
"221020 São José do Piauí";-;-;-;-;-;-;1;-;-;-;-;-;1
"230440 Fortaleza";-;-;-;-;-;-;-;2;4;1;-;-;7
"230495 Guaiúba";-;-;-;-;-;-;-;-;-;1;-;-;1
"231240 São Gonçalo do Amarante";-;-;-;-;-;-;-;-;2;-;-;-;2
"231320 Tamboril";-;-;-;-;-;-;-;-;-;-;-;1;1
"231400 Várzea Alegre";-;-;-;-;-;-;-;-;-;-;-;1;1
"240100 Apodi";13;8;26;33;1;1;-;2;-;2;1;1;88
"240230 Caraúbas";3;2;3;2;4;2;3;4;-;7;-;-;30
"240370 Felipe Guerra";-;1;1;1;-;-;1;-;-;1;-;-;5
"240380 Florânia";-;-;-;-;1;-;-;1;-;-;-;-;2
"240430 Governador Dix-Sept Rosado";3;-;-;-;-;-;-;-;-;1;-;-;4
"240725 Major Sales";-;-;-;-;-;-;-;-;-;1;-;-;1
"240760 Messias Targino";1;-;1;-;-;1;1;-;-;-;-;-;4
"240800 Mossoró";-;-;1;-;1;-;-;-;-;1;-;-;3
