"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"250090 Arara";-;-;-;-;-;-;-;-;1;-;-;-;1
"250110 Areia";-;-;-;-;-;1;-;-;-;-;-;-;1
"250355 Cacimbas";-;-;-;-;-;-;1;-;-;-;-;-;1
"250375 Cajazeirinhas";1;-;-;-;-;-;-;-;-;-;-;-;1
"250440 Conceição";-;-;-;-;-;-;-;1;-;-;1;-;2
"250810 Lagoa";-;1;-;-;-;-;-;-;-;-;-;-;1
"250939 Maturéia";-;-;1;-;1;-;-;-;-;-;-;-;2
"251070 Passagem";-;1;-;-;-;-;-;-;-;-;-;-;1
"251120 Pedras de Fogo";-;-;-;1;-;-;-;-;-;-;-;-;1
"251230 Princesa Isabel";-;-;-;-;-;-;-;-;1;-;1;-;2
"251350 Santana de Mangueira";-;-;-;-;-;-;-;1;-;-;-;-;1
"251398 São Francisco";-;-;-;1;-;-;-;-;-;-;-;-;1
"251650 Taperoá";-;-;-;-;-;-;-;1;-;-;-;-;1
"260030 Agrestina";-;-;-;-;-;-;-;-;-;1;-;-;1
"260040 Água Preta";-;-;-;-;-;-;-;1;-;-;-;-;1
"260110 Araripina";-;-;-;-;1;-;-;-;-;-;-;-;1
"260120 Arcoverde";1;-;-;-;-;-;-;-;-;-;-;-;1
"260170 Belo Jardim";-;-;-;-;-;-;-;-;-;1;-;-;1
"260210 Bom Conselho";-;-;-;1;-;-;-;-;-;-;-;-;1
"260230 Bonito";-;-;-;1;-;1;-;-;-;-;-;-;2
"260345 Camaragibe";-;-;-;-;-;-;1;-;1;-;-;2;4
"260350 Camocim de São Félix";-;1;-;-;-;-;-;-;-;-;-;-;1
"260390 Carnaíba";-;-;-;-;-;-;-;1;-;2;-;-;3
"260392 Carnaubeira da Penha";-;-;-;-;-;-;-;-;-;1;-;1;2
"260410 Caruaru";-;-;-;-;-;-;1;-;-;-;-;-;1
"260470 Correntes";1;-;1;-;-;-;-;-;-;1;-;-;3
"260510 Custódia";1;-;-;-;-;-;1;-;-;-;-;-;2
"260530 Exu";-;-;-;-;-;-;-;-;1;-;-;-;1
"260600 Garanhuns";1;-;-;1;-;1;-;-;-;-;-;-;3
"260620 Goiana";1;-;-;-;-;-;-;-;-;-;-;-;1
"260650 Iati";1;-;-;-;-;-;-;-;-;-;-;-;1
"260680 Igarassu";-;1;-;-;-;-;-;-;-;-;-;-;1
"260690 Iguaracy";-;-;-;-;-;-;1;-;-;-;-;-;1
"260720 Ipojuca";-;1;-;-;-;-;-;-;-;-;-;-;1
"260765 Itambé";-;-;-;-;-;-;1;-;-;-;-;-;1
"260790 Jaboatão dos Guararapes";-;-;-;-;1;-;-;-;-;-;-;-;1
"260845 Lagoa do Carro";-;1;-;-;-;-;-;-;-;-;-;1;2
"260860 Lagoa do Ouro";-;-;-;1;-;-;-;-;-;-;-;-;1
"260920 Maraial";-;-;-;-;-;-;-;-;-;-;-;1;1
"260930 Mirandiba";-;1;-;-;-;-;1;1;-;-;-;-;3
"261430 Moreilândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"260990 Ouricuri";-;-;-;-;-;-;-;-;-;1;-;-;1
"261000 Palmares";1;-;-;-;-;-;-;-;-;-;-;-;1
"261040 Parnamirim";1;-;-;-;-;-;-;-;-;-;-;-;1
"261160 Recife";1;1;-;1;-;1;-;1;-;-;-;-;5
"261170 Riacho das Almas";-;1;-;-;-;-;1;-;-;1;-;-;3
"261220 Salgueiro";-;2;1;-;2;-;-;-;1;-;1;-;7
"261240 Sanharó";-;-;-;-;-;-;-;1;-;-;-;-;1
"261245 Santa Cruz";-;-;-;1;-;-;-;-;-;-;-;-;1
"261250 Santa Cruz do Capibaribe";-;1;-;-;-;-;-;1;-;-;-;-;2
"261260 Santa Maria da Boa Vista";-;-;-;-;1;-;-;-;-;-;-;-;1
"261290 São Benedito do Sul";-;-;-;-;-;1;-;-;-;1;-;-;2
"261350 São José do Belmonte";-;-;-;-;1;-;-;-;1;-;-;-;2
"261400 Serrita";-;-;1;-;-;1;-;-;-;-;-;-;2
"261410 Sertânia";-;-;-;-;1;-;-;-;-;-;-;-;1
"261600 Venturosa";1;-;-;-;-;-;-;-;-;-;-;-;1
"270210 Colônia Leopoldina";1;-;-;-;-;-;-;-;1;-;-;-;2
"270520 Messias";-;-;-;-;-;-;-;-;-;-;-;2;2
"270560 Novo Lino";-;1;1;-;1;-;-;-;-;1;-;-;4
"270580 Olho d'Água do Casado";-;-;-;-;-;1;-;-;-;-;-;-;1
"270860 São Miguel dos Campos";-;-;-;-;-;-;-;-;-;-;-;1;1
"270930 União dos Palmares";-;-;-;1;-;-;-;-;-;-;-;-;1
"280130 Capela";-;-;-;1;-;-;-;-;-;-;-;-;1
"280140 Carira";-;-;-;-;1;-;-;-;-;-;-;-;1
"280170 Cristinápolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"280300 Itabaianinha";-;-;2;1;-;-;-;-;-;-;-;-;3
"280550 Poço Verde";-;-;-;-;-;-;-;1;-;-;-;-;1
"290210 Araci";-;-;-;-;-;-;-;-;-;1;-;-;1
"290390 Bom Jesus da Lapa";-;-;-;1;-;-;-;-;1;-;1;-;3
"290410 Boquira";-;-;-;-;-;-;-;1;-;-;-;-;1
"290485 Cabaceiras do Paraguaçu";1;-;1;-;1;1;1;2;1;1;-;-;9
"290530 Cafarnaum";2;-;-;-;-;-;-;-;-;-;-;-;2
"290610 Canápolis";-;-;-;-;-;-;-;-;-;-;-;1;1
"290620 Canarana";-;-;-;-;-;-;-;-;1;-;-;-;1
"290740 Catolândia";-;-;-;-;-;13;-;-;-;-;-;-;13
"290860 Conde";-;-;-;-;-;-;-;1;-;-;-;-;1
"290880 Contendas do Sincorá";-;-;-;-;-;-;-;-;-;1;-;-;1
"291005 Dias d'Ávila";-;-;-;-;-;-;1;-;-;-;-;-;1
"291110 Formosa do Rio Preto";16;2;4;2;2;2;-;-;5;1;1;-;35
"291320 Ibotirama";-;-;1;-;-;-;-;-;-;-;-;-;1
"291370 Inhambupe";-;-;-;-;1;-;-;-;-;-;-;-;1
"291470 Itaberaba";-;-;-;-;-;-;2;-;2;-;-;2;6
"291733 Iuiú";-;-;-;2;-;-;-;-;-;-;-;-;2
"291735 Jaborandi";-;1;-;-;-;-;-;-;-;-;-;-;1
"291750 Jacobina";-;-;-;-;-;-;1;-;-;-;-;-;1
"291950 Livramento de Nossa Senhora";-;-;-;-;-;-;-;-;1;-;-;1;2
"291960 Macajuba";1;-;1;-;-;1;-;-;-;-;-;-;3
"292010 Mairi";-;1;-;-;-;-;-;-;-;-;-;-;1
"292030 Malhada de Pedras";-;-;-;-;-;-;-;-;-;-;1;-;1
"292050 Maracás";-;-;-;-;-;-;1;-;-;-;-;-;1
"292120 Miguel Calmon";-;-;-;1;-;-;-;-;-;-;-;-;1
"292130 Milagres";1;-;-;-;-;-;-;-;-;1;-;-;2
"292170 Morro do Chapéu";-;1;-;-;-;-;-;-;-;-;1;-;2
"292205 Mulungu do Morro";-;-;-;-;-;-;-;4;-;1;-;-;5
"292620 Riachão das Neves";2;3;-;-;-;-;-;-;-;-;-;-;5
"292690 Rio do Pires";-;-;-;2;-;-;-;-;-;-;-;1;3
"292720 Ruy Barbosa";-;1;2;-;-;1;-;-;-;-;-;-;4
"292740 Salvador";-;-;1;-;-;-;-;-;1;1;1;-;4
"292810 Santa Maria da Vitória";-;-;-;-;-;-;-;-;-;1;-;-;1
"292840 Santa Rita de Cássia";-;3;-;1;-;1;1;-;1;-;-;-;7
"292870 Santo Antônio de Jesus";-;-;-;1;-;-;-;-;-;-;-;-;1
"293000 Sebastião Laranjeiras";-;-;-;-;1;-;-;-;-;-;-;-;1
"293310 Várzea do Poço";8;-;-;1;2;-;5;1;-;-;-;-;17
"293315 Várzea Nova";-;-;-;-;-;-;-;-;-;-;1;-;1
"293330 Vitória da Conquista";-;-;-;1;-;-;-;-;-;-;-;-;1
"311540 Catas Altas da Noruega";-;-;-;-;-;-;1;-;-;-;-;-;1
"313170 Itabira";1;-;-;-;-;-;-;-;-;-;-;-;1
"313490 Jacutinga";-;-;1;-;-;-;-;-;-;-;-;-;1
"313520 Januária";-;-;-;1;-;-;-;-;-;-;-;-;1
"314800 Patos de Minas";-;-;-;-;-;-;-;-;-;-;-;1;1
"315140 Pitangui";1;-;-;-;1;-;-;-;1;-;-;-;3
"315330 Presidente Kubitschek";-;-;-;-;1;-;-;-;-;-;-;-;1
"315780 Santa Luzia";-;-;-;-;-;1;-;-;-;-;-;-;1
"320120 Cachoeiro de Itapemirim";-;-;-;-;-;-;-;1;-;-;-;-;1
"320220 Fundão";-;-;-;-;-;-;-;-;1;-;-;-;1
"320530 Vitória";-;-;-;-;-;1;-;-;-;-;-;-;1
"330010 Angra dos Reis";-;-;-;-;-;-;-;1;1;-;-;-;2
"330070 Cabo Frio";-;-;-;-;-;-;-;-;-;1;-;-;1
"330170 Duque de Caxias";-;-;-;1;-;-;-;-;1;-;-;-;2
"330225 Itatiaia";-;-;-;-;-;-;-;-;1;-;-;-;1
"330250 Magé";-;-;-;1;-;-;-;-;-;-;-;-;1
"330260 Mangaratiba";-;-;-;-;-;-;-;-;1;-;-;-;1
"330455 Rio de Janeiro";-;-;-;-;-;-;-;-;-;1;1;-;2
"351907 Hortolândia";-;-;-;-;-;-;1;-;1;-;-;-;2
"354060 Porto Feliz";-;1;-;-;-;-;-;-;-;-;-;-;1
"354260 Registro";-;-;-;1;1;-;-;-;-;1;-;-;3
"355030 São Paulo";-;-;1;1;-;1;-;-;-;-;-;1;4
"410310 Bocaiúva do Sul";-;-;-;-;-;-;-;-;-;1;-;-;1
"410445 Cantagalo";-;-;-;-;-;-;-;1;-;-;-;-;1
"410920 Guaraci";-;-;-;-;-;2;1;-;-;-;-;-;3
"411270 Jataizinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"412710 Telêmaco Borba";-;-;-;-;-;1;-;-;-;-;-;-;1
"420240 Blumenau";-;-;-;-;1;-;-;-;-;1;1;-;3
"420290 Brusque";-;-;1;1;-;-;-;-;-;-;1;-;3
"420420 Chapecó";-;-;-;-;-;-;-;1;-;-;-;-;1
"420460 Criciúma";-;-;-;-;1;-;-;-;-;-;-;-;1
"420700 Içara";-;-;-;-;1;-;-;-;-;-;-;-;1
"420890 Jaraguá do Sul";-;-;-;1;1;-;-;-;1;-;1;-;4
"421190 Palhoça";-;-;-;-;-;-;-;-;1;-;-;-;1
"421917 Vargem Bonita";-;-;-;-;-;-;-;-;-;1;-;-;1
"430060 Alvorada";-;1;-;1;-;-;-;-;-;-;-;-;2
"430390 Campo Bom";-;-;-;1;-;-;-;-;-;1;-;-;2
"430450 Canguçu";-;-;-;-;1;1;1;-;-;-;1;-;4
"430463 Capão da Canoa";-;-;-;-;-;-;-;-;-;1;-;-;1
"430466 Capão do Leão";-;-;-;-;-;-;-;-;-;-;1;-;1
"430470 Carazinho";-;-;-;-;-;-;1;-;-;-;-;-;1
"430760 Estância Velha";1;-;1;-;-;-;-;-;-;-;-;1;3
"431033 Imbé";-;-;-;-;-;-;-;1;-;-;-;-;1
"431140 Lajeado";-;-;-;-;-;1;-;-;-;1;1;-;3
"431240 Montenegro";-;-;-;-;1;-;-;-;-;1;-;-;2
"431440 Pelotas";-;-;-;-;-;-;-;-;-;-;-;1;1
"432120 Taquara";-;-;-;-;-;-;1;-;-;-;-;-;1
"432160 Tramandaí";-;-;-;-;-;-;-;1;1;-;-;-;2
"500200 Batayporã";-;1;-;-;1;-;1;-;-;1;-;-;4
"500270 Campo Grande";-;-;-;-;-;-;1;-;-;-;-;-;1
"500710 Ribas do Rio Pardo";-;-;-;-;-;-;-;-;-;1;-;-;1
"500769 São Gabriel do Oeste";-;-;-;-;-;1;-;-;-;-;-;-;1
"500795 Tacuru";-;-;-;-;1;-;-;-;-;-;-;-;1
"510337 Cotriguaçu";-;-;-;-;-;-;-;-;-;1;-;-;1
"520430 Caçu";-;-;-;-;-;-;1;-;-;-;-;-;1
"521910 Santa Bárbara de Goiás";1;-;-;-;-;-;-;1;-;-;-;-;2
"522040 São Simão";-;-;-;-;-;-;-;2;1;-;-;-;3
"Total";71;45;56;72;40;42;40;45;56;59;29;24;579
