"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110028 Rolim de Moura";1;-;-;-;-;-;-;-;-;-;-;-;1
"110029 Santa Luzia D'Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";-;-;-;1;-;-;-;1;-;-;-;-;2
"220277 Colônia do Piauí";1;1;-;-;1;6;1;1;-;-;-;-;11
"220910 Santa Cruz do Piauí";-;-;-;-;-;-;-;2;2;-;-;1;5
"221062 Sebastião Barros";4;-;-;-;-;-;-;-;-;-;-;-;4
"221093 Sussuapara";-;-;-;-;-;-;-;1;-;-;-;-;1
"251080 Patos";-;-;-;-;-;-;1;1;-;-;-;-;2
"260410 Caruaru";-;-;1;-;-;-;-;-;-;-;-;-;1
"261220 Salgueiro";-;-;-;-;-;1;-;-;-;-;-;-;1
"270090 Belo Monte";-;-;1;-;-;-;-;-;-;-;-;-;1
"270170 Capela";-;-;-;-;1;-;-;-;1;-;-;-;2
"270235 Craíbas";-;-;-;-;1;-;-;-;-;-;-;-;1
"270560 Novo Lino";-;-;-;-;1;-;-;-;-;-;-;-;1
"270860 São Miguel dos Campos";-;-;-;-;-;-;-;-;-;-;1;-;1
"280210 Estância";-;-;-;-;-;-;-;-;-;-;-;1;1
"280760 Umbaúba";-;-;-;-;1;-;-;1;-;-;-;1;3
"291590 Itanagra";-;-;-;-;-;1;-;-;-;-;-;-;1
"292960 Sapeaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"320240 Guarapari";-;-;-;-;1;-;-;-;-;-;-;-;1
"320260 Iconha";-;-;1;-;-;-;-;-;-;-;-;-;1
"320400 Pancas";-;-;-;1;-;-;-;-;-;-;-;-;1
"320490 São Mateus";-;1;-;-;-;-;-;-;-;-;-;-;1
"320506 Venda Nova do Imigrante";-;-;-;-;-;-;-;-;1;-;-;-;1
"411830 Paranapoema";-;-;-;-;1;-;-;-;-;-;-;-;1
"420257 Bom Jesus do Oeste";-;-;-;-;-;-;-;1;-;-;-;-;1
"420545 Forquilhinha";-;-;-;1;-;-;-;-;-;-;-;-;1
"420890 Jaraguá do Sul";1;-;2;-;-;-;-;-;-;-;-;-;3
"420950 Laurentino";-;-;-;-;-;-;1;-;-;-;-;-;1
"421100 Mondaí";1;-;-;-;-;-;-;-;-;-;-;-;1
"421223 Paraíso";-;-;-;-;-;1;-;-;-;-;-;-;1
"421720 São Miguel do Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"421740 Schroeder";-;-;-;-;-;-;-;-;-;1;-;-;1
"430060 Alvorada";-;-;-;-;-;-;-;-;-;-;1;-;1
"510330 Comodoro";-;-;-;-;1;-;-;-;-;-;-;-;1
"Total";9;3;6;3;8;9;3;8;4;1;2;3;59
