"Município de residência";"Jan";"Fev";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";1;1;2;1;1;1;2;2;1;-;-;12
"150030 Afuá";-;-;1;2;-;-;1;1;1;-;4;10
"150070 Anajás";-;-;-;-;-;-;-;6;-;-;1;7
"150130 Barcarena";-;-;-;-;-;-;-;1;-;1;-;2
"150140 Belém";2;1;2;2;-;2;1;4;2;5;1;22
"150150 Benevides";-;-;-;-;1;-;-;-;-;-;-;1
"150180 Breves";-;1;-;-;-;-;5;-;1;-;1;8
"150210 Cametá";-;-;-;-;-;2;-;-;-;-;-;2
"150230 Capitão Poço";-;-;-;-;-;-;-;-;-;1;-;1
"150275 Concórdia do Pará";-;-;-;-;-;-;1;-;-;-;-;1
"150280 Curralinho";-;1;-;-;-;-;-;-;-;-;-;1
"150470 Moju";-;-;-;-;1;-;-;-;-;-;-;1
"150497 Nova Ipixuna";-;-;-;-;-;-;-;-;-;1;-;1
"150550 Paragominas";-;-;-;-;-;-;-;-;1;-;-;1
"150590 Porto de Moz";-;-;-;-;-;1;-;-;-;-;-;1
"150720 São Domingos do Capim";1;-;-;-;-;-;-;-;-;-;-;1
"150810 Tucuruí";-;-;-;-;-;-;-;-;-;1;-;1
"150830 Viseu";-;1;-;-;-;-;-;-;-;-;-;1
"160030 Macapá";-;-;-;-;-;-;-;1;12;1;2;16
"160060 Santana";-;-;-;-;-;-;-;-;-;1;-;1
"170255 Augustinópolis";-;1;-;-;-;-;-;-;-;-;-;1
"170290 Axixá do Tocantins";-;-;-;-;-;-;-;-;-;-;4;4
"170740 Esperantina";-;-;-;-;1;-;-;-;-;-;-;1
"210110 Axixá";1;-;-;-;-;-;-;-;-;-;-;1
"210510 Icatu";-;-;-;-;1;-;-;-;-;-;-;1
"211240 Turiaçu";-;2;1;-;-;-;-;-;-;-;-;3
"220770 Parnaíba";-;-;1;-;-;-;-;-;-;-;-;1
"231290 Sobral";-;-;-;-;-;-;-;1;-;-;-;1
"Total";5;8;7;5;5;6;10;16;18;11;13;104
