 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1998
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"241090 Riachuelo";9;5;11;16;10;6;8;5;7;10;13;6;106
"240895 Rio do Fogo";10;12;6;11;14;8;17;8;6;5;2;3;102
"241100 Rodolfo Fernandes";6;2;12;9;6;4;7;2;6;9;5;8;76
"241110 Ruy Barbosa";7;9;8;8;7;11;2;9;8;2;3;2;76
"241120 Santa Cruz";83;75;92;50;82;78;66;77;64;69;65;66;867
"240933 Santa Maria";-;6;4;3;7;5;5;6;6;7;1;1;51
"241140 Santana do Matos";20;25;22;30;15;12;16;24;19;14;17;19;233
"241142 Santana do Seridó";4;4;5;5;1;4;1;2;2;4;4;-;36
"241150 Santo Antônio";38;32;51;47;47;57;51;49;54;55;35;26;542
"241160 São Bento do Norte";6;8;2;6;5;12;6;6;1;3;2;5;62
"241170 São Bento do Trairí";8;6;11;8;7;8;6;6;8;12;4;2;86
"241180 São Fernando";2;4;5;5;6;4;5;2;8;2;3;7;53
"241190 São Francisco do Oeste";10;4;5;3;7;3;4;3;4;1;2;4;50
"241200 São Gonçalo do Amarante";113;89;125;101;114;116;128;96;114;90;54;49;1189
"241210 São João do Sabugi";9;6;12;8;11;3;2;3;3;1;2;5;65
"241220 São José de Mipibu";67;68;69;78;84;55;67;74;80;67;64;61;834
"241230 São José do Campestre";19;17;20;19;17;21;27;26;19;8;17;6;216
"241240 São José do Seridó";1;4;6;6;5;5;3;1;5;7;3;7;53
"241250 São Miguel";46;49;48;45;49;36;48;43;37;52;30;35;518
"241255 São Miguel do Gostoso";10;16;15;12;12;12;10;13;14;9;9;5;137
"241260 São Paulo do Potengi";14;19;29;18;20;19;24;20;25;20;20;15;243
"241270 São Pedro";5;9;5;6;16;5;7;3;8;7;5;5;81
"241280 São Rafael";8;10;12;14;15;11;11;14;13;13;12;12;145
"241290 São Tomé";25;20;24;22;22;19;27;21;14;19;15;10;238
"241300 São Vicente";6;8;13;7;4;7;10;3;7;8;16;7;96
"241310 Senador Elói de Souza";7;13;6;5;3;5;5;3;4;3;2;2;58
"241320 Senador Georgino Avelino";5;4;5;7;8;7;9;8;9;9;5;8;84
"241030 Serra Caiada";19;14;9;14;8;13;12;13;15;11;8;6;142
"241330 Serra de São Bento";5;8;7;10;7;11;5;4;4;3;4;-;68
"241335 Serra do Mel";15;9;17;14;20;14;12;14;11;23;13;21;183
"241340 Serra Negra do Norte";13;8;12;16;14;15;6;13;8;10;9;7;131
"241350 Serrinha";17;6;24;13;11;7;14;13;13;18;7;12;155
"241355 Serrinha dos Pintos";10;4;2;7;7;7;7;6;3;5;6;4;68
"241360 Severiano Melo";10;15;14;7;9;9;6;16;5;13;7;7;118
"241370 Sítio Novo";6;9;15;10;3;9;14;4;4;4;8;7;93
"241380 Taboleiro Grande";6;5;4;4;3;3;2;7;4;3;1;1;43
"241390 Taipu";23;18;20;29;35;23;25;16;13;18;11;7;238
"241400 Tangará";31;29;27;34;17;25;21;22;13;15;20;17;271
"241410 Tenente Ananias";10;13;23;14;15;8;4;11;16;10;8;13;145
"241415 Tenente Laurentino Cruz";3;10;7;4;11;8;9;9;5;10;11;2;89
"241105 Tibau";6;6;5;2;5;7;3;3;2;5;3;7;54
"241420 Tibau do Sul";11;8;13;17;10;13;15;9;14;12;9;10;141
"241430 Timbaúba dos Batistas";4;4;1;2;7;1;2;5;5;3;2;2;38
"241440 Touros";56;62;50;50;58;48;63;56;58;52;37;35;625
"241445 Triunfo Potiguar";3;2;4;6;4;4;8;2;5;1;4;3;46
"241450 Umarizal";20;22;27;29;15;14;21;17;22;14;7;19;227
"241460 Upanema";9;11;28;12;14;17;10;21;18;10;11;15;176
"241470 Várzea";15;6;14;18;12;15;16;16;11;7;14;6;150
"241475 Venha-Ver";12;9;7;7;6;9;9;4;6;4;4;7;84
"241480 Vera Cruz";14;16;20;21;22;13;10;19;14;16;10;10;185
"241490 Viçosa";5;4;6;4;3;3;2;5;-;3;1;2;38
"241500 Vila Flor";4;2;7;6;7;8;10;4;9;5;1;4;67
"240000 Município ignorado - RN";3;4;5;5;2;3;4;1;2;2;2;3;36
"250010 Água Branca";24;19;18;17;21;9;14;11;20;15;22;15;205
"250020 Aguiar";15;4;11;12;15;9;5;8;18;2;7;8;114
"250030 Alagoa Grande";23;5;15;10;28;7;7;6;4;5;9;15;134
"250040 Alagoa Nova";29;32;17;23;32;16;32;21;38;31;37;20;328
"250050 Alagoinha";17;13;15;22;15;17;24;11;22;17;11;6;190
"250053 Alcantil";4;5;5;9;13;5;10;6;2;3;4;2;68
"250057 Algodão de Jandaíra";2;-;1;1;-;2;-;4;2;1;-;1;14
"250060 Alhandra";23;25;39;29;15;24;18;19;25;35;25;27;304
"250073 Amparo";-;-;1;-;-;-;1;-;-;-;-;1;3
"250077 Aparecida";3;6;-;6;2;3;3;5;4;1;2;1;36
"250080 Araçagi";15;7;23;35;19;17;13;20;17;15;5;6;192
"250090 Arara";7;6;15;11;16;15;11;13;17;9;9;9;138
"250100 Araruna";43;28;53;47;41;38;40;36;31;26;37;23;443
"250110 Areia";54;45;53;59;40;40;31;39;55;41;28;44;529
"250115 Areia de Baraúnas";7;-;4;1;-;-;1;-;1;1;-;-;15
"250120 Areial";10;5;8;9;10;13;9;8;7;9;5;12;105
"250130 Aroeiras";37;33;50;33;38;25;31;41;35;39;39;39;440
"250135 Assunção";1;-;1;5;2;6;4;1;4;3;5;2;34
"250140 Baía da Traição";2;3;2;5;3;5;2;4;5;-;4;7;42
"250150 Bananeiras";29;23;33;27;38;21;33;34;35;38;20;17;348
"250153 Baraúna";-;1;1;1;2;1;-;-;-;-;-;-;6
"250160 Barra de Santa Rosa";26;4;7;12;4;5;14;5;3;3;-;4;87
"250157 Barra de Santana";11;9;7;5;15;11;4;7;8;7;2;1;87
"250170 Barra de São Miguel";3;2;7;4;2;5;7;7;5;4;1;5;52
"250180 Bayeux";84;102;122;114;80;117;142;113;126;130;113;116;1359
"250190 Belém";13;2;10;21;27;21;16;18;17;16;17;21;199
"250200 Belém do Brejo do Cruz";8;12;8;6;6;8;9;5;5;7;6;-;80
"250205 Bernardino Batista";3;1;2;3;2;4;2;3;1;2;-;2;25
"250210 Boa Ventura";7;7;15;8;7;8;6;7;11;7;7;4;94
"250215 Boa Vista";3;-;3;-;3;1;-;1;2;3;1;-;17
"250220 Bom Jesus";4;1;2;2;4;3;2;6;2;3;4;-;33
"250230 Bom Sucesso";9;4;9;3;11;8;10;8;9;8;7;6;92
"250240 Bonito de Santa Fé";10;19;13;15;20;12;11;19;9;10;9;9;156
"250250 Boqueirão";29;30;46;32;37;20;33;33;32;34;27;43;396
"250270 Borborema";2;2;11;7;8;4;3;5;3;4;2;3;54
"250280 Brejo do Cruz";23;13;20;26;21;15;19;25;19;29;22;15;247
"250290 Brejo dos Santos";10;11;10;10;14;11;9;10;6;7;11;7;116
"250300 Caaporã";13;13;11;11;5;11;17;12;14;10;22;14;153
"250310 Cabaceiras";8;5;6;6;4;5;3;6;7;6;4;9;69
"250320 Cabedelo";10;28;43;44;33;54;38;53;68;56;55;46;528
"250330 Cachoeira dos Índios";6;10;8;15;11;13;21;11;12;9;13;10;139
"250340 Cacimba de Areia";2;5;4;3;6;7;2;5;7;4;1;2;48
"250350 Cacimba de Dentro";11;15;24;38;28;34;24;29;33;34;45;32;347
"250355 Cacimbas";5;15;18;23;12;12;14;13;6;11;8;19;156
"250360 Caiçara";4;6;10;4;10;7;4;6;8;5;5;-;69
"250370 Cajazeiras";84;83;98;76;87;80;72;80;84;80;83;81;988
"250375 Cajazeirinhas";5;1;7;1;3;2;4;2;8;7;3;3;46
"250380 Caldas Brandão";5;2;2;-;1;-;1;-;1;3;-;6;21
"250390 Camalaú";3;7;7;7;8;5;4;1;1;5;2;4;54
"250400 Campina Grande";671;624;770;696;669;711;670;688;623;632;586;612;7952
"250407 Caraúbas";1;-;1;1;2;-;-;2;2;2;2;2;15
"250410 Carrapateira";2;2;-;6;1;1;2;1;2;3;-;1;21
"250415 Casserengue";4;7;1;3;10;12;12;4;8;6;5;6;78
"250420 Catingueira";2;4;8;11;5;3;6;3;8;6;2;5;63
"250430 Catolé do Rocha";42;32;55;38;31;37;25;52;41;40;32;39;464
"250435 Caturité";5;2;4;3;6;2;5;9;4;6;7;7;60
"250440 Conceição";36;28;38;27;31;32;28;39;32;32;26;25;374
"250450 Condado";8;5;6;10;8;4;7;5;3;6;5;8;75
"250460 Conde";20;25;28;33;25;29;41;38;35;45;38;30;387
"250470 Congo";-;-;-;-;4;-;2;-;-;1;1;-;8
"250480 Coremas";27;25;22;18;15;-;22;15;17;27;16;13;217
"250485 Coxixola";-;-;-;-;-;1;-;-;1;-;-;-;2
"250490 Cruz do Espírito Santo";10;6;14;18;9;15;12;11;12;13;13;3;136
"250500 Cubati";5;7;3;12;3;7;14;2;2;1;3;5;64
"250510 Cuité";10;8;-;10;4;1;2;-;-;4;5;-;44
"250520 Cuitegi";10;7;8;19;10;2;4;6;11;7;3;4;91
"250527 Curral de Cima";-;-;-;-;1;-;-;1;-;-;-;1;3
"250530 Curral Velho";4;5;2;5;4;1;2;1;5;5;3;4;41
"250535 Damião";4;-;-;1;1;2;3;-;-;-;-;-;11
"250540 Desterro";7;14;8;15;14;8;18;7;14;16;6;7;134
"250560 Diamante";12;8;13;2;8;10;16;6;13;3;10;9;110
"250570 Dona Inês";15;7;12;16;10;9;10;24;11;17;17;11;159
"250580 Duas Estradas";7;2;3;5;2;2;3;4;2;-;3;-;33
"250590 Emas";7;-;8;6;7;10;5;5;2;5;4;3;62
"250600 Esperança";47;62;58;45;64;55;65;55;54;45;57;55;662
"250610 Fagundes";18;9;11;14;13;12;9;7;6;12;10;14;135
"250620 Frei Martinho";2;-;3;7;2;-;-;-;-;-;-;-;14
"250625 Gado Bravo";-;-;3;5;10;13;5;8;9;8;8;7;76
"250630 Guarabira";57;30;86;86;65;54;60;52;69;60;43;18;680
"250640 Gurinhém";22;21;23;21;21;16;18;12;10;10;10;16;200
"250650 Gurjão";1;-;1;1;3;6;1;2;4;8;-;3;30
"250660 Ibiara";8;12;12;14;9;6;6;8;7;5;1;8;96
"250260 Igaracy";11;7;15;4;4;9;9;2;5;7;5;8;86
"250670 Imaculada";12;10;18;19;14;12;8;16;15;18;10;11;163
"250680 Ingá";45;33;32;39;41;27;30;33;32;32;39;34;417
"250690 Itabaiana";46;39;52;50;50;44;42;48;7;6;3;35;422
"250700 Itaporanga";36;35;44;27;43;30;32;37;21;54;34;27;420
"250710 Itapororoca";9;9;9;8;3;14;10;12;10;6;11;4;105
"250720 Itatuba";19;21;18;16;17;18;13;10;18;13;16;12;191
"250730 Jacaraú";9;2;8;9;5;5;6;2;9;9;13;6;83
"250740 Jericó";5;8;8;5;9;7;11;4;8;8;9;13;95
"250750 João Pessoa";477;577;1086;1074;825;954;947;928;983;900;846;799;10396
"251365 Joca Claudino";6;4;2;5;3;4;5;3;1;-;3;2;38
"250760 Juarez Távora";5;11;11;13;10;12;11;13;10;6;5;8;115
"250770 Juazeirinho";23;29;26;25;33;29;25;29;30;26;29;24;328
"250780 Junco do Seridó";6;3;3;4;3;6;4;5;10;7;2;4;57
"250790 Juripiranga";13;24;17;32;22;17;13;23;2;-;4;10;177
"250800 Juru";4;8;2;1;7;2;4;8;8;6;4;1;55
"250810 Lagoa";5;6;11;9;8;7;6;2;6;4;9;4;77
"250820 Lagoa de Dentro";6;5;13;11;7;2;3;2;5;5;2;7;68
"250830 Lagoa Seca";39;36;47;27;41;32;41;44;36;27;39;28;437
"250840 Lastro";4;4;3;5;6;2;3;6;2;-;-;1;36
"250850 Livramento";15;16;6;10;13;3;11;9;8;9;8;8;116
"250855 Logradouro";-;1;2;-;-;3;2;1;-;1;-;-;10
"250860 Lucena";9;6;6;11;8;3;1;6;7;8;2;5;72
"250870 Mãe d'Água";7;5;2;5;6;4;8;10;5;5;2;4;63
"250880 Malta";4;-;6;2;2;4;3;4;3;2;2;2;34
"250890 Mamanguape";34;26;33;31;39;34;37;28;29;37;29;43;400
"250900 Manaíra";13;11;7;5;7;5;9;6;3;7;4;4;81
"250910 Mari";6;6;16;8;8;11;8;8;14;5;4;4;98
"250915 Marizópolis";4;-;2;2;7;2;2;3;4;3;3;1;33
"250920 Massaranduba";22;22;23;17;15;9;11;11;10;13;16;10;179
"250930 Mataraca";5;5;4;3;1;3;4;8;7;8;4;6;58
"250933 Matinhas";-;4;4;1;1;3;2;5;5;6;2;5;38
"250937 Mato Grosso";-;1;4;1;2;3;1;3;1;2;3;2;23
"250939 Maturéia";2;-;1;1;-;1;-;2;-;-;-;2;9
"250940 Mogeiro";22;20;24;18;26;30;25;16;9;7;10;16;223
"250950 Montadas";5;11;3;5;13;7;9;3;8;4;8;3;79
"250960 Monte Horebe";7;11;9;10;6;7;4;3;8;11;5;3;84
"250970 Monteiro";49;49;56;51;55;31;34;27;27;35;43;50;507
"250980 Mulungu";8;10;11;10;12;12;8;16;6;9;6;2;110
"250990 Natuba";14;10;18;22;17;14;11;15;10;15;18;9;173
"251000 Nazarezinho";1;1;-;8;15;11;2;10;8;2;1;4;63
"251010 Nova Floresta";3;-;1;11;3;10;3;-;-;-;-;-;31
"251020 Nova Olinda";2;3;2;-;7;7;2;3;3;-;4;4;37
"251030 Nova Palmeira";1;5;3;-;2;-;-;-;-;1;-;-;12
"251040 Olho d'Água";8;11;13;9;14;9;10;6;4;12;5;4;105
"251050 Olivedos";4;5;5;4;2;7;4;3;4;5;2;9;54
"251060 Ouro Velho";2;4;3;2;3;2;2;4;5;2;7;5;41
"251065 Parari";1;-;1;-;-;-;-;1;-;-;-;-;3
"251070 Passagem";5;2;2;6;1;2;3;2;6;4;1;3;37
"251080 Patos";103;83;170;161;187;174;134;147;141;131;115;106;1652
"251090 Paulista";-;-;3;-;1;1;7;2;-;-;2;3;19
"251100 Pedra Branca";2;6;6;6;8;9;6;5;7;8;4;2;69
"251110 Pedra Lavrada";-;7;8;-;6;9;7;-;-;-;-;-;37
"251120 Pedras de Fogo";56;39;51;53;44;44;49;33;31;30;27;15;472
"251272 Pedro Régis";1;-;-;-;-;-;-;-;-;-;-;-;1
"251130 Piancó";11;13;13;19;18;15;24;19;4;4;2;3;145
"251140 Picuí";5;-;10;31;7;7;1;1;-;2;-;-;64
"251150 Pilar";16;19;13;24;24;19;21;23;10;7;14;13;203
"251160 Pilões";6;6;10;7;11;4;2;6;1;4;6;3;66
"251170 Pilõezinhos";4;3;6;6;6;5;1;1;4;7;4;3;50
"251180 Pirpirituba";15;2;10;17;9;5;4;4;11;11;12;8;108
"251190 Pitimbu";10;5;12;12;6;2;9;10;7;8;8;6;95
"251200 Pocinhos";24;19;29;19;29;30;31;25;18;26;21;23;294
"251203 Poço Dantas";1;5;7;6;6;7;3;8;5;-;2;3;53
"251207 Poço de José de Moura";4;3;6;5;4;3;3;2;5;3;-;2;40
"251210 Pombal";2;2;2;1;-;3;1;14;6;19;20;30;100
"251220 Prata";1;4;5;1;2;-;-;3;4;3;2;2;27
"251230 Princesa Isabel";35;39;46;45;42;38;46;31;46;45;33;26;472
"251240 Puxinanã";9;9;14;14;13;19;17;23;11;12;8;20;169
"251250 Queimadas";52;56;63;57;66;51;58;64;54;45;52;70;688
"251260 Quixabá";-;2;2;-;-;-;-;-;1;-;1;3;9
"251270 Remígio";27;19;22;33;36;27;18;24;21;23;29;20;299
"251274 Riachão";5;14;3;12;6;5;4;6;8;12;7;6;88
"251275 Riachão do Bacamarte";-;-;-;-;1;-;1;-;-;2;-;-;4
"251276 Riachão do Poço";1;-;-;-;-;-;-;-;-;-;-;-;1
"251278 Riacho de Santo Antônio";2;5;1;1;-;1;4;2;1;-;4;3;24
"251280 Riacho dos Cavalos";11;8;9;20;11;9;13;16;3;9;10;7;126
"251290 Rio Tinto";9;10;19;16;11;13;11;10;5;8;12;10;134
"251300 Salgadinho";13;14;5;13;8;8;6;7;8;9;2;3;96
"251310 Salgado de São Félix";17;19;16;19;15;17;13;17;3;5;2;14;157
"251315 Santa Cecília";-;1;-;2;5;4;5;2;-;1;3;-;23
"251320 Santa Cruz";1;3;-;-;3;2;2;2;1;1;1;3;19
"251330 Santa Helena";10;6;10;10;8;8;8;11;10;7;12;8;108
"251335 Santa Inês";-;-;1;4;1;2;2;2;3;2;-;2;19
"251340 Santa Luzia";12;-;13;27;23;14;20;22;16;18;18;24;207
"251370 Santa Rita";131;163;227;223;170;191;216;156;132;141;115;102;1967
"251380 Santa Teresinha";7;12;10;10;11;9;9;9;8;7;7;10;109
"251350 Santana de Mangueira";4;7;5;11;8;4;10;7;6;7;8;6;83
"251360 Santana dos Garrotes";12;5;7;10;9;9;5;10;6;-;3;8;84
"251385 Santo André";1;-;1;1;5;3;2;2;4;3;5;4;31
"251392 São Bentinho";1;-;-;1;-;-;-;-;1;-;1;1;5
"251390 São Bento";44;36;47;46;52;45;50;42;38;34;46;46;526
"251396 São Domingos";1;-;-;-;1;-;1;-;-;1;-;-;4
"251394 São Domingos do Cariri";1;1;5;2;4;2;2;2;3;2;3;3;30
"251398 São Francisco";4;3;1;1;3;4;4;3;1;1;1;2;28
"251400 São João do Cariri";2;6;2;2;8;4;5;4;5;3;4;1;46
"250070 São João do Rio do Peixe";13;13;18;17;29;26;26;24;19;19;22;16;242
"251410 São João do Tigre";6;9;8;11;3;1;6;4;5;2;4;4;63
"251420 São José da Lagoa Tapada";2;1;3;3;4;4;2;4;4;-;-;4;31
"251430 São José de Caiana";5;1;6;3;2;1;2;1;5;4;5;3;38
"251440 São José de Espinharas";3;2;4;1;1;4;8;5;6;5;3;2;44
"251450 São José de Piranhas";15;17;30;19;38;32;38;34;25;26;26;28;328
"251455 São José de Princesa";5;7;1;2;6;2;3;-;3;4;1;4;38
"251460 São José do Bonfim";6;5;5;4;3;7;6;6;3;3;3;5;56
"251465 São José do Brejo do Cruz";-;2;2;1;2;1;2;-;1;3;-;1;15
"251470 São José do Sabugi";3;1;7;6;3;5;2;5;5;1;2;3;43
"251480 São José dos Cordeiros";1;2;2;4;3;-;3;3;4;3;-;1;26
"251445 São José dos Ramos";4;2;5;4;6;6;8;5;1;-;-;3;44
"251490 São Mamede";-;-;1;-;1;1;3;-;-;-;3;1;10
"251500 São Miguel de Taipu";6;3;3;10;8;9;4;3;3;4;4;3;60
"251510 São Sebastião de Lagoa de Roça";13;8;8;8;18;11;11;10;14;19;14;7;141
"251520 São Sebastião do Umbuzeiro";5;2;3;3;1;2;3;2;2;2;1;4;30
"251540 São Vicente do Seridó";6;4;9;7;9;10;2;7;2;3;6;9;74
"251530 Sapé";41;39;42;43;34;45;49;32;37;41;35;46;484
"251550 Serra Branca";3;4;2;4;7;4;7;7;-;6;1;5;50
"251560 Serra da Raiz";4;3;2;1;4;2;-;2;2;3;-;-;23
"251570 Serra Grande";8;8;5;7;3;4;2;2;4;6;1;3;53
"251580 Serra Redonda";12;12;12;6;7;4;7;3;10;9;13;7;102
"251590 Serraria";13;9;12;14;9;11;6;7;9;10;9;12;121
"251593 Sertãozinho";1;-;1;1;2;4;1;4;2;1;1;-;18
"251597 Sobrado";3;-;-;-;-;-;-;-;-;-;-;-;3
"251600 Solânea";51;47;46;49;41;71;47;54;56;53;37;52;604
"251610 Soledade";2;8;25;10;11;7;16;10;5;6;8;6;114
"251615 Sossêgo";2;1;1;-;-;1;-;-;-;-;-;-;5
"251620 Sousa";34;32;31;102;82;45;37;71;72;50;32;18;606
"251630 Sumé";2;2;3;1;3;9;1;3;3;3;4;-;34
"251640 Tacima";18;9;25;13;7;22;15;11;7;3;4;4;138
"251650 Taperoá";18;17;24;21;35;19;25;15;13;15;11;15;228
"251660 Tavares";5;5;1;-;1;2;7;-;3;-;1;-;25
"251670 Teixeira";3;2;4;6;2;2;1;5;2;5;5;2;39
"251675 Tenório";-;-;6;1;3;5;4;-;3;1;1;1;25
"251680 Triunfo";10;9;10;18;18;18;12;19;13;10;10;10;157
"251690 Uiraúna";12;16;32;18;20;24;15;18;6;10;8;16;195
"251700 Umbuzeiro";17;20;29;24;10;15;12;14;6;13;20;7;187
"251710 Várzea";-;-;-;-;2;-;-;1;4;3;2;2;14
"251720 Vieirópolis";1;1;-;5;1;1;-;2;2;-;1;2;16
"250550 Vista Serrana";1;1;2;3;-;-;1;-;-;1;2;1;12
"251740 Zabelê";4;4;6;2;5;6;7;3;5;1;1;3;47
"250000 Município ignorado - PB";15;25;24;11;15;17;15;18;21;16;16;15;208
"260005 Abreu e Lima";126;114;152;160;149;108;116;118;123;130;104;120;1520
"260010 Afogados da Ingazeira";66;55;60;67;57;61;49;66;61;48;52;50;692
"260020 Afrânio";10;24;39;25;35;20;6;26;19;30;25;31;290
"260030 Agrestina";31;43;60;43;45;37;18;33;33;41;34;36;454
"260040 Água Preta";58;57;80;83;62;70;71;70;67;79;75;57;829
"260050 Águas Belas";70;82;89;90;103;74;59;68;79;74;89;79;956
"260060 Alagoinha";21;24;23;23;24;28;21;20;17;1;17;15;234
"260070 Aliança";64;64;76;73;89;61;56;78;48;50;37;3;699
"260080 Altinho";50;34;28;29;36;37;37;28;31;31;11;24;376
"260090 Amaraji";39;39;33;48;55;36;48;32;31;41;37;32;471
"260100 Angelim";14;18;10;16;22;20;13;16;17;15;14;11;186
"260105 Araçoiaba";24;35;23;24;38;24;28;34;24;20;22;15;311
"260110 Araripina";161;141;176;168;180;179;159;170;183;161;152;155;1985
"260120 Arcoverde";124;110;134;125;116;112;114;104;116;110;111;101;1377
"260130 Barra de Guabiraba";10;24;15;24;25;20;32;15;19;18;10;19;231
"260140 Barreiros";72;88;83;98;82;82;86;69;79;71;62;44;916
"260150 Belém de Maria";20;16;31;22;12;20;17;24;21;23;16;21;243
"260160 Belém do São Francisco";40;40;55;52;59;48;39;44;38;45;38;43;541
"260170 Belo Jardim";121;121;153;140;136;114;152;111;165;133;130;124;1600
"260180 Betânia";15;15;22;25;25;15;10;11;17;19;15;14;203
"260190 Bezerros";92;80;112;94;106;104;104;97;85;79;67;74;1094
"260200 Bodocó";72;61;85;69;71;65;58;76;73;61;74;54;819
"260210 Bom Conselho";69;67;83;86;71;54;58;72;75;71;71;58;835
"260220 Bom Jardim";67;49;66;72;66;71;63;43;33;30;35;5;600
"260230 Bonito";69;70;73;74;99;65;69;73;77;51;71;59;850
"260240 Brejão";20;21;23;27;29;15;21;16;21;23;17;26;259
"260250 Brejinho";20;7;16;6;14;12;7;16;17;6;7;12;140
"260260 Brejo da Madre de Deus";67;64;88;72;79;91;67;83;97;69;68;82;927
"260270 Buenos Aires";19;9;26;15;13;17;22;15;25;15;21;10;207
"260280 Buíque";124;95;117;107;113;51;97;108;108;76;120;111;1227
"260290 Cabo de Santo Agostinho";285;288;319;350;339;316;311;282;298;252;276;235;3551
"260300 Cabrobó";45;48;53;28;42;7;9;41;51;68;49;63;504
"260310 Cachoeirinha";32;25;39;36;32;28;26;31;34;33;17;19;352
"260320 Caetés";54;43;41;56;60;51;51;57;53;47;53;45;611
"260330 Calçado";10;20;16;17;24;18;16;21;20;13;17;6;198
"260340 Calumbi";14;13;17;13;14;18;8;11;8;16;11;10;153
"260345 Camaragibe";210;214;248;227;228;205;222;185;195;173;187;161;2455
"260350 Camocim de São Félix";19;27;25;25;14;25;30;22;30;15;15;29;276
"260360 Camutanga";13;14;25;14;10;21;17;10;1;2;2;2;131
"260370 Canhotinho";38;45;51;54;57;51;43;30;45;46;44;49;553
"260380 Capoeiras";33;35;40;40;40;41;35;35;35;28;34;42;438
"260390 Carnaíba";33;44;41;45;40;29;19;33;27;25;31;27;394
"260392 Carnaubeira da Penha";25;24;12;23;21;26;20;17;21;22;19;9;239
"260400 Carpina";99;89;119;108;100;103;99;88;76;58;28;32;999
"260410 Caruaru";376;363;424;448;487;418;432;468;440;423;360;415;5054
"260415 Casinhas";22;14;26;24;16;24;18;20;10;5;20;6;205
"260420 Catende";64;57;80;71;68;52;64;62;28;29;28;36;639
"260430 Cedro";25;20;14;14;9;20;11;19;22;18;14;5;191
"260440 Chã de Alegria";19;9;22;27;27;25;18;8;24;21;11;11;222
"260450 Chã Grande";22;24;33;24;31;25;22;29;33;36;41;11;331
"260460 Condado";41;52;46;57;40;64;44;33;5;13;14;9;418
"260470 Correntes";31;24;35;31;33;26;21;37;38;26;39;14;355
"260480 Cortês";37;29;38;23;28;38;23;27;19;25;22;27;336
"260490 Cumaru";22;29;31;24;35;32;23;3;4;1;4;-;208
"260500 Cupira";46;34;45;43;45;43;43;31;41;43;46;58;518
"260510 Custódia";11;57;60;57;55;58;54;42;44;58;23;51;570
"260515 Dormentes";23;17;33;19;10;9;16;24;20;29;9;27;236
"260520 Escada";137;110;132;138;136;106;136;119;116;96;121;107;1454
"260530 Exu";71;64;64;90;63;53;76;57;60;71;58;35;762
"260540 Feira Nova";27;45;34;38;36;28;28;26;15;16;10;6;309
"260545 Fernando de Noronha";3;1;-;1;1;1;1;1;-;-;3;-;12
"260550 Ferreiros";17;14;17;20;15;14;20;21;5;8;4;-;155
"260560 Flores";18;34;39;37;46;40;37;36;20;23;17;27;374
"260570 Floresta";54;45;63;59;63;48;50;71;46;45;49;37;630
"260580 Frei Miguelinho";18;17;21;25;24;16;15;12;8;7;8;5;176
"260590 Gameleira";33;40;48;50;40;40;42;40;36;35;34;42;480
"260600 Garanhuns";247;202;237;235;255;239;234;229;218;209;209;214;2728
"260610 Glória do Goitá";46;49;71;55;65;45;53;51;40;61;42;36;614
"260620 Goiana";96;87;146;111;131;124;113;110;98;91;91;99;1297
"260630 Granito";7;9;11;13;7;9;11;9;13;13;10;7;119
"260640 Gravatá";108;112;136;118;132;114;117;96;101;113;99;85;1331
"260650 Iati";30;36;42;43;35;39;29;31;32;42;24;34;417
"260660 Ibimirim";16;49;58;47;49;55;47;42;43;45;31;32;514
"260670 Ibirajuba";17;11;9;10;8;9;11;9;11;5;10;8;118
"260680 Igarassu";134;119;167;149;148;142;147;145;112;122;112;111;1608
"260690 Iguaracy";19;21;16;15;24;17;21;18;18;13;14;14;210
"260760 Ilha de Itamaracá";30;21;34;20;29;33;39;31;38;30;28;22;355
"260700 Inajá";22;22;26;20;17;28;17;26;18;16;16;18;246
"260710 Ingazeira";4;5;6;6;3;11;5;10;7;5;3;8;73
"260720 Ipojuca";125;94;131;127;138;145;137;112;122;111;100;90;1432
"260730 Ipubi";48;52;63;49;40;49;43;56;52;49;56;51;608
"260740 Itacuruba";4;14;5;8;9;7;1;1;3;4;2;3;61
"260750 Itaíba";52;59;46;56;60;56;42;44;43;40;56;42;596
"260765 Itambé";54;61;53;62;60;64;52;30;16;21;16;21;510
"260770 Itapetim";14;20;27;23;19;22;14;15;15;21;19;17;226
"260775 Itapissuma";44;34;50;45;59;39;40;40;44;36;44;29;504
"260780 Itaquitinga";34;32;19;22;11;20;20;21;27;23;2;4;235
"260790 Jaboatão dos Guararapes";854;855;1018;1076;1038;987;964;972;946;805;768;795;11078
"260795 Jaqueira";19;22;29;21;15;29;21;18;24;17;24;21;260
"260800 Jataúba";23;26;27;23;29;21;18;22;21;25;19;24;278
"260805 Jatobá";16;14;15;16;10;5;7;4;5;11;34;14;151
"260810 João Alfredo";41;52;73;50;48;42;51;55;56;51;38;-;557
"260820 Joaquim Nabuco";36;30;35;33;36;48;42;34;25;45;27;26;417
"260825 Jucati";15;10;21;12;27;16;12;13;11;10;16;26;189
"260830 Jupi";36;25;47;33;31;39;29;13;8;15;22;31;329
"260840 Jurema";33;23;36;31;27;24;35;30;27;26;32;35;359
