 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2001
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110150 Seringueiras";18;31;16;18;15;7;17;16;25;16;26;15;220
"110155 Teixeirópolis";9;11;5;5;1;4;1;6;3;2;-;3;50
"110160 Theobroma";14;4;22;17;16;17;21;32;15;24;24;19;225
"110170 Urupá";21;12;23;28;19;12;11;20;27;7;11;6;197
"110175 Vale do Anari";10;11;12;9;12;6;8;8;7;12;9;5;109
"110180 Vale do Paraíso";12;13;13;16;3;11;6;12;8;3;1;1;99
"110030 Vilhena";28;57;113;110;123;91;95;107;117;103;98;4;1046
"110000 Município ignorado - RO";12;5;-;5;5;6;4;6;7;-;8;2;60
"120001 Acrelândia";7;13;12;15;17;15;11;22;20;15;14;11;172
"120005 Assis Brasil";7;6;8;8;11;9;11;12;17;11;9;4;113
"120010 Brasiléia";50;27;44;50;39;35;46;42;54;47;8;19;461
"120013 Bujari";-;2;2;1;4;1;2;2;2;5;1;6;28
"120017 Capixaba";2;3;7;3;6;5;7;6;8;5;6;7;65
"120020 Cruzeiro do Sul";205;174;191;182;210;179;208;188;201;206;154;107;2205
"120025 Epitaciolândia";36;32;27;21;32;25;19;38;22;27;5;19;303
"120030 Feijó";21;31;57;34;32;54;37;40;60;50;56;44;516
"120032 Jordão";-;1;2;-;-;3;-;-;-;1;1;3;11
"120033 Mâncio Lima";14;19;29;22;22;21;19;11;24;24;21;22;248
"120034 Manoel Urbano";7;3;5;9;7;6;11;13;8;11;6;1;87
"120035 Marechal Thaumaturgo";29;14;25;18;22;19;24;29;13;21;13;21;248
"120038 Plácido de Castro";24;25;23;22;32;28;28;32;25;27;26;31;323
"120080 Porto Acre";8;3;3;3;1;8;5;12;8;8;10;6;75
"120039 Porto Walter";15;15;1;7;3;4;8;10;6;3;1;-;73
"120040 Rio Branco";665;584;680;717;689;645;608;630;601;702;631;636;7788
"120042 Rodrigues Alves";18;16;24;16;20;20;25;18;23;23;23;24;250
"120043 Santa Rosa do Purus";5;1;2;4;1;2;5;3;2;4;3;3;35
"120050 Sena Madureira";16;15;18;89;81;21;83;17;22;75;83;72;592
"120045 Senador Guiomard";26;26;21;31;38;16;15;23;18;19;24;11;268
"120060 Tarauacá";50;33;48;71;53;49;40;34;56;88;65;73;660
"120070 Xapuri";35;24;33;37;40;24;36;37;25;34;17;34;376
"120000 Município ignorado - AC";-;-;-;-;-;-;-;-;-;-;1;1;2
"130002 Alvarães";13;20;33;15;19;28;21;19;24;28;18;24;262
"130006 Amaturá";7;5;5;6;7;10;10;13;8;3;16;6;96
"130008 Anamã";31;25;22;19;20;24;11;11;26;21;30;11;251
"130010 Anori";22;20;21;20;23;26;18;23;25;26;34;21;279
"130014 Apuí";24;19;23;11;12;18;19;28;30;22;15;29;250
"130020 Atalaia do Norte";22;20;35;35;21;28;17;14;21;17;24;11;265
"130030 Autazes";64;62;47;67;68;63;68;58;70;66;68;68;769
"130040 Barcelos";28;21;26;25;22;3;15;16;26;28;32;17;259
"130050 Barreirinha";48;28;46;49;22;39;33;39;54;41;36;57;492
"130060 Benjamin Constant";28;42;43;64;72;76;47;57;63;61;37;47;637
"130063 Beruri";39;22;30;18;18;27;29;17;24;20;31;17;292
"130068 Boa Vista do Ramos";30;32;34;29;30;34;29;31;28;40;31;30;378
"130070 Boca do Acre";39;42;43;53;57;53;57;49;40;54;62;38;587
"130080 Borba";45;46;54;44;68;71;54;62;47;18;62;55;626
"130083 Caapiranga";7;7;7;13;19;5;9;10;18;7;11;4;117
"130090 Canutama";4;7;19;15;11;22;5;16;12;22;13;16;162
"130100 Carauari";32;23;23;35;36;29;41;39;29;37;54;43;421
"130110 Careiro";14;28;21;24;42;20;26;30;30;23;20;26;304
"130115 Careiro da Várzea";14;11;27;15;27;27;18;18;30;32;24;26;269
"130120 Coari";130;126;139;127;126;128;159;130;114;138;133;148;1598
"130130 Codajás";37;42;32;38;37;26;29;24;30;12;23;34;364
"130140 Eirunepé";33;56;51;52;60;57;53;61;89;56;56;58;682
"130150 Envira";29;33;21;27;30;29;26;21;28;40;37;31;352
"130160 Fonte Boa";34;40;43;36;29;28;44;32;50;52;54;45;487
"130165 Guajará";11;17;20;16;24;27;18;26;27;26;28;34;274
"130170 Humaitá";96;89;96;95;88;90;91;112;111;112;97;127;1204
"130180 Ipixuna";23;9;24;19;11;31;56;40;26;26;61;31;357
"130185 Iranduba";46;38;43;39;60;46;47;47;37;46;51;51;551
"130190 Itacoatiara";145;166;169;176;186;172;151;187;181;189;215;213;2150
"130195 Itamarati";4;6;12;7;10;13;16;14;12;10;17;10;131
"130200 Itapiranga";25;12;13;11;19;14;12;10;8;16;15;15;170
"130210 Japurá";2;4;7;7;11;4;10;11;13;12;10;9;100
"130220 Juruá";11;8;-;3;15;7;6;15;9;9;14;12;109
"130230 Jutaí";26;25;27;25;24;28;28;19;38;36;43;15;334
"130240 Lábrea";2;-;8;55;64;61;54;58;56;68;57;52;535
"130250 Manacapuru";198;207;198;239;226;202;182;201;185;71;207;178;2294
"130255 Manaquiri";11;29;18;17;12;11;14;18;20;17;10;-;177
"130260 Manaus";3166;2916;3235;3112;3282;2941;3091;2967;3097;3375;3304;3281;37767
"130270 Manicoré";51;34;37;46;55;62;62;61;56;71;58;57;650
"130280 Maraã";19;17;21;22;20;30;28;29;30;28;22;22;288
"130290 Maués";72;65;68;85;89;96;98;101;70;93;120;82;1039
"130300 Nhamundá";28;30;24;25;26;26;32;43;34;38;17;28;351
"130310 Nova Olinda do Norte";45;45;49;48;40;43;51;41;28;51;41;55;537
"130320 Novo Airão";15;18;24;27;16;28;21;25;20;19;23;24;260
"130330 Novo Aripuanã";22;2;33;40;27;19;5;27;4;26;23;25;253
"130340 Parintins";229;204;203;185;194;194;197;210;204;226;224;213;2483
"130350 Pauini";12;8;23;14;26;26;25;25;22;17;31;25;254
"130353 Presidente Figueiredo";40;27;48;24;28;29;33;29;27;39;40;19;383
"130356 Rio Preto da Eva";15;22;21;24;14;16;19;22;20;25;21;14;233
"130360 Santa Isabel do Rio Negro";18;12;11;11;15;21;8;10;19;17;14;8;164
"130370 Santo Antônio do Içá";24;28;22;3;12;14;13;31;48;52;37;33;317
"130380 São Gabriel da Cachoeira";146;107;109;126;112;116;133;85;125;181;160;111;1511
"130390 São Paulo de Olivença";35;28;25;26;7;11;27;28;37;31;36;22;313
"130395 São Sebastião do Uatumã";7;9;15;10;10;10;13;9;19;17;12;7;138
"130400 Silves";15;24;19;20;13;13;17;16;17;24;20;10;208
"130406 Tabatinga";81;86;76;73;91;74;100;87;101;98;75;89;1031
"130410 Tapauá";28;28;19;48;46;42;45;42;37;48;41;35;459
"130420 Tefé";142;119;144;137;129;124;126;133;156;150;158;143;1661
"130423 Tonantins";27;13;23;19;21;25;9;30;34;27;31;19;278
"130426 Uarini";34;26;20;29;32;18;34;36;32;26;43;36;366
"130430 Urucará";37;32;32;31;30;32;11;33;36;33;25;21;353
"130440 Urucurituba";19;19;27;35;37;25;22;28;33;41;49;33;368
"130000 Município ignorado - AM";-;-;-;-;-;-;-;-;-;-;-;2;2
"140005 Alto Alegre";43;28;39;38;37;32;35;41;41;26;43;36;439
"140002 Amajari";16;14;15;14;15;17;11;23;23;25;21;27;221
"140010 Boa Vista";552;456;472;463;534;481;493;499;509;576;533;483;6051
"140015 Bonfim";14;9;20;30;14;14;14;25;24;18;23;25;230
"140017 Cantá";16;13;16;10;22;21;16;12;20;13;22;11;192
"140020 Caracaraí";35;33;48;42;34;35;41;36;29;41;43;34;451
"140023 Caroebe";17;12;12;18;11;12;12;11;18;18;17;11;169
"140028 Iracema";16;7;8;15;11;6;10;20;12;11;21;15;152
"140030 Mucajaí";27;26;22;22;21;19;30;28;43;26;28;22;314
"140040 Normandia";25;21;24;16;22;27;15;25;24;27;44;21;291
"140045 Pacaraima";25;17;19;22;27;23;27;20;23;26;29;18;276
"140047 Rorainópolis";31;28;25;26;25;28;33;27;37;29;34;32;355
"140050 São João da Baliza";5;7;11;2;11;12;9;8;10;17;16;11;119
"140060 São Luiz";8;10;8;13;5;10;6;6;12;9;6;15;108
"140070 Uiramutã";25;19;17;14;23;16;13;24;18;22;22;18;231
"140000 Município ignorado - RR";-;-;-;-;-;-;1;-;-;-;-;-;1
"150010 Abaetetuba";255;185;220;337;336;319;240;238;316;309;282;264;3301
"150013 Abel Figueiredo";9;7;4;5;7;4;5;4;2;6;6;2;61
"150020 Acará";70;65;81;60;61;48;56;52;59;53;54;28;687
"150030 Afuá";51;49;64;52;56;40;44;56;72;67;41;91;683
"150034 Água Azul do Norte";13;10;17;18;19;7;6;7;13;5;4;7;126
"150040 Alenquer";106;106;110;111;100;114;123;146;124;130;30;117;1317
"150050 Almeirim";54;51;55;43;57;43;70;71;71;85;88;73;761
"150060 Altamira";167;147;212;190;174;164;183;203;216;222;208;192;2278
"150070 Anajás";18;23;31;28;27;33;21;40;24;33;35;31;344
"150080 Ananindeua";895;774;814;788;960;881;853;817;853;914;797;862;10208
"150085 Anapu";11;12;21;19;20;24;25;18;17;21;25;29;242
"150090 Augusto Corrêa";52;50;51;38;71;62;63;55;61;53;38;46;640
"150095 Aurora do Pará";33;20;47;43;36;49;37;35;30;39;35;38;442
"150100 Aveiro";15;15;17;39;32;28;21;25;28;28;25;21;294
"150110 Bagre";30;28;30;36;33;24;32;19;24;28;29;20;333
"150120 Baião";25;15;35;26;28;48;16;20;21;17;28;9;288
"150125 Bannach";6;8;2;4;2;2;3;2;2;6;6;3;46
"150130 Barcarena";125;128;103;106;131;145;125;126;123;130;147;108;1497
"150140 Belém";1920;2075;2383;2182;2455;2234;2156;1626;1817;2241;2184;2290;25563
"150145 Belterra";14;10;17;20;14;24;22;18;31;31;28;20;249
"150150 Benevides";63;50;75;62;77;83;74;65;67;93;66;65;840
"150157 Bom Jesus do Tocantins";10;25;14;11;9;13;17;27;20;18;26;8;198
"150160 Bonito";7;7;22;8;12;11;14;15;10;9;17;15;147
"150170 Bragança";187;183;205;184;191;195;188;197;162;207;203;191;2293
"150172 Brasil Novo";24;19;21;25;27;15;24;25;29;36;20;33;298
"150175 Brejo Grande do Araguaia";13;6;8;9;4;3;8;5;13;11;5;16;101
"150178 Breu Branco";14;18;37;13;27;32;28;25;28;30;30;26;308
"150180 Breves";140;125;161;162;161;190;176;180;203;170;190;188;2046
"150190 Bujaru";28;31;24;31;26;27;15;24;36;37;33;32;344
"150200 Cachoeira do Arari";17;10;17;22;19;22;27;16;20;23;13;15;221
"150195 Cachoeira do Piriá";10;7;18;22;27;19;19;20;21;15;9;14;201
"150210 Cametá";218;172;214;213;225;228;264;254;254;238;256;201;2737
"150215 Canaã dos Carajás";6;12;20;14;17;15;27;27;20;22;19;25;224
"150220 Capanema";98;51;98;112;112;105;111;117;110;103;108;106;1231
"150230 Capitão Poço";61;82;86;62;73;69;67;51;55;63;71;62;802
"150240 Castanhal";265;258;294;293;286;296;286;283;309;289;303;296;3458
"150250 Chaves";6;11;16;9;21;6;10;10;8;16;10;9;132
"150260 Colares";13;8;9;18;12;18;11;14;16;13;16;8;156
"150270 Conceição do Araguaia";82;70;99;103;104;119;101;89;107;101;110;98;1183
"150275 Concórdia do Pará";27;24;18;20;26;26;29;36;46;40;36;40;368
"150276 Cumaru do Norte";3;2;2;3;1;-;3;2;10;11;4;7;48
"150277 Curionópolis";37;26;42;31;37;33;44;26;36;36;34;33;415
"150280 Curralinho";25;7;25;19;18;15;19;20;17;21;14;5;205
"150285 Curuá";10;12;18;15;16;21;18;19;24;10;16;20;199
"150290 Curuçá";12;17;19;20;18;14;22;15;24;31;34;30;256
"150293 Dom Eliseu";78;79;74;90;79;75;55;93;28;54;55;73;833
"150295 Eldorado do Carajás";53;41;40;55;58;44;45;45;54;41;49;39;564
"150300 Faro";13;7;15;8;10;9;15;19;18;20;13;-;147
"150304 Floresta do Araguaia";22;16;26;20;32;15;19;29;25;28;22;24;278
"150307 Garrafão do Norte";51;54;58;57;60;60;63;62;71;58;42;34;670
"150309 Goianésia do Pará";50;38;53;48;57;48;54;55;63;66;59;58;649
"150310 Gurupá";41;31;42;35;43;47;42;39;56;52;60;59;547
"150320 Igarapé-Açu";54;45;45;45;50;56;45;62;51;52;39;64;608
"150330 Igarapé-Miri";81;83;63;90;73;130;92;90;104;85;106;77;1074
"150340 Inhangapi";14;15;15;14;20;14;24;15;18;12;27;13;201
"150345 Ipixuna do Pará";47;35;47;40;40;36;55;37;65;38;67;41;548
"150350 Irituia";73;51;56;69;58;65;64;40;69;90;48;47;730
"150360 Itaituba";305;268;331;253;315;278;300;282;302;284;259;339;3516
"150370 Itupiranga";18;60;54;80;62;89;65;48;75;81;94;69;795
"150375 Jacareacanga";18;23;17;24;30;25;19;18;27;15;14;-;230
"150380 Jacundá";87;91;104;98;96;108;105;103;103;130;105;105;1235
"150390 Juruti";30;35;27;38;37;40;42;64;36;44;43;46;482
"150400 Limoeiro do Ajuru";21;16;16;28;32;38;27;27;26;18;16;10;275
"150405 Mãe do Rio";70;50;60;63;71;69;61;60;58;69;70;54;755
"150410 Magalhães Barata";7;9;18;10;16;10;5;8;10;4;8;10;115
"150420 Marabá";334;308;314;288;351;295;322;354;368;320;340;279;3873
"150430 Maracanã";18;22;22;18;18;25;16;17;30;26;21;21;254
"150440 Marapanim";22;20;19;10;22;6;21;20;8;22;14;12;196
"150442 Marituba";152;131;161;121;168;134;120;136;128;132;162;135;1680
"150445 Medicilândia";43;35;43;41;53;55;40;55;43;46;54;38;546
"150450 Melgaço";15;10;17;22;17;24;20;15;15;17;22;17;211
"150460 Mocajuba";24;33;38;41;42;39;47;61;39;42;49;19;474
"150470 Moju";42;38;85;84;44;54;100;54;93;62;10;9;675
"150480 Monte Alegre";144;116;144;132;140;138;126;126;136;138;144;143;1627
"150490 Muaná";27;24;31;43;41;33;36;40;35;23;23;3;359
"150495 Nova Esperança do Piriá";16;15;19;25;21;21;20;33;24;29;22;21;266
"150497 Nova Ipixuna";9;6;5;4;6;4;6;4;6;8;8;4;70
"150500 Nova Timboteua";31;14;28;25;20;18;21;25;20;15;18;12;247
"150503 Novo Progresso";32;26;33;33;24;19;22;28;33;21;21;3;295
"150506 Novo Repartimento";67;62;65;92;96;99;105;92;93;115;96;81;1063
"150510 Óbidos";103;79;113;90;103;100;92;94;118;34;7;100;1033
"150520 Oeiras do Pará";58;43;39;45;55;52;58;30;44;45;30;37;536
"150530 Oriximiná";139;119;114;110;116;117;106;118;115;127;118;125;1424
"150540 Ourém";30;28;19;28;36;37;19;20;27;36;23;17;320
"150543 Ourilândia do Norte";16;18;28;24;24;26;36;21;25;28;22;23;291
"150548 Pacajá";41;23;56;57;49;64;48;47;50;54;55;45;589
"150549 Palestina do Pará";14;10;25;16;26;16;20;19;19;22;20;14;221
"150550 Paragominas";166;128;166;156;172;199;182;188;183;198;165;186;2089
"150553 Parauapebas";161;161;207;188;206;179;184;187;193;189;171;189;2215
"150555 Pau D'Arco";11;8;7;3;2;2;-;7;4;9;8;12;73
"150560 Peixe-Boi";10;6;12;10;12;15;13;23;12;16;16;9;154
"150563 Piçarra";10;10;14;11;18;12;27;17;16;15;16;11;177
"150565 Placas";18;17;16;15;14;18;14;24;20;30;26;37;249
"150570 Ponta de Pedras";14;13;20;16;16;19;27;24;22;25;18;22;236
"150580 Portel";79;78;62;71;77;84;74;83;75;80;86;7;856
"150590 Porto de Moz";39;35;50;31;38;35;49;36;58;10;38;38;457
"150600 Prainha";34;35;33;36;44;37;41;35;60;51;44;39;489
"150610 Primavera";22;14;18;29;25;16;22;27;26;24;12;21;256
"150611 Quatipuru";21;15;22;18;23;26;16;24;27;22;21;14;249
"150613 Redenção";111;133;126;166;180;182;160;143;183;175;158;134;1851
"150616 Rio Maria";48;20;32;37;39;41;29;28;33;45;30;31;413
"150618 Rondon do Pará";69;84;85;104;96;92;104;87;90;86;99;89;1085
"150619 Rurópolis";28;35;34;30;36;37;41;37;35;33;48;36;430
"150620 Salinópolis";69;72;61;86;88;55;84;74;86;68;71;58;872
"150630 Salvaterra";21;17;18;18;23;17;14;26;20;21;20;13;228
"150635 Santa Bárbara do Pará";21;19;18;17;21;23;21;16;19;22;23;25;245
"150640 Santa Cruz do Arari";5;5;5;2;4;6;5;4;6;10;5;3;60
"150650 Santa Izabel do Pará";106;101;105;135;117;106;112;105;86;91;82;83;1229
"150655 Santa Luzia do Pará";22;21;40;15;36;26;29;38;38;37;38;38;378
"150658 Santa Maria das Barreiras";5;6;7;10;18;12;15;9;6;12;13;6;119
"150660 Santa Maria do Pará";40;25;35;39;47;47;49;54;44;48;47;38;513
"150670 Santana do Araguaia";47;36;47;53;47;49;50;37;50;36;44;45;541
"150680 Santarém";373;399;453;435;462;473;477;580;609;637;588;580;6066
"150690 Santarém Novo";15;7;10;9;9;8;7;10;4;12;1;10;102
"150700 Santo Antônio do Tauá";36;36;52;42;57;41;53;38;50;43;28;22;498
"150710 São Caetano de Odivelas";18;22;18;21;18;17;15;14;26;15;15;15;214
"150715 São Domingos do Araguaia";38;26;54;37;44;30;61;54;44;46;38;46;518
"150720 São Domingos do Capim";50;42;47;61;30;54;48;62;54;52;42;34;576
"150730 São Félix do Xingu";71;50;73;68;80;64;74;87;101;80;89;65;902
"150740 São Francisco do Pará";19;22;18;17;26;25;19;21;26;10;21;14;238
"150745 São Geraldo do Araguaia";56;53;52;76;56;67;87;69;60;76;65;68;785
"150746 São João da Ponta";6;4;8;4;5;4;3;4;3;10;5;5;61
"150747 São João de Pirabas";19;17;18;25;25;24;30;31;23;18;32;19;281
"150750 São João do Araguaia";12;9;15;17;13;14;16;15;23;11;19;19;183
"150760 São Miguel do Guamá";91;89;103;110;97;100;105;75;105;108;88;94;1165
"150770 São Sebastião da Boa Vista";15;10;26;21;36;13;17;17;21;16;17;24;233
"150775 Sapucaia";7;5;7;11;11;8;6;3;3;5;4;7;77
"150780 Senador José Porfírio";12;25;27;21;22;14;19;15;17;36;24;18;250
"150790 Soure";21;29;23;18;25;24;40;27;34;42;27;29;339
"150795 Tailândia";90;86;124;124;92;112;100;108;114;121;120;109;1300
"150796 Terra Alta";10;9;15;8;17;9;6;18;20;5;7;13;137
"150797 Terra Santa";20;22;35;37;31;36;22;23;31;37;2;23;319
"150800 Tomé-Açu";73;65;89;63;44;33;54;42;31;7;34;3;538
"150803 Tracuateua";44;33;28;30;41;36;56;48;55;44;35;39;489
"150805 Trairão";11;13;6;13;28;17;16;13;22;23;26;34;222
"150808 Tucumã";35;31;47;43;42;51;48;55;62;70;57;47;588
"150810 Tucuruí";45;83;122;85;135;119;90;131;135;118;113;78;1254
"150812 Ulianópolis";26;12;25;19;27;25;20;31;28;36;14;21;284
"150815 Uruará";59;48;72;59;64;50;52;78;63;73;66;72;756
"150820 Vigia";70;55;73;68;58;70;87;76;94;89;65;48;853
"150830 Viseu";66;68;77;84;80;69;88;85;92;76;62;51;898
"150835 Vitória do Xingu";15;14;17;16;13;18;14;15;22;18;18;16;196
"150840 Xinguara";56;69;69;68;73;60;48;31;51;52;52;50;679
"150000 Município ignorado - PA";2;-;-;-;-;2;-;-;-;-;-;-;4
"160010 Amapá";22;19;18;19;21;16;14;27;31;23;31;24;265
"160020 Calçoene";15;15;12;14;8;10;3;14;14;8;7;6;126
"160021 Cutias";3;6;4;8;10;5;4;9;3;5;14;6;77
"160023 Ferreira Gomes";9;9;7;14;8;12;13;9;15;7;11;4;118
"160025 Itaubal";4;3;9;2;-;4;9;3;5;8;10;6;63
"160027 Laranjal do Jari";73;75;24;65;40;33;70;92;74;98;80;94;818
"160030 Macapá";739;679;741;692;716;738;753;672;769;819;787;814;8919
"160040 Mazagão";47;34;37;24;34;29;29;27;25;32;19;31;368
"160050 Oiapoque";17;20;23;28;25;23;21;30;24;22;17;29;279
"160015 Pedra Branca do Amapari";4;9;12;5;7;5;4;2;6;4;3;3;64
"160053 Porto Grande";24;18;27;29;33;22;16;22;31;35;19;28;304
"160055 Pracuúba";2;5;5;3;-;4;2;3;2;6;2;5;39
"160060 Santana";181;163;218;212;223;212;207;227;253;237;212;231;2576
"160005 Serra do Navio";11;10;6;9;6;4;8;11;8;4;13;2;92
"160070 Tartarugalzinho";17;15;14;20;13;20;18;18;17;31;18;8;209
"160080 Vitória do Jari";29;22;18;28;21;22;27;23;24;27;32;19;292
"170025 Abreulândia";-;2;1;4;5;2;2;5;2;4;8;4;39
"170030 Aguiarnópolis";6;2;3;6;6;4;8;5;2;3;5;6;56
"170035 Aliança do Tocantins";6;2;9;12;15;7;7;11;7;9;15;8;108
"170040 Almas";11;15;8;7;12;20;12;23;12;13;14;6;153
"170070 Alvorada";19;10;10;12;13;11;16;3;12;10;19;10;145
"170100 Ananás";24;15;25;19;22;18;16;13;27;18;22;21;240
"170105 Angico";3;8;5;3;2;4;8;8;4;-;8;2;55
"170110 Aparecida do Rio Negro";6;4;3;3;6;1;9;5;8;5;2;4;56
"170130 Aragominas";8;7;10;9;10;8;12;11;11;15;7;7;115
"170190 Araguacema";7;7;9;15;9;20;15;10;14;12;15;6;139
"170200 Araguaçu";19;19;15;19;18;13;24;15;17;14;12;19;204
"170210 Araguaína";198;199;273;260;256;269;229;271;250;232;217;222;2876
"170215 Araguanã";5;6;11;13;8;7;6;9;12;2;5;5;89
"170220 Araguatins";44;59;63;58;61;70;67;68;62;71;52;67;742
"170230 Arapoema";11;13;20;12;17;17;23;14;19;18;16;19;199
"170240 Arraias";17;17;25;17;21;18;27;21;17;20;22;30;252
"170255 Augustinópolis";21;20;25;34;36;38;29;37;37;32;34;31;374
"170270 Aurora do Tocantins";6;3;6;4;3;5;4;6;5;8;1;5;56
"170290 Axixá do Tocantins";24;23;25;24;37;26;26;26;38;21;25;17;312
"170300 Babaçulândia";16;7;20;12;9;10;17;25;24;14;9;9;172
"170305 Bandeirantes do Tocantins";1;3;3;3;2;6;6;6;14;6;2;4;56
"170307 Barra do Ouro";5;4;10;6;10;9;7;10;10;6;6;2;85
"170310 Barrolândia";11;7;13;12;13;9;7;12;7;13;10;6;120
"170320 Bernardo Sayão";2;1;7;8;9;5;3;6;6;6;8;2;63
"170330 Bom Jesus do Tocantins";6;-;4;-;3;4;4;4;1;7;1;5;39
"170360 Brasilândia do Tocantins";1;1;6;4;3;4;1;-;2;4;6;5;37
"170370 Brejinho de Nazaré";6;6;7;10;15;25;11;14;7;10;11;3;125
"170380 Buriti do Tocantins";23;14;15;25;15;26;17;21;16;26;18;12;228
"170382 Cachoeirinha";7;3;2;2;3;3;2;2;8;8;-;3;43
"170384 Campos Lindos";5;3;12;8;6;3;2;7;3;6;4;3;62
"170386 Cariri do Tocantins";5;3;4;2;7;3;2;4;-;2;5;7;44
"170388 Carmolândia";7;2;6;5;3;7;3;4;-;2;8;4;51
"170389 Carrasco Bonito";3;6;9;8;7;7;13;8;9;6;7;10;93
"170390 Caseara";3;7;-;9;9;5;7;7;7;3;3;8;68
"170410 Centenário";4;4;4;3;3;5;1;4;6;5;11;11;61
"170510 Chapada da Natividade";3;4;2;6;6;1;7;6;3;1;2;3;44
"170460 Chapada de Areia";2;2;-;1;1;1;1;1;2;-;2;2;15
"170550 Colinas do Tocantins";60;52;83;66;69;58;72;70;76;75;55;88;824
"171670 Colméia";24;15;16;23;15;12;19;12;15;6;17;16;190
"170555 Combinado";3;11;8;12;10;10;7;17;12;6;-;2;98
"170560 Conceição do Tocantins";11;7;5;7;6;9;8;9;5;8;5;16;96
"170600 Couto Magalhães";7;1;7;2;2;9;13;5;11;5;7;5;74
"170610 Cristalândia";13;9;13;19;11;15;7;8;6;18;8;15;142
"170625 Crixás do Tocantins";-;2;-;3;2;3;3;1;2;2;1;-;19
"170650 Darcinópolis";11;2;8;3;2;12;6;8;6;11;12;4;85
