 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2001
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";68;44;75;47;64;58;47;66;53;58;67;74;721
"110037 Alto Alegre dos Parecis";24;13;12;2;19;16;18;10;29;11;17;8;179
"110040 Alto Paraíso";20;23;17;17;22;20;26;20;25;23;25;20;258
"110034 Alvorada D'Oeste";30;28;38;42;32;43;35;51;43;53;43;45;483
"110002 Ariquemes";167;133;192;184;189;140;188;159;171;188;183;176;2070
"110045 Buritis";60;28;26;68;122;56;50;42;28;23;88;31;622
"110003 Cabixi";15;7;2;1;4;10;14;13;11;8;13;3;101
"110060 Cacaulândia";21;9;3;2;4;6;1;4;12;4;4;-;70
"110004 Cacoal";137;119;132;131;148;141;139;161;137;162;154;141;1702
"110070 Campo Novo de Rondônia";7;13;8;12;9;13;6;8;16;11;9;9;121
"110080 Candeias do Jamari";5;2;1;1;18;2;8;8;9;7;17;2;80
"110090 Castanheiras";2;7;10;3;3;4;4;6;6;2;7;3;57
"110005 Cerejeiras";20;26;24;4;2;4;2;31;22;27;26;31;219
"110092 Chupinguaia";5;6;8;8;3;10;8;14;8;1;6;3;80
"110006 Colorado do Oeste";43;29;3;6;4;10;8;35;46;24;33;22;263
"110007 Corumbiara";5;10;7;1;-;4;-;12;11;17;13;12;92
"110008 Costa Marques";23;19;1;3;2;-;5;28;19;22;26;14;162
"110094 Cujubim";9;19;15;25;11;11;10;10;11;15;8;8;152
"110009 Espigão D'Oeste";45;30;56;49;6;47;47;54;46;57;48;42;527
"110100 Governador Jorge Teixeira";18;25;11;19;25;20;16;21;17;9;22;29;232
"110010 Guajará-Mirim";81;81;87;108;110;69;79;95;86;59;23;70;948
"110110 Itapuã do Oeste";7;8;1;1;2;3;1;-;2;6;3;-;34
"110011 Jaru";105;108;97;105;124;109;92;117;108;99;105;103;1272
"110012 Ji-Paraná";185;174;214;203;223;8;189;43;16;209;187;204;1855
"110013 Machadinho D'Oeste";41;47;48;38;-;21;61;54;52;44;15;44;465
"110120 Ministro Andreazza";14;17;30;14;27;24;14;27;11;17;15;19;229
"110130 Mirante da Serra";30;27;35;27;35;31;24;38;20;28;21;32;348
"110140 Monte Negro";31;38;3;7;14;15;7;14;16;16;9;6;176
"110014 Nova Brasilândia D'Oeste";13;33;43;41;43;33;38;50;40;44;25;21;424
"110033 Nova Mamoré";21;9;9;11;2;6;12;23;32;49;38;24;236
"110143 Nova União";11;9;13;11;4;8;3;9;7;5;2;6;88
"110050 Novo Horizonte do Oeste";20;13;20;1;19;24;19;26;14;16;18;2;192
"110015 Ouro Preto do Oeste";76;64;71;75;22;67;18;57;49;13;4;3;519
"110145 Parecis";4;1;8;5;13;9;10;7;2;3;4;11;77
"110018 Pimenta Bueno";50;59;70;53;55;56;68;56;62;71;56;102;758
"110146 Pimenteiras do Oeste";2;3;6;-;-;2;1;10;8;3;6;2;43
"110020 Porto Velho";640;632;685;667;674;636;672;654;694;714;707;703;8078
"110025 Presidente Médici";43;27;37;48;45;35;33;23;30;32;54;33;440
"110147 Primavera de Rondônia";6;4;7;8;7;9;3;2;9;10;5;13;83
"110026 Rio Crespo";3;2;4;-;1;5;3;3;7;6;5;4;43
"110028 Rolim de Moura";83;75;74;7;83;89;81;98;92;122;103;5;912
"110029 Santa Luzia D'Oeste";45;17;19;3;14;17;20;20;12;8;19;9;203
"110148 São Felipe D'Oeste";8;10;10;10;12;10;17;16;8;2;6;15;124
"110149 São Francisco do Guaporé";27;29;5;20;19;14;25;25;21;20;5;2;212
"110032 São Miguel do Guaporé";38;38;7;6;8;6;7;11;31;52;53;23;280
