"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,2601300,Barra de Guabiraba (PE),Total,Total,13,15,14,11,17,13,12,15,15,11,9,10
MU,2601409,Barreiros (PE),Total,Total,54,36,51,61,61,70,64,55,42,45,38,38
MU,2601508,Belém de Maria (PE),Total,Total,13,10,11,11,9,8,14,12,14,12,7,4
MU,2601607,Belém do São Francisco (PE),Total,Total,34,23,36,28,33,33,18,21,28,25,15,15
MU,2601706,Belo Jardim (PE),Total,Total,84,93,102,110,113,105,109,73,57,42,64,75
MU,2601805,Betânia (PE),Total,Total,16,20,12,18,19,20,11,12,14,14,8,7
MU,2601904,Bezerros (PE),Total,Total,75,52,54,57,64,60,59,50,56,40,34,47
MU,2602001,Bodocó (PE),Total,Total,37,46,45,44,55,52,59,44,36,41,25,24
MU,2602100,Bom Conselho (PE),Total,Total,48,43,55,77,49,55,73,46,51,49,41,45
MU,2602209,Bom Jardim (PE),Total,Total,32,40,45,26,42,37,31,25,30,20,24,31
MU,2602308,Bonito (PE),Total,Total,57,51,55,48,61,47,55,51,52,37,38,37
MU,2602407,Brejão (PE),Total,Total,17,12,13,16,19,17,14,11,12,12,8,9
MU,2602506,Brejinho (PE),Total,Total,9,10,7,6,8,-,1,1,3,7,7,5
MU,2602605,Brejo da Madre de Deus (PE),Total,Total,54,63,42,55,51,55,46,48,38,32,40,31
MU,2602704,Buenos Aires (PE),Total,Total,14,10,17,12,24,17,19,16,11,10,7,12
MU,2602803,Buíque (PE),Total,Total,56,72,74,80,79,74,78,59,65,67,53,65
MU,2602902,Cabo de Santo Agostinho (PE),Total,Total,255,231,281,247,275,267,239,243,234,204,196,174
MU,2603009,Cabrobó (PE),Total,Total,28,35,39,39,52,50,49,38,29,42,37,39
MU,2603108,Cachoeirinha (PE),Total,Total,19,23,27,26,27,22,17,20,27,16,19,9
MU,2603207,Caetés (PE),Total,Total,32,42,40,29,36,31,29,32,27,21,27,29
MU,2603306,Calçado (PE),Total,Total,9,12,11,9,14,13,18,14,8,3,7,8
MU,2603405,Calumbi (PE),Total,Total,9,14,12,7,7,8,6,8,9,10,6,6
MU,2603454,Camaragibe (PE),Total,Total,182,163,183,208,202,224,220,188,168,139,110,128
MU,2603504,Camocim de São Félix (PE),Total,Total,22,18,27,18,17,20,25,21,14,26,12,17
MU,2603603,Camutanga (PE),Total,Total,3,10,8,6,17,10,10,7,8,10,7,9
MU,2603702,Canhotinho (PE),Total,Total,28,34,30,32,24,29,31,30,28,18,28,22
MU,2603801,Capoeiras (PE),Total,Total,26,25,27,23,30,27,31,23,17,18,17,11
MU,2603900,Carnaíba (PE),Total,Total,18,26,25,17,27,30,21,17,24,14,17,17
MU,2603926,Carnaubeira da Penha (PE),Total,Total,23,22,29,24,32,23,19,27,20,20,20,15
MU,2604007,Carpina (PE),Total,Total,56,87,86,88,86,81,78,78,74,53,50,54
MU,2604106,Caruaru (PE),Total,Total,413,394,525,487,511,494,425,405,350,302,273,347
MU,2604155,Casinhas (PE),Total,Total,18,14,17,13,17,16,13,8,15,7,12,8
MU,2604205,Catende (PE),Total,Total,40,47,53,68,56,43,47,49,46,44,28,27
MU,2604304,Cedro (PE),Total,Total,14,23,19,18,12,11,15,10,14,14,10,8
MU,2604403,Chã de Alegria (PE),Total,Total,12,26,20,18,28,26,19,15,20,14,15,10
MU,2604502,Chã Grande (PE),Total,Total,27,23,38,21,30,23,23,28,11,23,21,17
MU,2604601,Condado (PE),Total,Total,33,29,38,47,41,27,37,35,27,35,24,25
MU,2604700,Correntes (PE),Total,Total,22,19,21,12,26,29,22,18,12,15,15,11
MU,2604809,Cortês (PE),Total,Total,20,16,22,15,22,15,19,16,20,18,11,12
MU,2604908,Cumaru (PE),Total,Total,9,11,17,21,10,14,10,11,11,9,10,5
MU,2605004,Cupira (PE),Total,Total,24,23,41,31,36,33,45,28,35,27,19,24
MU,2605103,Custódia (PE),Total,Total,35,37,62,45,35,22,43,32,28,41,32,33
MU,2605152,Dormentes (PE),Total,Total,17,19,25,14,19,24,28,10,16,19,18,18
MU,2605202,Escada (PE),Total,Total,89,84,86,74,105,71,90,85,74,63,72,77
MU,2605301,Exu (PE),Total,Total,35,35,41,46,35,44,41,41,30,31,28,33
MU,2605400,Feira Nova (PE),Total,Total,20,26,31,31,37,29,32,16,19,21,13,21
MU,2605459,Fernando de Noronha (PE),Total,Total,1,2,2,7,3,1,1,5,6,4,3,3
MU,2605509,Ferreiros (PE),Total,Total,14,15,17,19,21,20,6,13,21,13,8,10
MU,2605608,Flores (PE),Total,Total,19,22,33,20,19,28,21,16,15,12,16,17
MU,2605707,Floresta (PE),Total,Total,44,45,28,33,58,44,26,26,40,25,15,35
MU,2605806,Frei Miguelinho (PE),Total,Total,10,17,15,12,14,12,9,17,3,9,12,5
MU,2605905,Gameleira (PE),Total,Total,31,24,28,34,33,31,32,23,26,33,23,27
MU,2606002,Garanhuns (PE),Total,Total,154,167,186,189,191,189,199,164,168,160,149,159
MU,2606101,Glória do Goitá (PE),Total,Total,32,33,28,39,47,38,34,18,19,18,15,27
MU,2606200,Goiana (PE),Total,Total,105,118,109,93,123,96,107,92,77,74,52,71
MU,2606309,Granito (PE),Total,Total,8,4,14,9,11,9,12,3,8,10,7,5
MU,2606408,Gravatá (PE),Total,Total,89,85,100,92,91,81,89,78,68,80,68,66
MU,2606507,Iati (PE),Total,Total,19,24,20,32,19,17,20,20,15,16,18,17
MU,2606606,Ibimirim (PE),Total,Total,28,35,45,39,26,41,30,27,24,35,41,24
MU,2606705,Ibirajuba (PE),Total,Total,7,7,10,11,10,8,4,4,5,5,7,4
MU,2606804,Igarassu (PE),Total,Total,116,114,150,160,142,132,126,106,103,103,91,96
MU,2606903,Iguaracy (PE),Total,Total,16,10,14,14,15,10,11,7,9,7,7,5
MU,2607000,Inajá (PE),Total,Total,18,29,34,36,45,25,30,26,24,21,14,14
MU,2607109,Ingazeira (PE),Total,Total,10,4,7,9,7,9,2,10,3,4,2,6
MU,2607208,Ipojuca (PE),Total,Total,115,118,146,149,163,140,132,126,123,123,120,101
MU,2607307,Ipubi (PE),Total,Total,45,46,46,39,50,30,28,38,30,46,35,27
MU,2607406,Itacuruba (PE),Total,Total,9,5,7,8,6,2,-,-,3,4,4,2
MU,2607505,Itaíba (PE),Total,Total,28,19,30,33,34,27,29,23,21,27,20,18
MU,2607604,Ilha de Itamaracá (PE),Total,Total,34,32,21,29,27,34,26,23,27,13,9,17
MU,2607653,Itambé (PE),Total,Total,35,34,35,52,54,43,45,45,38,19,18,21
MU,2607703,Itapetim (PE),Total,Total,10,8,22,11,21,16,14,20,12,13,18,10
MU,2607752,Itapissuma (PE),Total,Total,23,36,38,39,38,26,36,28,22,18,26,25
MU,2607802,Itaquitinga (PE),Total,Total,18,18,22,24,34,21,20,13,12,10,8,12
MU,2607901,Jaboatão dos Guararapes (PE),Total,Total,695,723,802,741,814,740,786,672,652,493,452,501
MU,2607950,Jaqueira (PE),Total,Total,11,10,24,24,20,20,17,11,11,13,11,6
MU,2608008,Jataúba (PE),Total,Total,16,16,28,20,23,20,24,14,11,15,18,12
MU,2608057,Jatobá (PE),Total,Total,12,11,19,21,13,16,17,18,17,13,14,10
MU,2608107,João Alfredo (PE),Total,Total,20,21,33,35,30,29,26,29,18,16,19,21
MU,2608206,Joaquim Nabuco (PE),Total,Total,18,22,20,26,24,15,17,15,23,19,12,17
MU,2608255,Jucati (PE),Total,Total,17,17,12,13,18,18,13,20,9,14,12,10
MU,2608305,Jupi (PE),Total,Total,19,17,15,21,18,32,31,24,13,16,14,8
MU,2608404,Jurema (PE),Total,Total,20,16,18,14,22,22,17,16,16,16,22,19
MU,2608453,Lagoa do Carro (PE),Total,Total,10,15,22,22,18,25,17,17,7,19,12,17
MU,2608503,Lagoa de Itaenga (PE),Total,Total,31,28,37,34,33,23,29,22,19,27,15,28
MU,2608602,Lagoa do Ouro (PE),Total,Total,16,18,11,14,13,17,16,16,16,10,16,14
MU,2608701,Lagoa dos Gatos (PE),Total,Total,10,9,18,8,25,20,12,12,18,11,13,17
MU,2608750,Lagoa Grande (PE),Total,Total,37,42,64,54,47,56,57,40,47,39,35,42
MU,2608800,Lajedo (PE),Total,Total,51,69,63,58,63,62,56,49,53,42,20,39
MU,2608909,Limoeiro (PE),Total,Total,53,54,75,64,61,72,62,57,41,44,49,42
MU,2609006,Macaparana (PE),Total,Total,30,35,38,43,37,44,36,38,25,23,23,27
MU,2609105,Machados (PE),Total,Total,16,12,16,16,14,8,6,16,23,15,12,7
MU,2609154,Manari (PE),Total,Total,20,22,22,31,14,21,18,18,18,18,19,15
MU,2609204,Maraial (PE),Total,Total,12,9,15,11,12,14,14,14,10,8,4,9
MU,2609303,Mirandiba (PE),Total,Total,25,11,26,25,28,28,17,19,17,20,12,12
MU,2609402,Moreno (PE),Total,Total,65,66,69,64,81,72,69,55,56,43,51,54
MU,2609501,Nazaré da Mata (PE),Total,Total,29,33,48,32,50,40,48,34,27,26,27,28
MU,2609600,Olinda (PE),Total,Total,478,468,521,496,534,477,462,453,408,340,307,325
MU,2609709,Orobó (PE),Total,Total,19,22,22,19,22,25,29,21,20,14,8,16
MU,2609808,Orocó (PE),Total,Total,28,22,37,34,23,22,23,31,18,27,15,24
MU,2609907,Ouricuri (PE),Total,Total,70,75,103,91,98,59,83,66,63,83,65,57
MU,2610004,Palmares (PE),Total,Total,102,82,90,104,79,72,87,79,95,58,62,59
MU,2610103,Palmeirina (PE),Total,Total,10,9,15,15,5,9,11,10,13,13,11,7
MU,2610202,Panelas (PE),Total,Total,38,27,16,24,28,22,27,30,43,31,22,29
MU,2610301,Paranatama (PE),Total,Total,15,17,14,21,26,12,28,17,18,13,15,17
MU,2610400,Parnamirim (PE),Total,Total,22,27,36,30,29,36,26,23,18,28,19,23
MU,2610509,Passira (PE),Total,Total,30,35,35,32,37,46,32,38,16,20,28,26
MU,2610608,Paudalho (PE),Total,Total,68,64,66,71,69,72,89,62,48,48,31,39
MU,2610707,Paulista (PE),Total,Total,310,303,390,346,406,349,337,327,276,231,211,213
MU,2610806,Pedra (PE),Total,Total,22,15,30,18,21,20,17,18,21,23,19,15
MU,2610905,Pesqueira (PE),Total,Total,79,68,90,81,79,66,89,60,54,65,54,74
MU,2611002,Petrolândia (PE),Total,Total,46,56,57,57,64,49,44,52,46,46,35,42
MU,2611101,Petrolina (PE),Total,Total,477,509,560,538,557,508,510,402,412,443,412,416
MU,2611200,Poção (PE),Total,Total,10,5,16,19,7,14,14,13,10,18,4,4
MU,2611309,Pombos (PE),Total,Total,43,39,42,24,32,35,28,25,28,20,10,11
MU,2611408,Primavera (PE),Total,Total,14,14,20,12,22,9,16,13,9,10,9,11
MU,2611507,Quipapá (PE),Total,Total,22,27,34,27,20,25,30,32,26,25,21,23
MU,2611533,Quixaba (PE),Total,Total,7,6,10,12,4,8,10,8,5,6,5,6
MU,2611606,Recife (PE),Total,Total,1900,1829,2103,1997,1883,1672,1932,1642,1516,1267,1228,1301
MU,2611705,Riacho das Almas (PE),Total,Total,20,16,32,17,23,23,17,11,19,9,7,20
MU,2611804,Ribeirão (PE),Total,Total,40,39,46,35,55,61,41,40,45,38,29,23
MU,2611903,Rio Formoso (PE),Total,Total,25,36,22,29,29,26,29,27,23,20,22,21
MU,2612000,Sairé (PE),Total,Total,7,9,5,11,11,7,16,11,8,8,7,11
MU,2612109,Salgadinho (PE),Total,Total,5,10,4,6,8,4,8,8,6,6,5,4
MU,2612208,Salgueiro (PE),Total,Total,101,75,91,99,99,75,79,79,74,69,60,58
MU,2612307,Saloá (PE),Total,Total,21,17,29,24,24,30,22,11,17,17,17,15
MU,2612406,Sanharó (PE),Total,Total,28,18,25,31,21,27,33,21,14,13,14,21
MU,2612455,Santa Cruz (PE),Total,Total,9,16,27,19,19,19,15,18,10,19,11,15
MU,2612471,Santa Cruz da Baixa Verde (PE),Total,Total,16,17,23,16,12,9,16,15,15,11,16,11
MU,2612505,Santa Cruz do Capibaribe (PE),Total,Total,104,104,145,124,126,123,116,83,71,103,90,107
MU,2612554,Santa Filomena (PE),Total,Total,15,13,17,13,20,18,16,15,11,9,13,12
MU,2612604,Santa Maria da Boa Vista (PE),Total,Total,70,47,68,66,70,64,72,65,40,57,46,37
MU,2612703,Santa Maria do Cambucá (PE),Total,Total,9,17,25,26,19,27,20,18,11,14,12,15
MU,2612802,Santa Terezinha (PE),Total,Total,6,15,16,14,13,12,13,13,14,9,10,7
MU,2612901,São Benedito do Sul (PE),Total,Total,16,21,23,14,23,10,17,12,14,9,10,7
MU,2613008,São Bento do Una (PE),Total,Total,50,60,55,60,71,58,71,40,39,33,41,41
MU,2613107,São Caitano (PE),Total,Total,41,51,58,53,55,49,41,36,25,23,26,46
MU,2613206,São João (PE),Total,Total,30,32,21,27,33,39,39,28,32,26,25,24
MU,2613305,São Joaquim do Monte (PE),Total,Total,29,25,37,22,39,21,30,18,20,22,33,17
MU,2613404,São José da Coroa Grande (PE),Total,Total,30,32,43,37,23,38,42,24,23,28,19,20
MU,2613503,São José do Belmonte (PE),Total,Total,39,29,42,45,45,42,31,42,41,46,32,33
MU,2613602,São José do Egito (PE),Total,Total,49,24,38,42,35,29,36,30,18,30,25,35
MU,2613701,São Lourenço da Mata (PE),Total,Total,107,122,132,140,110,91,122,121,97,65,44,50
MU,2613800,São Vicente Férrer (PE),Total,Total,24,22,27,24,35,11,28,28,19,8,14,7
MU,2613909,Serra Talhada (PE),Total,Total,119,103,99,132,119,110,113,106,88,110,67,74
MU,2614006,Serrita (PE),Total,Total,25,23,22,25,21,17,23,29,14,17,17,11
MU,2614105,Sertânia (PE),Total,Total,29,44,40,44,37,36,44,42,24,30,25,26
MU,2614204,Sirinhaém (PE),Total,Total,40,51,59,51,57,50,43,51,45,21,42,34
MU,2614303,Moreilândia (PE),Total,Total,19,8,11,11,11,17,14,16,15,13,8,9
MU,2614402,Solidão (PE),Total,Total,5,5,13,7,5,4,6,7,7,4,8,7
MU,2614501,Surubim (PE),Total,Total,78,85,75,83,78,80,67,56,42,52,51,47
MU,2614600,Tabira (PE),Total,Total,27,35,44,26,42,39,42,20,34,26,23,24
MU,2614709,Tacaimbó (PE),Total,Total,16,9,11,15,15,10,4,8,12,11,7,12
MU,2614808,Tacaratu (PE),Total,Total,21,32,32,39,29,27,32,27,22,23,23,16
MU,2614857,Tamandaré (PE),Total,Total,13,7,28,45,43,45,33,40,38,24,26,22
MU,2615003,Taquaritinga do Norte (PE),Total,Total,15,25,37,38,35,33,25,18,20,12,23,24
MU,2615102,Terezinha (PE),Total,Total,12,2,10,14,14,8,5,6,2,9,12,8
MU,2615201,Terra Nova (PE),Total,Total,15,11,17,9,16,5,12,11,10,10,11,2
MU,2615300,Timbaúba (PE),Total,Total,53,55,68,64,80,69,63,54,39,41,38,38
MU,2615409,Toritama (PE),Total,Total,54,61,61,58,63,59,41,36,38,36,37,53
MU,2615508,Tracunhaém (PE),Total,Total,12,8,18,18,24,21,21,12,19,10,7,16
MU,2615607,Trindade (PE),Total,Total,61,45,47,53,56,43,48,39,37,37,25,46
MU,2615706,Triunfo (PE),Total,Total,9,13,10,16,11,18,16,11,16,11,10,9
MU,2615805,Tupanatinga (PE),Total,Total,19,19,34,37,37,32,22,22,20,17,23,19
MU,2615904,Tuparetama (PE),Total,Total,13,7,9,10,11,18,8,8,6,7,11,10
MU,2616001,Venturosa (PE),Total,Total,22,15,21,16,22,16,25,12,11,10,17,12
MU,2616100,Verdejante (PE),Total,Total,11,15,8,13,16,15,8,11,13,8,8,6
MU,2616183,Vertente do Lério (PE),Total,Total,9,6,17,21,9,13,13,7,6,6,11,9
MU,2616209,Vertentes (PE),Total,Total,29,20,20,37,19,28,21,13,19,21,14,17
MU,2616308,Vicência (PE),Total,Total,44,40,36,30,41,31,28,31,24,28,18,27
MU,2616407,Vitória de Santo Antão (PE),Total,Total,141,166,179,156,225,156,179,139,131,97,102,110
MU,2616506,Xexéu (PE),Total,Total,16,13,20,11,16,29,24,14,18,9,16,14
MU,2700102,Água Branca (AL),Total,Total,28,13,34,19,30,27,29,26,23,27,13,20
MU,2700201,Anadia (AL),Total,Total,10,17,16,16,23,17,10,13,17,14,21,15
MU,2700300,Arapiraca (AL),Total,Total,313,313,369,350,370,348,304,329,273,324,272,309
MU,2700409,Atalaia (AL),Total,Total,49,55,45,57,67,53,47,44,57,40,38,55
MU,2700508,Barra de Santo Antônio (AL),Total,Total,18,17,33,25,27,19,28,28,20,25,22,27
MU,2700607,Barra de São Miguel (AL),Total,Total,5,8,10,17,15,16,18,13,13,11,10,13
MU,2700706,Batalha (AL),Total,Total,23,23,16,26,24,23,18,21,19,16,28,11
MU,2700805,Belém (AL),Total,Total,4,11,8,12,6,6,7,10,5,9,3,7
MU,2700904,Belo Monte (AL),Total,Total,5,7,9,8,8,6,6,9,7,7,5,7
MU,2701001,Boca da Mata (AL),Total,Total,30,33,27,23,34,34,26,31,17,23,17,30
MU,2701100,Branquinha (AL),Total,Total,16,9,16,16,16,17,20,15,14,14,10,16
MU,2701209,Cacimbinhas (AL),Total,Total,8,7,14,17,14,10,11,11,10,7,6,14
MU,2701308,Cajueiro (AL),Total,Total,27,28,35,44,23,39,22,27,31,28,23,29
MU,2701357,Campestre (AL),Total,Total,9,5,12,11,12,15,3,13,14,9,8,4
MU,2701407,Campo Alegre (AL),Total,Total,32,24,40,43,36,40,30,37,42,33,29,22
MU,2701506,Campo Grande (AL),Total,Total,22,17,8,9,16,19,14,15,4,5,14,16
MU,2701605,Canapi (AL),Total,Total,14,20,24,32,24,19,25,16,17,11,15,22
MU,2701704,Capela (AL),Total,Total,20,18,22,20,23,22,28,17,21,17,19,21
MU,2701803,Carneiros (AL),Total,Total,13,9,14,13,9,14,11,13,16,10,5,12
MU,2701902,Chã Preta (AL),Total,Total,5,10,9,7,9,18,11,3,3,16,6,5
MU,2702009,Coité do Nóia (AL),Total,Total,11,11,8,21,20,12,15,7,3,8,9,9
MU,2702108,Colônia Leopoldina (AL),Total,Total,31,36,30,33,30,33,19,22,37,32,27,18
MU,2702207,Coqueiro Seco (AL),Total,Total,6,5,12,9,10,2,5,11,8,7,10,8
MU,2702306,Coruripe (AL),Total,Total,68,60,66,80,77,66,86,90,78,54,61,58
MU,2702355,Craíbas (AL),Total,Total,32,39,39,43,43,36,28,29,21,29,25,26
MU,2702405,Delmiro Gouveia (AL),Total,Total,71,71,72,86,61,75,61,66,79,65,59,63
MU,2702504,Dois Riachos (AL),Total,Total,13,14,16,11,11,11,11,11,9,11,12,8
MU,2702553,Estrela de Alagoas (AL),Total,Total,15,16,20,17,23,14,22,18,14,11,7,16
MU,2702603,Feira Grande (AL),Total,Total,21,26,23,36,22,27,22,24,10,14,24,15
MU,2702702,Feliz Deserto (AL),Total,Total,6,9,7,8,5,4,2,4,5,8,3,10
MU,2702801,Flexeiras (AL),Total,Total,10,17,24,19,17,23,23,14,11,13,19,14
MU,2702900,Girau do Ponciano (AL),Total,Total,46,36,52,60,53,55,55,24,31,27,20,40
MU,2703007,Ibateguara (AL),Total,Total,18,17,28,18,25,21,22,20,23,19,16,24
MU,2703106,Igaci (AL),Total,Total,26,25,34,35,29,35,34,16,22,17,24,21
MU,2703205,Igreja Nova (AL),Total,Total,27,27,31,28,36,35,30,26,23,33,20,21
MU,2703304,Inhapi (AL),Total,Total,30,22,27,34,37,29,26,28,27,16,20,21
MU,2703403,Jacaré dos Homens (AL),Total,Total,8,6,9,6,12,8,9,7,8,6,10,2
MU,2703502,Jacuípe (AL),Total,Total,4,2,10,7,14,11,5,8,9,10,7,5
MU,2703601,Japaratinga (AL),Total,Total,9,6,15,12,12,11,8,12,10,12,5,8
MU,2703700,Jaramataia (AL),Total,Total,6,6,14,7,11,5,8,4,4,5,6,4
MU,2703759,Jequiá da Praia (AL),Total,Total,6,7,13,6,13,6,8,6,11,9,10,6
MU,2703809,Joaquim Gomes (AL),Total,Total,20,30,30,22,42,23,30,27,31,31,22,22
MU,2703908,Jundiá (AL),Total,Total,4,4,2,5,6,6,6,8,11,4,5,6
MU,2704005,Junqueiro (AL),Total,Total,19,31,23,42,43,29,39,30,22,25,34,24
MU,2704104,Lagoa da Canoa (AL),Total,Total,32,29,25,36,24,25,27,15,17,16,17,20
MU,2704203,Limoeiro de Anadia (AL),Total,Total,25,25,26,32,27,31,32,26,16,14,15,22
MU,2704302,Maceió (AL),Total,Total,1234,1138,1328,1253,1366,1303,1362,1179,1165,1130,983,1027
MU,2704401,Major Isidoro (AL),Total,Total,21,17,30,26,15,22,23,18,25,17,21,14
MU,2704500,Maragogi (AL),Total,Total,36,36,44,42,48,55,30,38,44,30,34,31
MU,2704609,Maravilha (AL),Total,Total,6,12,5,12,19,8,8,11,6,9,8,8
MU,2704708,Marechal Deodoro (AL),Total,Total,66,60,76,76,75,74,80,65,53,64,63,67
MU,2704807,Maribondo (AL),Total,Total,19,17,12,11,22,12,10,16,11,12,8,13
MU,2704906,Mar Vermelho (AL),Total,Total,4,3,4,2,5,2,4,4,3,4,3,2
MU,2705002,Mata Grande (AL),Total,Total,25,23,36,30,35,31,27,24,18,19,23,24
MU,2705101,Matriz de Camaragibe (AL),Total,Total,25,35,37,31,27,38,43,43,37,25,35,30
MU,2705200,Messias (AL),Total,Total,14,17,33,24,21,18,20,32,25,17,19,22
MU,2705309,Minador do Negrão (AL),Total,Total,7,6,4,8,5,4,9,6,2,5,2,4
MU,2705408,Monteirópolis (AL),Total,Total,4,11,6,7,13,5,9,11,8,6,7,8
MU,2705507,Murici (AL),Total,Total,33,40,37,23,27,42,41,41,44,43,36,43
MU,2705606,Novo Lino (AL),Total,Total,7,9,10,24,15,13,16,11,15,11,12,8
MU,2705705,Olho d'Água das Flores (AL),Total,Total,21,26,30,30,41,32,27,23,19,23,24,21
MU,2705804,Olho d'Água do Casado (AL),Total,Total,14,8,7,20,15,14,15,7,9,9,8,12
MU,2705903,Olho d'Água Grande (AL),Total,Total,4,6,5,5,8,16,6,12,7,14,8,7
MU,2706000,Olivença (AL),Total,Total,16,15,16,20,20,19,12,14,13,14,13,12
MU,2706109,Ouro Branco (AL),Total,Total,16,20,15,9,29,16,18,12,9,13,17,15
MU,2706208,Palestina (AL),Total,Total,5,3,7,8,9,7,11,2,6,8,5,8
MU,2706307,Palmeira dos Índios (AL),Total,Total,80,86,111,105,107,89,87,89,69,71,78,63
MU,2706406,Pão de Açúcar (AL),Total,Total,31,25,28,45,42,41,41,23,30,29,25,35
MU,2706422,Pariconha (AL),Total,Total,12,21,15,12,18,6,20,12,17,14,10,10
MU,2706448,Paripueira (AL),Total,Total,15,19,18,20,17,19,27,27,23,15,21,15
MU,2706505,Passo de Camaragibe (AL),Total,Total,12,9,15,21,19,21,15,11,12,26,19,20
MU,2706604,Paulo Jacinto (AL),Total,Total,8,6,13,7,3,8,8,4,9,8,10,9
MU,2706703,Penedo (AL),Total,Total,82,65,79,81,94,107,74,69,81,80,61,78
MU,2706802,Piaçabuçu (AL),Total,Total,18,34,30,26,44,32,21,24,18,22,12,20
MU,2706901,Pilar (AL),Total,Total,51,52,49,60,57,45,43,44,46,51,45,49
MU,2707008,Pindoba (AL),Total,Total,6,2,3,5,3,5,4,4,6,3,2,1
MU,2707107,Piranhas (AL),Total,Total,37,36,40,37,43,32,32,38,25,24,33,26
MU,2707206,Poço das Trincheiras (AL),Total,Total,13,22,16,23,16,17,27,19,16,15,13,11
MU,2707305,Porto Calvo (AL),Total,Total,37,44,41,47,48,42,39,36,40,37,32,31
MU,2707404,Porto de Pedras (AL),Total,Total,11,5,17,6,12,3,14,11,12,10,5,7
MU,2707503,Porto Real do Colégio (AL),Total,Total,18,23,30,24,34,26,42,23,21,20,25,36
MU,2707602,Quebrangulo (AL),Total,Total,22,16,21,15,18,12,20,8,12,14,11,21
MU,2707701,Rio Largo (AL),Total,Total,128,101,126,93,129,135,134,123,93,115,95,109
MU,2707800,Roteiro (AL),Total,Total,6,4,7,10,9,7,9,10,7,9,15,9
MU,2707909,Santa Luzia do Norte (AL),Total,Total,15,8,16,4,9,9,11,6,9,12,6,3
MU,2708006,Santana do Ipanema (AL),Total,Total,59,69,75,71,72,69,62,58,43,66,44,39
MU,2708105,Santana do Mundaú (AL),Total,Total,19,21,14,14,13,15,8,15,9,13,11,12
MU,2708204,São Brás (AL),Total,Total,9,7,10,9,12,7,13,11,5,3,5,4
MU,2708303,São José da Laje (AL),Total,Total,28,38,28,31,30,26,35,32,22,28,31,23
MU,2708402,São José da Tapera (AL),Total,Total,38,55,41,50,50,50,45,37,38,41,41,29
MU,2708501,São Luís do Quitunde (AL),Total,Total,40,40,58,36,58,59,56,55,44,55,31,33
MU,2708600,São Miguel dos Campos (AL),Total,Total,35,66,40,67,49,46,47,52,47,41,35,50
MU,2708709,São Miguel dos Milagres (AL),Total,Total,5,11,8,18,14,8,12,10,12,9,9,7
MU,2708808,São Sebastião (AL),Total,Total,34,31,40,49,41,36,44,35,42,28,30,30
MU,2708907,Satuba (AL),Total,Total,17,25,17,10,24,21,22,14,17,15,20,22
MU,2708956,Senador Rui Palmeira (AL),Total,Total,26,14,20,15,21,19,18,19,21,11,10,11
MU,2709004,Tanque d'Arca (AL),Total,Total,4,4,8,6,9,6,4,4,4,4,9,7
MU,2709103,Taquarana (AL),Total,Total,25,23,24,27,23,17,28,12,16,18,14,20
MU,2709152,Teotônio Vilela (AL),Total,Total,45,28,56,53,44,49,49,49,39,41,36,39
MU,2709202,Traipu (AL),Total,Total,28,31,31,35,26,32,35,15,26,15,22,23
MU,2709301,União dos Palmares (AL),Total,Total,82,82,91,86,96,84,83,76,105,77,97,77
MU,2709400,Viçosa (AL),Total,Total,33,30,39,36,38,23,40,29,40,22,32,26
MU,2800100,Amparo de São Francisco (SE),Total,Total,5,6,3,1,3,4,4,2,3,1,1,4
MU,2800209,Aquidabã (SE),Total,Total,21,20,42,24,24,25,23,18,18,17,26,10
MU,2800308,Aracaju (SE),Total,Total,696,713,873,817,832,784,773,718,628,584,582,598
MU,2800407,Arauá (SE),Total,Total,15,9,11,14,6,20,12,7,11,10,12,4
MU,2800506,Areia Branca (SE),Total,Total,18,25,14,22,25,19,21,24,14,15,16,12
MU,2800605,Barra dos Coqueiros (SE),Total,Total,38,35,43,53,36,45,52,37,26,33,30,34
MU,2800670,Boquim (SE),Total,Total,27,18,26,28,31,34,24,18,23,26,28,19
MU,2800704,Brejo Grande (SE),Total,Total,9,7,17,22,15,11,10,13,17,12,3,12
MU,2801009,Campo do Brito (SE),Total,Total,17,11,25,17,31,30,21,11,14,13,10,14
MU,2801108,Canhoba (SE),Total,Total,8,9,6,3,6,4,8,9,7,1,3,5
MU,2801207,Canindé de São Francisco (SE),Total,Total,44,42,45,57,57,57,52,56,36,35,45,37
