"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,1200104,Brasiléia (AC),Total,Total,41,35,39,38,35,45,40,35,39,38,33,46
MU,1200138,Bujari (AC),Total,Total,22,24,19,21,15,17,15,14,15,6,9,14
MU,1200179,Capixaba (AC),Total,Total,17,17,18,12,12,15,18,9,11,12,7,14
MU,1200203,Cruzeiro do Sul (AC),Total,Total,157,140,145,149,140,134,143,119,153,117,132,124
MU,1200252,Epitaciolândia (AC),Total,Total,25,35,17,18,17,17,25,19,24,17,20,16
MU,1200302,Feijó (AC),Total,Total,81,60,74,72,68,72,57,65,53,54,49,51
MU,1200328,Jordão (AC),Total,Total,16,20,22,28,22,15,21,12,21,14,11,10
MU,1200336,Mâncio Lima (AC),Total,Total,18,28,24,29,33,21,27,28,24,27,30,30
MU,1200344,Manoel Urbano (AC),Total,Total,20,18,20,16,26,14,15,25,16,25,21,13
MU,1200351,Marechal Thaumaturgo (AC),Total,Total,26,28,29,27,29,28,31,27,37,31,24,14
MU,1200385,Plácido de Castro (AC),Total,Total,20,38,25,28,28,26,29,24,26,15,24,18
MU,1200393,Porto Walter (AC),Total,Total,15,24,22,17,14,16,12,15,19,22,22,14
MU,1200401,Rio Branco (AC),Total,Total,468,565,550,569,548,527,502,542,514,524,446,419
MU,1200427,Rodrigues Alves (AC),Total,Total,28,20,21,17,25,24,28,26,33,25,24,23
MU,1200435,Santa Rosa do Purus (AC),Total,Total,14,14,16,8,11,15,11,10,16,18,9,8
MU,1200450,Senador Guiomard (AC),Total,Total,26,31,33,31,37,27,27,30,38,27,27,30
MU,1200500,Sena Madureira (AC),Total,Total,61,58,48,79,48,56,48,51,64,63,51,46
MU,1200609,Tarauacá (AC),Total,Total,87,91,72,96,91,61,84,81,96,75,62,70
MU,1200708,Xapuri (AC),Total,Total,22,18,29,20,30,33,34,27,23,17,16,27
MU,1200807,Porto Acre (AC),Total,Total,25,24,17,23,19,15,17,14,20,19,18,21
MU,1300029,Alvarães (AM),Total,Total,27,16,27,28,22,29,37,43,27,34,40,24
MU,1300060,Amaturá (AM),Total,Total,28,17,31,28,19,21,18,24,25,30,18,31
MU,1300086,Anamã (AM),Total,Total,11,15,29,17,20,14,20,14,12,24,14,15
MU,1300102,Anori (AM),Total,Total,19,20,27,32,16,17,17,26,21,27,18,25
MU,1300144,Apuí (AM),Total,Total,11,15,12,14,14,24,16,22,23,18,19,23
MU,1300201,Atalaia do Norte (AM),Total,Total,33,16,36,30,21,27,18,23,26,21,13,8
MU,1300300,Autazes (AM),Total,Total,89,53,70,67,65,50,79,56,65,49,61,53
MU,1300409,Barcelos (AM),Total,Total,21,27,21,24,24,14,17,22,26,27,18,21
MU,1300508,Barreirinha (AM),Total,Total,62,73,53,44,54,67,51,55,40,52,41,45
MU,1300607,Benjamin Constant (AM),Total,Total,87,90,67,83,68,66,85,73,86,78,61,68
MU,1300631,Beruri (AM),Total,Total,45,34,31,39,28,38,46,42,47,34,38,33
MU,1300680,Boa Vista do Ramos (AM),Total,Total,29,23,25,27,21,26,18,23,27,31,26,11
MU,1300706,Boca do Acre (AM),Total,Total,48,32,39,50,43,60,48,57,36,37,41,36
MU,1300805,Borba (AM),Total,Total,32,49,34,45,44,26,47,46,46,39,27,53
MU,1300839,Caapiranga (AM),Total,Total,11,15,15,13,10,11,17,8,12,10,14,7
MU,1300904,Canutama (AM),Total,Total,16,24,15,14,21,19,17,18,22,18,19,17
MU,1301001,Carauari (AM),Total,Total,54,40,40,40,43,49,46,55,48,43,48,43
MU,1301100,Careiro (AM),Total,Total,36,21,38,42,26,32,36,33,40,26,32,36
MU,1301159,Careiro da Várzea (AM),Total,Total,24,14,14,15,18,22,15,14,15,27,16,13
MU,1301209,Coari (AM),Total,Total,139,121,143,114,97,134,127,139,149,127,106,116
MU,1301308,Codajás (AM),Total,Total,48,36,37,34,27,35,31,29,29,32,26,22
MU,1301407,Eirunepé (AM),Total,Total,58,62,54,57,56,52,53,49,49,61,60,58
MU,1301506,Envira (AM),Total,Total,29,22,21,28,43,30,33,25,28,23,30,28
MU,1301605,Fonte Boa (AM),Total,Total,37,40,39,28,25,38,36,39,16,31,30,38
MU,1301654,Guajará (AM),Total,Total,16,22,16,29,30,21,15,18,23,29,17,20
MU,1301704,Humaitá (AM),Total,Total,85,71,71,64,63,95,75,75,100,94,97,90
MU,1301803,Ipixuna (AM),Total,Total,26,14,17,25,23,28,36,27,29,23,26,21
MU,1301852,Iranduba (AM),Total,Total,69,57,69,62,56,70,72,53,62,81,49,52
MU,1301902,Itacoatiara (AM),Total,Total,186,177,163,141,163,153,168,165,145,146,154,140
MU,1301951,Itamarati (AM),Total,Total,17,23,22,23,27,30,12,14,17,18,23,17
MU,1302009,Itapiranga (AM),Total,Total,16,21,16,16,13,9,17,16,10,10,11,14
MU,1302108,Japurá (AM),Total,Total,12,15,12,14,6,8,14,14,10,11,6,6
MU,1302207,Juruá (AM),Total,Total,13,11,11,13,10,13,8,15,12,9,9,6
MU,1302306,Jutaí (AM),Total,Total,54,43,42,36,41,44,42,52,38,40,32,34
MU,1302405,Lábrea (AM),Total,Total,55,49,74,55,62,54,55,62,64,70,64,40
MU,1302504,Manacapuru (AM),Total,Total,150,157,136,145,132,126,145,150,159,126,149,107
MU,1302553,Manaquiri (AM),Total,Total,17,20,16,17,17,16,22,20,22,23,30,24
MU,1302603,Manaus (AM),Total,Total,3495,3132,3400,3118,3328,3003,3095,3235,3219,3091,3027,3142
MU,1302702,Manicoré (AM),Total,Total,52,64,60,75,72,74,81,71,82,64,68,80
MU,1302801,Maraã (AM),Total,Total,21,29,18,17,21,23,23,25,28,25,15,10
MU,1302900,Maués (AM),Total,Total,89,87,104,94,93,79,79,112,93,104,92,88
MU,1303007,Nhamundá (AM),Total,Total,26,25,28,27,29,27,30,30,32,26,29,33
MU,1303106,Nova Olinda do Norte (AM),Total,Total,51,46,51,48,40,54,53,55,43,39,48,41
MU,1303205,Novo Airão (AM),Total,Total,28,27,29,17,17,26,14,20,23,28,23,31
MU,1303304,Novo Aripuanã (AM),Total,Total,29,30,39,23,37,20,32,31,28,26,23,19
MU,1303403,Parintins (AM),Total,Total,167,150,156,165,138,144,132,153,133,158,137,170
MU,1303502,Pauini (AM),Total,Total,32,37,31,45,22,27,24,32,26,20,18,24
MU,1303536,Presidente Figueiredo (AM),Total,Total,44,48,37,49,44,54,39,46,52,39,41,27
MU,1303569,Rio Preto da Eva (AM),Total,Total,21,28,31,33,44,32,36,31,33,34,32,15
MU,1303601,Santa Isabel do Rio Negro (AM),Total,Total,37,16,26,16,28,16,23,15,19,14,11,15
MU,1303700,Santo Antônio do Içá (AM),Total,Total,61,71,55,53,46,40,42,41,42,58,44,31
MU,1303809,São Gabriel da Cachoeira (AM),Total,Total,101,87,82,107,105,69,90,83,65,64,70,69
MU,1303908,São Paulo de Olivença (AM),Total,Total,70,80,68,68,75,73,73,70,65,60,75,56
MU,1303957,São Sebastião do Uatumã (AM),Total,Total,10,15,4,13,12,11,8,18,14,14,9,15
MU,1304005,Silves (AM),Total,Total,15,16,18,16,18,22,16,18,9,16,13,20
MU,1304062,Tabatinga (AM),Total,Total,126,65,69,55,55,54,80,56,55,63,46,76
MU,1304104,Tapauá (AM),Total,Total,32,34,20,27,25,22,24,33,38,22,24,25
MU,1304203,Tefé (AM),Total,Total,160,163,144,151,144,143,161,144,137,156,135,146
MU,1304237,Tonantins (AM),Total,Total,25,35,34,31,28,22,28,28,23,21,29,19
MU,1304260,Uarini (AM),Total,Total,4,16,14,7,14,13,3,3,-,3,-,-
MU,1304302,Urucará (AM),Total,Total,26,23,18,15,23,21,20,27,19,15,19,22
MU,1304401,Urucurituba (AM),Total,Total,31,16,32,31,22,25,31,19,20,24,21,20
MU,1400027,Amajari (RR),Total,Total,17,15,15,10,16,10,9,6,5,8,4,5
MU,1400050,Alto Alegre (RR),Total,Total,28,11,13,12,14,13,14,12,13,11,12,9
MU,1400100,Boa Vista (RR),Total,Total,559,552,535,512,562,505,534,560,609,605,552,579
MU,1400159,Bonfim (RR),Total,Total,24,21,20,12,18,15,15,20,27,20,15,20
MU,1400175,Cantá (RR),Total,Total,25,16,21,14,26,12,19,26,17,9,6,13
MU,1400209,Caracaraí (RR),Total,Total,33,20,31,22,18,25,19,33,26,35,32,19
MU,1400233,Caroebe (RR),Total,Total,15,10,8,10,7,13,7,8,11,7,12,8
MU,1400282,Iracema (RR),Total,Total,3,7,5,4,4,2,7,3,7,7,5,1
MU,1400308,Mucajaí (RR),Total,Total,21,27,15,28,16,25,15,23,25,29,17,7
MU,1400407,Normandia (RR),Total,Total,14,10,16,10,9,16,16,20,22,17,15,10
MU,1400456,Pacaraima (RR),Total,Total,28,28,41,35,39,26,21,33,26,41,18,16
MU,1400472,Rorainópolis (RR),Total,Total,42,42,38,32,37,37,32,46,33,35,39,30
MU,1400506,São João da Baliza (RR),Total,Total,14,10,6,6,7,10,15,8,7,9,6,4
MU,1400605,São Luiz (RR),Total,Total,5,8,14,7,9,6,7,10,7,5,6,5
MU,1400704,Uiramutã (RR),Total,Total,31,25,37,23,21,32,28,25,23,8,4,8
MU,1500107,Abaetetuba (PA),Total,Total,218,200,218,215,225,214,213,224,208,243,197,222
MU,1500131,Abel Figueiredo (PA),Total,Total,10,7,9,9,7,16,10,10,13,8,8,16
MU,1500206,Acará (PA),Total,Total,64,76,69,72,64,68,89,72,47,63,59,46
MU,1500305,Afuá (PA),Total,Total,65,51,55,73,59,54,46,40,51,56,50,43
MU,1500347,Água Azul do Norte (PA),Total,Total,15,13,9,16,13,3,5,3,6,14,6,9
MU,1500404,Alenquer (PA),Total,Total,84,67,88,85,76,89,73,63,77,79,67,63
MU,1500503,Almeirim (PA),Total,Total,64,52,56,38,52,49,57,52,56,70,43,42
MU,1500602,Altamira (PA),Total,Total,214,209,219,212,222,216,225,218,241,218,212,194
MU,1500701,Anajás (PA),Total,Total,71,60,44,61,53,62,63,64,47,53,52,50
MU,1500800,Ananindeua (PA),Total,Total,610,575,590,580,544,610,521,573,554,547,517,509
MU,1500859,Anapu (PA),Total,Total,40,32,37,34,33,37,27,29,29,19,31,18
MU,1500909,Augusto Corrêa (PA),Total,Total,87,56,75,74,67,79,67,67,71,57,64,34
MU,1500958,Aurora do Pará (PA),Total,Total,32,27,25,36,35,38,33,34,41,17,27,30
MU,1501006,Aveiro (PA),Total,Total,15,14,19,21,17,16,11,12,19,10,16,9
MU,1501105,Bagre (PA),Total,Total,42,35,38,43,46,36,43,29,33,37,35,29
MU,1501204,Baião (PA),Total,Total,46,33,48,54,41,40,34,52,39,51,40,32
MU,1501253,Bannach (PA),Total,Total,1,3,2,4,2,1,3,5,3,2,-,2
MU,1501303,Barcarena (PA),Total,Total,174,182,169,173,183,177,179,161,178,173,160,169
MU,1501402,Belém (PA),Total,Total,1750,1609,1630,1614,1618,1597,1592,1602,1581,1470,1385,1532
