 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1999
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";56;50;65;63;57;57;72;55;58;57;52;47;-;689
"110037 Alto Alegre dos Parecis";14;7;10;16;12;16;13;15;18;15;16;12;-;164
"110040 Alto Paraíso";18;21;24;17;20;18;17;21;18;15;5;4;-;198
"110034 Alvorada D'Oeste";29;36;33;41;35;29;39;39;42;34;39;43;-;439
"110002 Ariquemes";120;117;162;128;173;165;155;185;186;141;19;8;-;1559
"110045 Buritis";18;26;21;28;23;42;34;32;34;36;18;29;-;341
"110003 Cabixi";8;8;9;16;10;13;12;11;13;11;13;14;-;138
"110060 Cacaulândia";5;6;12;7;8;11;13;9;14;13;1;4;-;103
"110004 Cacoal";140;141;184;173;178;154;178;161;149;150;138;132;-;1878
"110070 Campo Novo de Rondônia";15;12;20;16;10;22;13;16;18;20;15;12;-;189
"110080 Candeias do Jamari";1;4;6;2;2;11;12;14;2;5;4;3;-;66
"110090 Castanheiras";2;6;6;5;3;1;3;3;4;10;9;3;-;55
"110005 Cerejeiras";28;30;43;36;29;34;33;47;33;32;27;24;-;396
"110092 Chupinguaia";4;6;10;7;6;7;9;8;4;8;17;4;-;90
"110006 Colorado do Oeste";27;27;42;40;48;38;35;39;39;22;25;29;-;411
"110007 Corumbiara";11;16;25;17;20;12;15;18;10;15;18;8;-;185
"110008 Costa Marques";27;22;23;21;20;26;21;31;31;22;13;20;-;277
"110094 Cujubim";10;8;11;7;11;5;8;13;10;9;2;5;-;99
"110009 Espigão D'Oeste";53;40;53;54;48;61;57;47;63;52;38;44;-;610
"110100 Governador Jorge Teixeira";16;12;24;23;15;16;17;17;23;21;14;22;-;220
"110010 Guajará-Mirim";82;93;107;100;99;94;96;124;104;96;83;83;-;1161
"110110 Itapuã do Oeste";9;7;7;6;7;5;6;8;13;11;8;13;-;100
"110011 Jaru";101;98;117;115;128;121;133;121;121;102;103;97;-;1357
"110012 Ji-Paraná";208;208;280;234;225;221;235;215;232;212;216;213;-;2699
"110013 Machadinho D'Oeste";2;1;41;7;16;38;29;59;45;16;47;37;-;338
"110120 Ministro Andreazza";14;15;12;16;20;13;13;22;19;18;18;23;-;203
"110130 Mirante da Serra";31;19;17;24;25;26;26;39;35;17;19;15;-;293
"110140 Monte Negro";32;16;28;28;29;15;21;27;29;20;34;17;-;296
"110014 Nova Brasilândia D'Oeste";41;29;60;51;34;49;48;35;39;38;36;31;-;491
"110033 Nova Mamoré";20;23;21;16;32;19;16;21;18;24;21;19;-;250
"110143 Nova União";8;14;15;10;15;11;8;7;18;10;11;20;-;147
"110050 Novo Horizonte do Oeste";18;17;20;23;23;14;17;23;24;23;22;20;-;244
"110015 Ouro Preto do Oeste";98;79;92;86;83;82;14;70;92;92;78;75;-;941
"110145 Parecis";2;6;6;3;4;2;7;3;6;6;5;4;-;54
"110018 Pimenta Bueno";68;52;81;85;59;60;66;63;56;82;79;47;-;798
"110146 Pimenteiras do Oeste";5;7;5;10;2;3;4;4;4;4;7;4;-;59
"110020 Porto Velho";568;641;772;708;769;689;639;665;723;683;673;745;-;8275
"110025 Presidente Médici";45;46;44;47;47;39;55;48;53;12;29;23;-;488
"110147 Primavera de Rondônia";10;5;6;3;15;5;6;4;12;12;6;9;-;93
"110026 Rio Crespo";4;2;3;3;4;4;6;2;2;2;-;-;-;32
"110028 Rolim de Moura";80;96;109;94;94;97;89;89;80;102;90;81;-;1101
"110029 Santa Luzia D'Oeste";11;18;23;22;19;27;13;13;19;17;12;4;-;198
"110148 São Felipe D'Oeste";12;9;11;5;15;9;12;14;14;8;9;9;-;127
"110149 São Francisco do Guaporé";8;15;19;22;22;15;15;19;13;17;13;17;-;195
"110032 São Miguel do Guaporé";25;32;38;24;29;35;33;31;37;35;45;41;-;405
"110150 Seringueiras";15;23;20;19;21;18;23;13;26;24;21;18;-;241
"110155 Teixeirópolis";9;9;8;3;9;3;2;6;7;8;7;11;-;82
"110160 Theobroma";13;9;9;10;13;15;5;12;9;15;4;14;-;128
"110170 Urupá";30;20;25;24;29;22;19;26;28;19;15;23;-;280
"110175 Vale do Anari";9;5;11;11;9;9;7;8;10;12;10;3;-;104
"110180 Vale do Paraíso";10;8;15;10;15;15;2;10;10;14;15;8;-;132
"110030 Vilhena";114;123;126;131;105;102;128;107;141;99;119;104;-;1399
