 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1999
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"110000 Município ignorado - RO";3;2;-;6;6;4;2;72;13;53;56;42;-;259
"120001 Acrelândia";5;2;6;1;8;3;6;13;5;7;10;8;-;74
"120005 Assis Brasil";2;5;5;8;-;5;4;-;3;2;2;-;-;36
"120010 Brasiléia";9;11;26;37;17;18;26;11;20;17;12;2;-;206
"120013 Bujari";1;1;1;5;5;3;3;5;4;2;7;2;-;39
"120017 Capixaba";-;-;-;1;-;4;6;3;2;3;-;1;-;20
"120020 Cruzeiro do Sul";213;175;97;192;105;185;144;136;193;107;87;122;-;1756
"120025 Epitaciolândia";12;6;10;14;9;1;1;7;5;-;1;-;-;66
"120030 Feijó";46;27;36;39;70;43;47;37;21;33;23;13;-;435
"120032 Jordão";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";28;36;3;39;32;40;35;36;31;30;31;11;-;352
"120034 Manoel Urbano";17;9;9;11;20;18;10;15;10;11;11;5;-;146
"120035 Marechal Thaumaturgo";20;18;21;17;26;20;12;20;20;15;9;4;-;202
"120038 Plácido de Castro";20;10;23;20;22;22;38;42;30;34;24;19;-;304
"120080 Porto Acre";1;5;-;4;5;8;4;5;2;7;2;4;-;47
"120039 Porto Walter";4;8;25;14;15;17;15;18;11;12;5;5;-;149
"120040 Rio Branco";732;697;842;813;729;710;779;695;718;725;720;659;-;8819
"120042 Rodrigues Alves";20;19;26;29;11;23;18;18;18;17;20;16;-;235
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"120050 Sena Madureira";58;69;78;63;95;75;52;7;4;51;32;64;-;648
"120045 Senador Guiomard";20;22;34;19;24;30;24;27;21;29;30;20;1;301
"120060 Tarauacá";45;54;61;56;53;81;59;37;76;71;87;37;-;717
"120070 Xapuri";24;35;40;49;29;22;32;28;24;32;38;28;-;381
"120000 Município ignorado - AC";-;-;-;-;-;-;-;3;-;-;-;-;-;3
"130002 Alvarães";9;4;9;4;9;17;19;15;9;11;21;15;-;142
"130006 Amaturá";4;11;8;15;12;9;6;4;8;2;2;1;-;82
"130008 Anamã";1;2;4;4;3;3;9;3;9;7;3;7;-;55
"130010 Anori";16;24;22;21;17;21;21;30;27;25;21;28;-;273
"130014 Apuí";20;20;29;34;31;17;19;21;19;25;27;21;-;283
"130020 Atalaia do Norte";11;8;11;5;10;11;5;11;5;10;4;9;-;100
"130030 Autazes";35;19;39;45;26;20;32;35;28;43;37;30;-;389
"130040 Barcelos";19;17;21;19;30;22;18;9;17;17;20;19;-;228
"130050 Barreirinha";15;15;15;18;27;18;16;21;29;31;19;34;-;258
"130060 Benjamin Constant";41;37;24;52;42;39;25;13;25;30;34;40;-;402
"130063 Beruri";13;10;7;8;14;13;13;16;15;15;20;19;-;163
"130068 Boa Vista do Ramos";17;24;33;27;26;30;26;42;28;33;30;21;-;337
"130070 Boca do Acre";31;23;37;37;45;40;38;32;45;37;36;33;-;434
"130080 Borba";30;26;25;32;20;31;29;30;36;33;37;35;-;364
"130083 Caapiranga";-;-;-;1;-;-;1;3;1;2;6;3;-;17
"130090 Canutama";11;1;-;-;-;-;1;8;2;14;21;11;-;69
"130100 Carauari";27;22;39;29;43;31;32;26;7;33;40;38;-;367
"130110 Careiro";24;12;28;15;32;12;24;24;21;23;21;27;-;263
"130115 Careiro da Várzea";-;1;5;2;4;3;4;-;1;2;-;3;-;25
"130120 Coari";99;105;116;89;105;100;119;103;127;145;118;139;-;1365
"130130 Codajás";35;41;32;34;28;30;21;21;32;35;30;22;-;361
"130140 Eirunepé";27;35;37;40;60;39;58;48;48;29;1;37;-;459
"130150 Envira";19;23;28;25;28;19;26;27;31;23;29;21;-;299
"130160 Fonte Boa";19;19;28;31;22;21;26;15;21;29;37;33;-;301
"130165 Guajará";15;16;16;18;14;9;22;13;14;9;7;10;-;163
"130170 Humaitá";60;33;57;63;73;64;85;84;93;83;70;75;-;840
"130180 Ipixuna";10;10;5;10;21;23;12;29;21;17;22;13;-;193
"130185 Iranduba";35;21;26;35;31;41;35;38;36;31;36;27;-;392
"130190 Itacoatiara";154;115;117;108;136;116;133;145;134;150;136;141;-;1585
"130195 Itamarati";7;10;4;8;-;9;11;6;6;9;15;7;-;92
"130200 Itapiranga";20;6;18;20;21;16;12;31;15;21;4;12;-;196
"130210 Japurá";1;-;-;2;1;2;2;1;1;2;3;5;-;20
"130220 Juruá";7;6;13;10;8;5;8;3;9;9;9;9;-;96
"130230 Jutaí";29;16;27;33;23;19;23;19;14;31;19;16;-;269
"130240 Lábrea";51;43;64;53;60;57;56;45;51;58;48;40;-;626
"130250 Manacapuru";173;164;133;181;174;195;154;175;155;201;178;133;-;2016
"130255 Manaquiri";12;6;9;5;8;13;9;9;8;7;10;7;-;103
"130260 Manaus";3240;3090;3261;3182;3205;3146;3171;3216;3314;3439;3250;3351;-;38865
"130270 Manicoré";40;54;55;53;41;72;66;64;80;74;49;23;-;671
"130280 Maraã";14;16;17;1;2;11;17;14;11;3;9;16;-;131
"130290 Maués";73;70;74;66;54;60;78;82;82;90;85;88;-;902
"130300 Nhamundá";1;23;12;14;9;11;11;14;19;18;17;18;-;167
"130310 Nova Olinda do Norte";14;9;2;27;30;28;2;28;27;18;27;25;-;237
"130320 Novo Airão";15;11;11;13;12;21;25;32;13;15;22;20;-;210
"130330 Novo Aripuanã";26;23;14;26;32;35;23;25;22;42;14;18;-;300
"130340 Parintins";189;145;146;149;150;150;147;197;165;148;173;120;-;1879
"130350 Pauini";11;8;12;11;15;16;19;7;17;9;8;13;-;146
"130353 Presidente Figueiredo";32;35;34;22;30;37;31;31;35;39;36;41;-;403
"130356 Rio Preto da Eva";20;20;17;18;14;16;17;17;25;13;15;6;-;198
"130360 Santa Isabel do Rio Negro";16;14;11;9;9;15;12;11;9;14;18;8;-;146
"130370 Santo Antônio do Içá";8;1;5;7;1;8;9;2;2;3;11;2;-;59
"130380 São Gabriel da Cachoeira";37;39;44;51;44;40;52;48;44;43;34;40;-;516
"130390 São Paulo de Olivença";21;35;23;33;34;22;25;28;22;17;19;24;-;303
"130395 São Sebastião do Uatumã";6;4;10;7;6;4;11;15;10;19;12;10;-;114
"130400 Silves";18;10;14;9;13;13;16;16;16;10;10;12;-;157
"130406 Tabatinga";78;70;93;93;84;78;51;63;71;73;103;72;-;929
"130410 Tapauá";19;12;15;21;20;34;26;22;32;18;27;24;-;270
"130420 Tefé";139;1;161;133;26;136;161;147;7;98;124;104;-;1237
"130423 Tonantins";-;1;-;2;-;-;1;1;-;2;4;11;-;22
"130426 Uarini";1;4;3;-;2;4;7;3;5;8;7;9;-;53
"130430 Urucará";28;27;23;23;19;27;26;10;29;20;27;17;-;276
"130440 Urucurituba";23;19;11;20;15;18;19;18;13;16;19;15;-;206
"130000 Município ignorado - AM";1;2;1;3;5;1;-;-;-;-;-;-;-;13
"140005 Alto Alegre";28;34;38;47;30;33;34;43;38;22;26;33;-;406
"140002 Amajari";19;18;18;16;13;20;31;11;22;25;20;18;-;231
"140010 Boa Vista";532;444;519;527;539;499;532;496;540;603;557;529;-;6317
"140015 Bonfim";18;17;10;27;31;21;16;16;16;26;23;21;-;242
"140017 Cantá";11;12;16;16;18;20;20;14;19;14;18;17;-;195
"140020 Caracaraí";39;30;29;39;42;36;32;47;40;34;44;38;-;450
"140023 Caroebe";9;5;10;13;11;15;12;5;20;15;23;14;-;152
"140028 Iracema";7;5;6;18;4;10;5;9;9;12;5;8;-;98
"140030 Mucajaí";27;26;27;29;33;10;27;33;30;26;25;28;-;321
"140040 Normandia";27;20;16;20;19;21;25;24;18;18;25;34;-;267
"140045 Pacaraima";7;14;15;10;21;24;17;21;26;19;17;16;-;207
"140047 Rorainópolis";25;15;22;24;19;26;26;10;19;19;28;23;-;256
"140050 São João da Baliza";16;8;16;15;7;11;11;17;9;19;18;8;-;155
"140060 São Luiz";5;5;7;8;10;10;6;8;8;11;9;10;-;97
"140070 Uiramutã";24;18;23;21;17;17;18;25;21;18;27;32;-;261
"140000 Município ignorado - RR";1;-;2;1;3;2;-;-;1;1;-;3;-;14
"150010 Abaetetuba";237;201;229;216;242;252;251;225;273;256;252;234;-;2868
"150013 Abel Figueiredo";6;16;10;7;13;11;6;11;5;7;1;8;-;101
"150020 Acará";63;81;54;79;61;88;78;87;75;63;67;60;-;856
"150030 Afuá";32;25;48;38;29;14;25;25;6;33;14;9;-;298
"150034 Água Azul do Norte";16;16;12;12;10;12;22;15;14;18;17;13;-;177
"150040 Alenquer";24;43;123;60;82;23;100;125;130;55;89;73;-;927
"150050 Almeirim";47;63;82;55;66;87;80;62;48;27;-;-;-;617
"150060 Altamira";89;114;171;162;175;174;192;201;158;202;175;119;-;1932
"150070 Anajás";19;22;22;25;27;15;23;20;28;15;22;16;-;254
"150080 Ananindeua";731;599;825;815;859;832;688;778;851;789;662;718;-;9147
"150085 Anapu";9;7;25;17;23;21;17;17;11;21;16;15;-;199
"150090 Augusto Corrêa";56;57;73;57;69;72;63;85;84;75;66;55;-;812
"150095 Aurora do Pará";33;17;32;37;39;43;39;44;48;31;36;40;-;439
"150100 Aveiro";22;11;18;15;19;9;25;17;25;25;29;11;-;226
"150110 Bagre";8;7;7;13;7;8;7;7;6;4;5;9;-;88
"150120 Baião";14;21;16;15;15;11;14;16;21;5;12;8;-;168
"150125 Bannach";4;2;5;3;2;2;-;2;3;3;4;3;-;33
"150130 Barcarena";107;77;120;136;130;133;114;154;107;151;113;116;-;1458
"150140 Belém";2334;2137;2492;2271;2508;2349;2520;2460;2544;2724;2322;2444;-;29105
"150145 Belterra";1;1;3;4;4;3;6;13;11;6;7;3;-;62
"150150 Benevides";64;56;54;68;60;61;75;79;73;66;72;54;-;782
"150157 Bom Jesus do Tocantins";10;16;21;18;11;24;28;19;22;26;15;23;-;233
"150160 Bonito";5;-;7;8;8;4;10;5;5;6;11;8;-;77
"150170 Bragança";169;148;174;173;168;190;205;181;187;202;175;150;-;2122
"150172 Brasil Novo";25;11;21;22;26;31;31;26;22;25;30;24;-;294
"150175 Brejo Grande do Araguaia";11;15;13;18;12;12;18;15;12;14;11;12;-;163
"150178 Breu Branco";29;32;25;16;23;17;18;9;8;15;10;4;-;206
"150180 Breves";125;152;155;172;177;178;153;157;141;106;152;131;-;1799
"150190 Bujaru";30;26;31;28;22;31;26;22;32;26;27;20;-;321
"150200 Cachoeira do Arari";12;11;14;23;14;20;10;12;11;11;13;19;-;170
"150195 Cachoeira do Piriá";9;3;6;4;4;9;10;4;5;3;1;6;-;64
"150210 Cametá";147;155;200;246;287;267;310;251;228;228;209;223;-;2751
"150215 Canaã dos Carajás";17;10;16;27;17;17;24;22;18;30;19;13;-;230
"150220 Capanema";128;102;130;131;134;133;136;130;138;130;124;140;-;1556
"150230 Capitão Poço";36;9;20;66;72;71;90;82;43;74;61;7;-;631
"150240 Castanhal";274;264;317;324;278;310;301;247;279;261;294;282;-;3431
"150250 Chaves";4;7;4;12;11;10;10;12;10;8;6;3;-;97
"150260 Colares";11;10;12;17;11;18;17;18;20;14;10;9;-;167
"150270 Conceição do Araguaia";51;72;83;101;99;101;72;64;89;57;58;40;-;887
"150275 Concórdia do Pará";40;16;25;30;19;31;23;29;27;22;15;23;-;300
"150276 Cumaru do Norte";2;3;5;2;4;1;2;-;1;-;4;3;-;27
"150277 Curionópolis";43;36;50;31;32;57;41;48;45;40;32;38;-;493
"150280 Curralinho";18;21;18;16;21;21;14;14;11;22;25;12;-;213
"150285 Curuá";16;11;10;12;6;-;-;10;20;4;9;-;-;98
"150290 Curuçá";16;15;20;26;24;25;34;27;24;26;21;29;-;287
"150293 Dom Eliseu";66;94;120;116;63;98;58;77;108;92;101;91;-;1084
"150295 Eldorado do Carajás";38;50;25;46;47;39;36;56;39;51;46;51;-;524
"150300 Faro";7;8;16;9;5;4;4;8;11;6;6;-;-;84
"150304 Floresta do Araguaia";17;19;27;19;21;11;15;15;25;8;12;28;-;217
"150307 Garrafão do Norte";31;40;40;46;43;61;55;50;54;50;36;28;-;534
"150309 Goianésia do Pará";17;32;36;22;22;41;27;33;38;37;19;37;-;361
"150310 Gurupá";23;24;29;32;34;46;39;39;31;38;32;34;-;401
"150320 Igarapé-Açu";38;49;49;52;56;48;52;57;56;47;61;55;-;620
"150330 Igarapé-Miri";51;42;70;79;72;81;75;85;77;77;96;75;-;880
"150340 Inhangapi";16;9;17;14;16;9;16;8;13;18;8;4;-;148
"150345 Ipixuna do Pará";22;17;24;21;38;32;33;31;21;18;24;15;-;296
"150350 Irituia";42;48;52;48;50;60;50;72;65;59;41;45;-;632
"150360 Itaituba";81;223;373;289;267;287;296;253;219;343;369;394;-;3394
"150370 Itupiranga";55;42;49;65;56;67;47;54;67;44;72;31;-;649
"150375 Jacareacanga";7;2;7;10;3;6;5;5;4;5;7;9;-;70
"150380 Jacundá";49;62;80;97;77;78;80;78;100;103;83;90;-;977
"150390 Juruti";20;7;22;37;27;28;46;45;42;23;29;46;-;372
"150400 Limoeiro do Ajuru";19;13;20;24;14;18;14;10;9;7;10;5;-;163
"150405 Mãe do Rio";40;45;43;54;44;43;52;49;56;61;58;45;-;590
"150410 Magalhães Barata";5;12;5;8;12;3;5;7;4;7;4;5;-;77
"150420 Marabá";293;232;239;385;399;363;359;355;373;358;306;294;-;3956
"150430 Maracanã";25;10;24;22;8;20;20;33;21;36;29;15;-;263
"150440 Marapanim";19;11;20;14;27;27;27;18;18;17;31;22;-;251
"150442 Marituba";142;128;143;153;129;148;146;127;166;143;120;142;-;1687
"150445 Medicilândia";24;25;46;44;58;51;47;42;38;64;41;33;-;513
"150450 Melgaço";11;6;8;16;18;6;11;7;5;10;17;3;-;118
"150460 Mocajuba";21;23;41;24;34;29;34;27;18;16;17;20;-;304
"150470 Moju";68;81;63;84;97;101;100;92;96;80;82;76;-;1020
"150480 Monte Alegre";92;87;95;78;90;96;97;98;119;110;90;103;-;1155
"150490 Muaná";21;24;26;22;25;20;34;28;24;16;14;24;-;278
"150495 Nova Esperança do Piriá";15;6;3;17;19;25;25;10;11;9;4;2;-;146
"150497 Nova Ipixuna";6;3;18;8;4;10;17;13;7;9;6;11;-;112
"150500 Nova Timboteua";6;8;9;10;9;14;10;17;13;15;10;11;-;132
"150503 Novo Progresso";-;6;14;17;16;8;25;15;13;14;12;9;-;149
"150506 Novo Repartimento";39;79;107;87;86;71;76;88;51;89;66;66;-;905
"150510 Óbidos";26;36;13;35;21;25;43;45;29;38;27;30;-;368
"150520 Oeiras do Pará";37;23;27;33;46;15;15;35;17;39;38;24;-;349
"150530 Oriximiná";84;76;119;101;96;122;102;109;109;138;129;125;-;1310
"150540 Ourém";19;22;23;17;20;16;4;11;13;28;16;8;-;197
"150543 Ourilândia do Norte";20;12;27;23;23;24;27;11;17;14;15;24;-;237
"150548 Pacajá";35;34;41;48;50;46;57;46;31;43;37;45;-;513
"150549 Palestina do Pará";8;8;6;7;12;14;11;11;12;11;17;13;-;130
"150550 Paragominas";132;180;211;133;182;188;179;181;183;164;190;139;-;2062
"150553 Parauapebas";141;143;193;193;214;187;182;209;194;197;162;179;-;2194
"150555 Pau D'Arco";8;12;4;9;10;10;8;6;2;3;6;4;-;82
"150560 Peixe-Boi";1;3;4;1;5;4;2;4;9;4;4;5;-;46
"150563 Piçarra";9;8;9;18;14;14;15;18;17;10;13;12;-;157
"150565 Placas";6;3;7;7;4;4;6;7;6;6;5;5;-;66
"150570 Ponta de Pedras";13;9;21;21;12;23;8;22;19;14;15;14;-;191
"150580 Portel";63;59;66;51;62;65;53;63;62;81;73;59;-;757
"150590 Porto de Moz";31;28;28;18;18;28;30;30;21;39;35;21;-;327
"150600 Prainha";47;34;41;41;34;3;42;47;47;42;31;56;-;465
"150610 Primavera";10;8;7;11;12;6;14;8;13;15;12;8;-;124
"150611 Quatipuru";10;11;15;8;19;17;14;9;8;11;9;13;-;144
"150613 Redenção";123;119;181;193;203;146;124;123;144;127;132;128;1;1744
"150616 Rio Maria";26;26;31;47;38;55;27;34;27;28;36;34;-;409
"150618 Rondon do Pará";69;80;103;85;91;80;106;82;81;78;74;90;-;1019
"150619 Rurópolis";28;20;42;45;33;36;46;36;41;31;39;31;-;428
"150620 Salinópolis";53;76;85;77;79;81;68;67;70;80;65;90;-;891
"150630 Salvaterra";11;14;18;22;9;18;14;12;13;13;10;13;-;167
"150635 Santa Bárbara do Pará";16;21;19;28;21;15;19;26;21;22;14;15;-;237
"150640 Santa Cruz do Arari";3;1;1;4;6;7;8;3;3;3;7;6;-;52
"150650 Santa Izabel do Pará";70;75;87;104;109;92;83;76;91;61;45;43;-;936
"150655 Santa Luzia do Pará";17;13;21;20;14;14;11;12;10;8;6;9;-;155
"150658 Santa Maria das Barreiras";4;3;7;6;4;7;8;12;15;4;4;2;-;76
"150660 Santa Maria do Pará";42;43;41;38;46;38;52;42;46;45;39;55;-;527
"150670 Santana do Araguaia";39;42;53;48;51;45;36;45;50;53;39;44;-;545
"150680 Santarém";596;398;629;590;701;639;677;643;690;673;598;505;-;7339
"150690 Santarém Novo";6;4;-;5;4;3;3;5;2;4;6;-;-;42
"150700 Santo Antônio do Tauá";40;35;37;41;47;48;34;52;41;39;34;32;-;480
"150710 São Caetano de Odivelas";11;20;21;17;16;20;26;22;12;23;17;11;-;216
"150715 São Domingos do Araguaia";48;39;55;50;47;44;58;43;51;62;45;43;-;585
"150720 São Domingos do Capim";31;49;43;25;33;30;42;45;34;36;33;40;-;441
"150730 São Félix do Xingu";39;46;57;65;67;59;53;75;68;50;44;54;-;677
"150740 São Francisco do Pará";18;23;18;15;15;14;23;21;12;25;12;21;-;217
"150745 São Geraldo do Araguaia";33;41;34;51;52;47;72;70;76;62;52;50;-;640
"150746 São João da Ponta";4;-;3;3;7;1;4;4;1;5;4;4;-;40
"150747 São João de Pirabas";8;6;17;14;14;19;15;19;6;13;15;10;-;156
"150750 São João do Araguaia";8;2;9;19;14;16;9;18;15;19;19;10;-;158
"150760 São Miguel do Guamá";68;53;88;68;79;101;78;94;70;82;97;71;-;949
"150770 São Sebastião da Boa Vista";26;22;17;25;24;-;23;17;25;36;8;17;-;240
"150775 Sapucaia";5;10;5;10;12;10;7;8;15;5;7;8;-;102
"150780 Senador José Porfírio";12;9;12;12;22;14;23;12;8;25;20;20;-;189
"150790 Soure";26;31;47;30;48;34;31;37;42;32;37;31;-;426
"150795 Tailândia";68;45;83;71;29;72;67;81;70;79;83;62;-;810
"150796 Terra Alta";10;11;9;13;13;14;13;16;19;19;15;11;-;163
"150797 Terra Santa";17;19;36;26;25;27;30;42;23;31;23;20;-;319
"150800 Tomé-Açu";41;40;58;84;49;49;35;44;53;60;71;57;-;641
"150803 Tracuateua";27;21;33;31;41;28;46;34;33;29;37;26;-;386
"150805 Trairão";5;2;3;5;6;3;8;3;2;3;15;15;-;70
"150808 Tucumã";45;45;55;49;55;57;60;68;52;60;46;71;-;663
"150810 Tucuruí";126;114;94;100;134;122;122;83;58;66;59;46;-;1124
"150812 Ulianópolis";25;22;30;21;23;12;15;35;16;18;38;31;-;286
"150815 Uruará";36;33;64;60;50;36;65;53;45;73;58;40;-;613
"150820 Vigia";53;52;67;62;77;63;64;60;46;52;56;81;-;733
"150830 Viseu";100;67;65;51;85;69;62;48;62;49;32;40;-;730
"150835 Vitória do Xingu";5;8;12;16;15;15;24;18;11;22;7;9;-;162
"150840 Xinguara";44;44;49;66;55;54;49;46;68;57;44;36;-;612
"150000 Município ignorado - PA";2;10;9;6;3;9;10;8;9;1;5;3;-;75
"160010 Amapá";13;11;18;15;16;10;1;17;15;15;15;10;-;156
"160020 Calçoene";10;9;17;15;17;14;12;17;18;11;17;21;-;178
"160021 Cutias";-;1;3;6;2;2;1;3;2;1;2;3;-;26
"160023 Ferreira Gomes";3;6;11;11;8;7;11;8;13;7;2;6;-;93
"160025 Itaubal";2;-;-;2;-;3;4;4;1;-;2;4;-;22
"160027 Laranjal do Jari";25;27;28;30;22;35;23;30;34;26;24;27;-;331
"160030 Macapá";864;696;777;795;743;768;870;790;955;935;824;821;-;9838
"160040 Mazagão";7;20;30;26;24;33;28;21;10;8;9;8;-;224
"160050 Oiapoque";23;20;23;23;22;23;19;18;13;7;10;7;-;208
"160015 Pedra Branca do Amapari";-;1;3;2;2;2;5;1;3;1;-;1;-;21
"160053 Porto Grande";20;22;21;29;13;28;20;21;21;14;22;23;-;254
"160055 Pracuúba";-;-;-;1;1;3;-;1;1;2;2;-;-;11
"160060 Santana";238;177;216;216;241;193;192;147;82;52;127;56;-;1937
"160005 Serra do Navio";10;7;10;3;5;6;2;3;3;4;3;-;-;56
"160070 Tartarugalzinho";1;-;1;1;3;2;10;8;13;6;11;13;-;69
"160080 Vitória do Jari";3;8;21;8;14;16;16;18;21;13;12;14;-;164
"160000 Município ignorado - AP";1;-;1;1;-;-;-;1;-;-;-;-;-;4
"170025 Abreulândia";2;2;2;-;2;1;5;4;2;-;2;4;-;26
"170030 Aguiarnópolis";1;-;3;5;1;2;4;4;3;3;5;3;-;34
"170035 Aliança do Tocantins";9;15;13;17;19;5;12;20;15;13;13;9;-;160
"170040 Almas";24;18;24;17;18;24;24;19;27;16;16;23;-;250
"170070 Alvorada";15;18;18;21;16;18;14;21;19;10;8;12;-;190
"170100 Ananás";19;21;19;25;14;30;24;29;41;31;33;20;-;306
"170105 Angico";1;5;9;5;4;4;5;2;5;2;6;5;-;53
"170110 Aparecida do Rio Negro";5;4;3;5;7;6;3;-;7;1;6;3;-;50
"170130 Aragominas";4;6;11;4;10;5;9;6;9;6;8;6;-;84
"170190 Araguacema";4;6;10;10;7;15;16;11;14;15;5;9;-;122
"170200 Araguaçu";13;10;15;20;15;19;19;16;15;17;7;11;-;177
"170210 Araguaína";219;188;278;259;306;228;238;285;271;238;241;241;-;2992
"170215 Araguanã";10;6;6;6;7;12;7;5;6;2;4;6;-;77
"170220 Araguatins";55;50;75;62;72;71;57;60;60;72;56;56;-;746
"170230 Arapoema";11;14;14;14;15;17;8;7;17;16;12;9;-;154
"170240 Arraias";17;19;17;19;14;18;22;23;27;20;14;25;-;235
"170255 Augustinópolis";18;24;28;31;33;24;29;31;22;33;35;34;-;342
"170270 Aurora do Tocantins";3;6;8;4;3;1;1;-;-;-;1;1;-;28
"170290 Axixá do Tocantins";18;20;32;18;28;21;19;37;28;21;29;20;-;291
"170300 Babaçulândia";8;13;16;13;18;12;13;15;22;15;11;6;-;162
"170305 Bandeirantes do Tocantins";6;1;2;4;3;8;4;4;4;7;2;4;-;49
"170307 Barra do Ouro";3;3;4;-;4;2;4;9;8;5;3;4;-;49
"170310 Barrolândia";8;7;11;5;12;7;10;12;14;12;7;8;-;113
"170320 Bernardo Sayão";6;2;6;7;9;8;9;15;6;3;2;5;-;78
"170330 Bom Jesus do Tocantins";5;3;6;6;2;4;6;3;4;6;3;4;-;52
"170360 Brasilândia do Tocantins";2;-;4;4;5;3;4;-;1;3;6;4;-;36
