 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2002
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110011 Jaru";108;97;126;97;85;100;97;101;97;97;98;84;1187
"110012 Ji-Paraná";208;176;230;198;223;206;203;202;215;190;186;169;2406
"110013 Machadinho D'Oeste";35;36;54;49;60;61;52;45;48;50;46;44;580
"110120 Ministro Andreazza";16;11;12;11;12;12;17;18;8;14;19;8;158
"110130 Mirante da Serra";23;28;30;27;30;30;41;35;28;28;34;19;353
"110140 Monte Negro";31;22;23;25;23;20;19;27;22;20;17;14;263
"110014 Nova Brasilândia D'Oeste";37;39;28;36;39;35;47;27;49;41;34;34;446
"110033 Nova Mamoré";7;7;31;48;5;25;28;40;35;30;23;30;309
"110143 Nova União";14;15;14;7;18;10;16;11;17;9;8;8;147
"110050 Novo Horizonte do Oeste";13;13;18;17;16;15;17;11;9;12;17;20;178
"110015 Ouro Preto do Oeste";66;69;91;74;59;72;71;78;56;75;54;45;810
"110145 Parecis";4;4;10;10;6;17;3;10;7;5;7;11;94
"110018 Pimenta Bueno";58;39;69;76;55;68;62;48;66;60;61;54;716
"110146 Pimenteiras do Oeste";6;6;7;2;4;4;3;2;4;2;3;11;54
"110020 Porto Velho";627;551;605;618;669;592;599;584;571;642;574;570;7202
"110025 Presidente Médici";41;30;37;28;30;32;41;32;28;34;43;33;409
"110147 Primavera de Rondônia";6;9;6;9;7;8;7;7;2;5;6;5;77
"110026 Rio Crespo";5;4;3;4;2;5;7;1;2;4;-;3;40
"110028 Rolim de Moura";90;75;100;85;82;92;92;69;66;80;70;77;978
"110029 Santa Luzia D'Oeste";12;19;17;19;22;14;17;11;24;14;11;4;184
"110148 São Felipe D'Oeste";8;9;6;7;5;13;10;4;4;11;11;5;93
"110149 São Francisco do Guaporé";23;21;25;28;26;26;24;33;32;31;19;17;305
"110032 São Miguel do Guaporé";5;38;65;46;46;39;34;30;33;35;40;32;443
"110150 Seringueiras";8;15;10;15;11;26;15;14;17;19;14;14;178
"110155 Teixeirópolis";7;3;11;11;5;4;8;3;10;6;7;5;80
"110160 Theobroma";14;17;23;18;11;21;14;12;21;25;14;5;195
"110170 Urupá";14;19;16;17;13;18;25;19;24;25;17;22;229
"110175 Vale do Anari";11;6;8;10;5;5;11;8;17;11;12;9;113
"110180 Vale do Paraíso";10;12;23;8;16;10;19;12;11;10;12;15;158
"110030 Vilhena";101;104;113;117;119;103;85;120;91;108;105;119;1285
"110000 Município ignorado - RO";-;4;-;1;4;1;-;2;1;1;-;-;14
"120001 Acrelândia";12;13;10;14;20;23;12;16;16;8;16;25;185
"120005 Assis Brasil";12;9;13;7;16;12;16;8;11;6;9;10;129
"120010 Brasiléia";35;35;32;41;45;52;39;43;50;39;50;30;491
"120013 Bujari";5;5;2;5;3;4;7;6;8;3;8;6;62
"120017 Capixaba";6;10;7;7;7;10;9;13;9;6;15;13;112
"120020 Cruzeiro do Sul";211;181;187;173;125;167;161;168;185;182;155;87;1982
"120025 Epitaciolândia";24;15;28;29;29;22;28;25;32;16;27;22;297
"120030 Feijó";55;53;76;66;59;68;47;40;54;64;41;46;669
"120032 Jordão";1;-;2;2;1;1;2;-;3;1;-;3;16
"120033 Mâncio Lima";34;20;21;33;31;32;27;31;18;25;22;26;320
"120034 Manoel Urbano";6;10;14;15;12;17;5;14;3;19;10;10;135
"120035 Marechal Thaumaturgo";26;31;23;14;32;23;16;20;15;18;4;3;225
"120038 Plácido de Castro";28;24;32;37;28;39;31;27;30;35;28;36;375
"120080 Porto Acre";3;9;6;7;12;16;19;5;9;14;11;8;119
"120039 Porto Walter";17;19;10;16;8;13;16;8;9;17;14;12;159
"120040 Rio Branco";611;589;681;462;719;693;662;586;705;671;652;679;7710
"120042 Rodrigues Alves";50;48;27;20;21;25;28;16;12;18;2;5;272
"120043 Santa Rosa do Purus";5;5;6;4;7;5;5;6;4;2;1;1;51
"120050 Sena Madureira";71;65;81;75;89;76;67;82;81;64;61;65;877
"120045 Senador Guiomard";26;22;22;14;24;32;33;20;23;19;15;24;274
"120060 Tarauacá";80;78;72;64;84;70;86;85;86;91;101;86;983
"120070 Xapuri";25;20;37;50;36;37;30;27;41;27;26;41;397
"120000 Município ignorado - AC";-;-;-;-;-;-;-;-;-;-;1;-;1
"130002 Alvarães";13;23;24;22;24;20;25;24;21;25;26;23;270
"130006 Amaturá";11;16;14;12;16;9;13;6;12;7;6;5;127
"130008 Anamã";16;13;21;12;14;20;6;10;12;24;17;18;183
"130010 Anori";20;25;21;22;24;22;27;19;25;19;22;19;265
"130014 Apuí";23;23;19;13;21;16;15;21;14;21;14;23;223
"130020 Atalaia do Norte";18;29;19;20;18;10;13;19;23;28;26;30;253
"130030 Autazes";66;50;42;46;62;51;53;57;62;49;52;64;654
"130040 Barcelos";34;23;33;24;16;33;35;37;24;31;30;20;340
"130050 Barreirinha";36;46;41;36;34;26;20;24;33;38;14;22;370
"130060 Benjamin Constant";49;56;52;79;67;57;41;60;51;54;48;53;667
"130063 Beruri";32;14;18;21;34;17;27;31;10;32;31;15;282
"130068 Boa Vista do Ramos";35;41;43;24;34;29;38;37;41;37;47;38;444
"130070 Boca do Acre";67;38;52;48;69;30;42;46;47;68;67;23;597
"130080 Borba";57;40;38;64;61;50;58;64;62;64;46;60;664
"130083 Caapiranga";5;7;7;9;16;11;6;6;7;7;12;10;103
"130090 Canutama";12;6;22;10;10;15;21;16;15;9;19;17;172
"130100 Carauari";37;31;43;33;36;39;38;46;45;39;42;53;482
"130110 Careiro";17;28;15;21;22;15;20;25;12;16;15;20;226
"130115 Careiro da Várzea";10;22;12;19;12;14;15;12;10;8;13;15;162
"130120 Coari";136;114;117;135;127;148;154;150;155;151;136;155;1678
"130130 Codajás";32;26;36;30;48;31;28;47;40;46;43;29;436
"130140 Eirunepé";62;52;63;57;68;53;57;52;69;82;59;64;738
"130150 Envira";28;32;26;30;24;28;36;25;24;33;33;30;349
"130160 Fonte Boa";49;47;51;49;48;45;27;59;32;53;44;42;546
"130165 Guajará";26;35;25;30;26;14;35;24;24;22;21;13;295
"130170 Humaitá";87;99;67;86;89;90;81;86;85;99;94;76;1039
"130180 Ipixuna";48;31;24;34;30;38;43;20;34;29;26;39;396
"130185 Iranduba";58;55;55;46;42;57;48;47;46;64;45;46;609
"130190 Itacoatiara";179;132;178;168;144;136;161;155;161;184;186;152;1936
"130195 Itamarati";20;13;21;22;20;22;24;16;28;17;8;6;217
"130200 Itapiranga";17;13;19;18;21;19;23;16;23;18;19;21;227
"130210 Japurá";7;12;15;10;11;11;9;11;12;7;8;6;119
"130220 Juruá";30;8;18;7;8;7;8;4;2;8;8;3;111
"130230 Jutaí";40;29;35;44;30;31;37;35;27;27;41;43;419
"130240 Lábrea";58;39;54;55;67;74;61;57;54;67;55;64;705
"130250 Manacapuru";196;163;192;204;185;184;173;193;173;173;192;193;2221
"130255 Manaquiri";16;10;12;12;21;15;28;17;13;12;11;11;178
"130260 Manaus";3284;2919;3298;3291;3202;3008;3093;2953;3082;3361;3266;3404;38161
"130270 Manicoré";94;66;78;63;65;78;84;78;71;82;76;55;890
"130280 Maraã";33;27;37;24;18;16;20;15;31;28;32;25;306
"130290 Maués";115;87;117;105;115;102;106;98;94;87;106;92;1224
"130300 Nhamundá";29;27;33;25;25;27;32;32;31;24;27;34;346
"130310 Nova Olinda do Norte";61;50;52;55;47;57;55;53;56;56;66;43;651
"130320 Novo Airão";20;31;22;17;28;18;27;22;23;21;27;30;286
"130330 Novo Aripuanã";31;20;35;28;27;25;20;21;24;37;32;30;330
"130340 Parintins";196;158;219;206;163;163;167;208;140;154;158;126;2058
"130350 Pauini";26;26;22;21;17;30;24;25;28;24;28;16;287
"130353 Presidente Figueiredo";37;34;36;37;35;29;33;34;37;31;41;39;423
"130356 Rio Preto da Eva";13;14;16;20;21;22;12;16;22;12;21;24;213
"130360 Santa Isabel do Rio Negro";19;20;30;15;28;22;32;16;23;34;15;24;278
"130370 Santo Antônio do Içá";51;17;22;15;35;27;28;19;17;28;33;35;327
"130380 São Gabriel da Cachoeira";94;75;70;58;76;77;90;82;66;78;77;72;915
"130390 São Paulo de Olivença";37;48;45;36;31;36;38;33;36;33;47;40;460
"130395 São Sebastião do Uatumã";11;12;20;10;20;14;19;12;17;19;10;16;180
"130400 Silves";17;16;10;14;18;17;18;19;12;16;24;21;202
"130406 Tabatinga";103;84;111;102;88;88;91;86;90;68;96;106;1113
"130410 Tapauá";25;34;41;40;37;31;27;52;36;38;40;33;434
"130420 Tefé";137;157;141;129;157;125;159;128;135;128;125;147;1668
"130423 Tonantins";39;31;22;17;24;35;24;32;18;13;20;21;296
"130426 Uarini";29;28;13;21;24;26;15;21;16;14;24;34;265
"130430 Urucará";26;22;34;20;26;19;30;24;22;5;30;32;290
"130440 Urucurituba";34;20;19;25;27;32;37;39;31;37;35;28;364
"130000 Município ignorado - AM";-;-;-;-;-;-;-;1;-;-;-;-;1
"140005 Alto Alegre";36;17;16;17;16;11;21;15;14;28;16;25;232
"140002 Amajari";7;12;9;5;7;5;6;10;7;5;10;7;90
"140010 Boa Vista";475;450;505;489;542;499;503;464;526;509;575;535;6072
"140015 Bonfim";15;21;24;12;15;14;14;19;12;11;12;14;183
"140017 Cantá";26;25;20;23;24;19;16;14;19;19;25;10;240
"140020 Caracaraí";27;24;34;30;29;34;31;32;27;26;38;33;365
"140023 Caroebe";7;12;7;13;14;16;10;9;13;16;13;14;144
"140028 Iracema";7;7;7;9;7;5;12;14;5;6;4;5;88
"140030 Mucajaí";22;26;33;28;33;14;21;26;19;44;24;29;319
"140040 Normandia";25;29;22;20;25;13;21;19;22;23;26;26;271
"140045 Pacaraima";16;24;24;17;17;15;12;15;7;18;17;23;205
"140047 Rorainópolis";29;32;41;34;45;31;32;17;23;38;44;23;389
"140050 São João da Baliza";12;6;10;9;12;10;15;10;13;13;3;10;123
"140060 São Luiz";3;11;3;6;10;11;9;12;10;10;8;9;102
"140070 Uiramutã";18;21;15;17;12;16;15;7;13;11;15;7;167
"150010 Abaetetuba";245;186;182;227;209;214;224;216;223;226;184;201;2537
"150013 Abel Figueiredo";6;5;9;9;17;8;7;10;6;7;15;5;104
"150020 Acará";64;44;52;38;55;44;46;59;52;65;39;41;599
"150030 Afuá";58;65;77;68;72;53;51;47;68;75;71;67;772
"150034 Água Azul do Norte";10;17;14;19;15;15;22;18;15;18;18;17;198
"150040 Alenquer";125;112;110;103;116;144;120;116;102;13;129;118;1308
"150050 Almeirim";70;50;77;66;80;76;62;81;95;81;69;72;879
"150060 Altamira";188;179;203;183;177;155;180;216;161;196;176;169;2183
"150070 Anajás";35;32;14;29;21;27;34;22;21;25;23;25;308
"150080 Ananindeua";878;760;869;920;856;851;845;802;842;796;697;768;9884
"150085 Anapu";31;15;25;11;27;28;27;16;24;30;25;30;289
"150090 Augusto Corrêa";66;55;60;52;66;62;56;76;65;70;81;45;754
"150095 Aurora do Pará";41;40;28;26;39;38;51;44;39;29;39;33;447
"150100 Aveiro";27;29;26;35;20;24;24;20;17;3;9;24;258
"150110 Bagre";26;33;41;28;40;22;30;21;24;25;12;30;332
"150120 Baião";33;31;27;29;35;20;30;35;29;27;33;31;360
"150125 Bannach";4;7;7;8;2;9;3;4;5;5;2;2;58
"150130 Barcarena";146;112;140;109;155;115;146;133;112;126;169;115;1578
"150140 Belém";2184;1959;2279;2167;2207;2086;2139;2120;2148;2234;2127;2145;25795
"150145 Belterra";17;19;21;18;27;26;26;21;18;20;36;25;274
"150150 Benevides";90;58;82;77;77;70;85;79;76;69;82;87;932
"150157 Bom Jesus do Tocantins";26;22;22;23;24;14;12;10;22;15;20;24;234
"150160 Bonito";15;13;6;8;10;17;19;11;14;17;16;9;155
"150170 Bragança";223;168;177;195;190;174;192;195;204;215;190;141;2264
"150172 Brasil Novo";24;22;20;39;25;27;21;24;32;30;21;33;318
"150175 Brejo Grande do Araguaia";10;15;8;12;14;15;9;10;9;12;6;8;128
"150178 Breu Branco";38;21;22;20;41;18;29;38;51;44;35;37;394
"150180 Breves";172;140;164;207;193;160;173;177;169;165;182;159;2061
"150190 Bujaru";47;29;23;19;23;25;38;42;30;30;40;41;387
"150200 Cachoeira do Arari";18;15;10;19;11;16;14;15;19;15;14;12;178
"150195 Cachoeira do Piriá";15;8;11;17;21;15;9;15;28;20;14;8;181
"150210 Cametá";146;54;151;123;146;187;174;209;261;205;205;215;2076
"150215 Canaã dos Carajás";14;17;10;17;16;9;13;11;18;27;18;19;189
"150220 Capanema";100;97;80;109;100;115;108;119;105;137;91;90;1251
"150230 Capitão Poço";72;57;47;44;71;53;49;59;80;79;77;49;737
"150240 Castanhal";307;245;267;289;282;274;264;263;298;284;277;277;3327
"150250 Chaves";13;8;19;13;21;8;17;10;8;9;4;9;139
"150260 Colares";9;11;16;16;16;10;14;16;19;23;17;13;180
"150270 Conceição do Araguaia";93;64;97;101;80;92;109;101;86;85;69;64;1041
"150275 Concórdia do Pará";26;31;24;33;29;32;39;43;35;43;31;39;405
"150276 Cumaru do Norte";4;5;10;2;8;4;6;9;3;6;3;-;60
"150277 Curionópolis";37;34;32;43;47;43;36;30;35;34;43;33;447
"150280 Curralinho";18;23;33;45;35;47;44;17;24;40;30;29;385
"150285 Curuá";15;29;13;17;27;31;22;22;12;-;16;13;217
"150290 Curuçá";22;20;22;22;20;23;28;33;33;21;30;23;297
"150293 Dom Eliseu";80;79;93;78;102;107;94;87;113;110;102;31;1076
"150295 Eldorado do Carajás";36;40;42;55;55;77;55;36;35;51;46;29;557
"150300 Faro";19;8;13;10;16;14;15;13;11;16;15;10;160
"150304 Floresta do Araguaia";23;19;27;30;26;28;23;30;32;28;28;15;309
"150307 Garrafão do Norte";50;46;47;44;46;40;48;49;47;60;56;23;556
"150309 Goianésia do Pará";43;49;66;41;53;56;64;47;72;56;54;66;667
"150310 Gurupá";45;48;50;48;55;63;53;44;41;51;50;48;596
"150320 Igarapé-Açu";55;46;45;56;56;66;48;47;51;62;58;61;651
"150330 Igarapé-Miri";94;81;114;139;101;113;91;117;107;109;108;76;1250
"150340 Inhangapi";15;16;14;8;13;8;15;17;13;19;15;15;168
"150345 Ipixuna do Pará";47;31;36;41;50;32;41;43;43;40;41;38;483
"150350 Irituia";61;32;47;54;62;51;65;59;70;58;72;48;679
"150360 Itaituba";259;260;297;301;290;300;303;203;276;4;74;267;2834
"150370 Itupiranga";50;59;50;40;57;65;58;64;50;74;53;68;688
"150375 Jacareacanga";36;24;33;41;33;33;38;36;29;38;20;15;376
"150380 Jacundá";110;98;116;113;120;111;109;86;102;99;106;104;1274
"150390 Juruti";52;35;38;52;50;39;60;50;44;4;42;37;503
"150400 Limoeiro do Ajuru";19;14;24;30;28;39;40;33;42;36;30;30;365
"150405 Mãe do Rio";53;73;58;57;51;64;76;64;62;66;75;59;758
"150410 Magalhães Barata";12;3;8;4;5;5;9;12;11;7;6;4;86
"150420 Marabá";257;264;316;359;387;329;360;345;372;355;350;358;4052
"150430 Maracanã";33;33;38;41;32;29;31;39;28;40;30;36;410
"150440 Marapanim";25;11;18;26;27;17;23;20;19;25;30;19;260
"150442 Marituba";150;137;157;154;140;140;140;139;176;150;144;159;1786
"150445 Medicilândia";48;36;48;36;41;63;51;50;49;38;36;48;544
"150450 Melgaço";24;31;56;65;60;43;49;58;51;43;49;33;562
"150460 Mocajuba";38;37;31;33;51;43;38;45;37;32;53;32;470
"150470 Moju";83;64;87;84;115;72;67;94;8;114;70;22;880
"150480 Monte Alegre";142;118;126;127;114;104;111;129;97;109;129;142;1448
"150490 Muaná";31;36;35;35;21;12;31;38;47;44;26;21;377
"150495 Nova Esperança do Piriá";25;24;23;15;14;23;20;21;28;27;33;10;263
"150497 Nova Ipixuna";2;3;12;9;17;8;7;7;7;9;7;4;92
"150500 Nova Timboteua";19;13;8;16;14;19;13;15;15;20;22;14;188
"150503 Novo Progresso";28;23;28;21;34;31;23;14;24;33;26;21;306
"150506 Novo Repartimento";112;83;103;97;114;122;112;108;114;123;115;108;1311
"150510 Óbidos";123;88;101;104;98;94;90;92;75;35;90;100;1090
"150520 Oeiras do Pará";27;44;34;25;46;23;38;36;37;46;53;34;443
"150530 Oriximiná";124;95;131;121;143;135;110;133;105;116;146;126;1485
"150540 Ourém";25;25;19;25;28;29;35;24;25;31;35;29;330
"150543 Ourilândia do Norte";30;23;30;24;27;26;24;25;32;23;26;19;309
"150548 Pacajá";53;34;46;52;72;37;53;42;45;53;51;39;577
"150549 Palestina do Pará";14;28;14;10;15;20;12;17;17;20;19;13;199
"150550 Paragominas";223;179;189;202;198;158;184;163;167;174;202;158;2197
"150553 Parauapebas";198;167;200;183;212;185;177;172;237;200;204;194;2329
"150555 Pau D'Arco";7;10;7;8;17;16;10;12;9;13;5;4;118
"150560 Peixe-Boi";16;19;14;14;15;12;16;12;14;17;12;9;170
"150563 Piçarra";6;11;12;17;11;10;14;18;15;9;9;9;141
"150565 Placas";28;20;27;25;24;20;26;13;18;22;17;12;252
"150570 Ponta de Pedras";21;15;24;35;25;24;23;19;18;24;17;14;259
"150580 Portel";72;60;75;78;99;73;79;82;74;87;83;85;947
"150590 Porto de Moz";55;41;33;38;45;39;49;38;37;39;54;54;522
"150600 Prainha";50;34;53;42;52;45;38;44;44;37;47;38;524
"150610 Primavera";30;18;25;21;19;17;23;20;20;29;37;13;272
"150611 Quatipuru";20;22;20;17;25;16;21;25;20;22;22;17;247
"150613 Redenção";174;150;168;124;153;109;173;138;145;183;171;155;1843
"150616 Rio Maria";28;28;27;36;44;39;42;38;39;38;29;31;419
"150618 Rondon do Pará";84;80;104;96;103;103;84;87;107;90;91;73;1102
"150619 Rurópolis";42;37;34;39;48;46;59;50;43;49;42;41;530
"150620 Salinópolis";72;65;75;90;61;66;84;76;66;53;56;39;803
"150630 Salvaterra";19;9;22;14;22;29;27;21;16;24;16;14;233
"150635 Santa Bárbara do Pará";14;18;18;16;28;15;23;17;13;29;29;20;240
"150640 Santa Cruz do Arari";9;2;6;9;9;9;7;5;4;5;1;1;67
"150650 Santa Izabel do Pará";107;53;87;80;100;74;95;72;87;73;86;90;1004
"150655 Santa Luzia do Pará";24;14;18;26;42;36;37;24;31;23;27;17;319
"150658 Santa Maria das Barreiras";5;5;6;15;8;11;8;12;14;12;5;10;111
"150660 Santa Maria do Pará";41;39;52;48;47;31;58;46;38;54;51;53;558
"150670 Santana do Araguaia";50;50;57;53;66;62;48;67;62;53;46;42;656
"150680 Santarém";558;526;530;621;574;522;583;547;309;298;535;556;6159
"150690 Santarém Novo";14;13;11;9;14;8;19;7;3;4;12;7;121
"150700 Santo Antônio do Tauá";51;43;54;43;49;52;50;40;44;51;39;57;573
"150710 São Caetano de Odivelas";23;17;15;21;11;14;14;15;12;12;13;7;174
"150715 São Domingos do Araguaia";46;40;47;48;59;38;50;41;47;56;54;34;560
"150720 São Domingos do Capim";55;58;61;60;62;51;55;67;48;74;62;64;717
"150730 São Félix do Xingu";78;73;86;78;82;80;83;69;73;80;81;58;921
"150740 São Francisco do Pará";29;20;27;17;24;18;20;11;15;19;15;20;235
"150745 São Geraldo do Araguaia";67;51;48;62;61;75;60;56;42;60;45;42;669
"150746 São João da Ponta";6;3;3;4;2;4;4;8;5;8;6;6;59
"150747 São João de Pirabas";13;19;29;26;20;24;9;23;37;31;26;23;280
"150750 São João do Araguaia";11;14;7;14;14;11;12;18;16;20;11;13;161
"150760 São Miguel do Guamá";110;91;102;83;78;87;68;82;95;96;89;94;1075
"150770 São Sebastião da Boa Vista";28;22;28;20;18;28;15;19;29;25;23;4;259
"150775 Sapucaia";12;8;9;11;13;15;9;12;6;7;10;9;121
"150780 Senador José Porfírio";20;30;12;16;20;25;25;22;27;22;26;22;267
"150790 Soure";22;9;25;29;44;27;32;31;25;33;28;12;317
"150795 Tailândia";82;123;108;114;126;107;124;114;117;109;101;130;1355
"150796 Terra Alta";17;4;7;14;9;9;14;9;6;8;12;9;118
"150797 Terra Santa";23;23;29;36;28;20;28;28;21;30;-;29;295
"150800 Tomé-Açu";47;19;29;6;59;50;24;47;47;27;52;21;428
"150803 Tracuateua";26;33;38;38;34;39;49;51;49;55;55;43;510
"150805 Trairão";24;17;15;20;15;28;18;15;25;14;6;14;211
"150808 Tucumã";55;50;57;54;71;57;44;55;49;49;49;38;628
"150810 Tucuruí";120;92;115;127;141;145;130;152;156;150;156;138;1622
"150812 Ulianópolis";34;27;25;26;28;43;31;27;26;27;11;18;323
"150815 Uruará";52;47;62;69;67;53;68;57;59;72;63;87;756
"150820 Vigia";74;63;69;65;86;52;74;43;75;60;59;62;782
"150830 Viseu";38;47;60;79;77;81;92;81;114;91;78;59;897
"150835 Vitória do Xingu";17;17;24;20;19;19;25;22;20;17;28;12;240
"150840 Xinguara";80;82;94;85;92;98;98;64;77;76;69;70;985
"150000 Município ignorado - PA";-;-;-;-;-;-;-;-;1;-;-;-;1
"160010 Amapá";22;7;13;13;15;12;20;8;16;19;30;17;192
"160020 Calçoene";10;8;15;17;10;9;13;14;13;16;12;9;146
"160021 Cutias";6;9;6;7;8;7;12;7;10;7;16;7;102
"160023 Ferreira Gomes";8;7;10;6;10;9;9;9;1;5;8;10;92
"160025 Itaubal";6;8;8;11;8;7;9;8;6;7;2;12;92
"160027 Laranjal do Jari";89;60;79;76;90;68;82;76;91;96;92;84;983
"160030 Macapá";778;636;716;643;680;675;722;726;768;823;716;696;8579
"160040 Mazagão";25;20;30;36;31;35;31;41;35;43;39;19;385
"160050 Oiapoque";29;27;31;27;43;34;28;28;33;31;31;26;368
"160015 Pedra Branca do Amapari";10;6;5;2;8;3;3;6;6;11;6;2;68
"160053 Porto Grande";20;21;17;20;18;19;18;22;35;24;23;20;257
"160055 Pracuúba";4;6;1;4;2;3;8;7;2;4;2;7;50
"160060 Santana";204;175;170;188;203;188;171;178;200;181;202;181;2241
"160005 Serra do Navio";10;2;3;6;8;14;8;13;14;10;7;9;104
"160070 Tartarugalzinho";26;18;22;23;14;19;19;16;21;24;15;22;239
"160080 Vitória do Jari";34;19;29;19;29;17;30;26;32;13;34;16;298
"170025 Abreulândia";7;7;2;4;5;9;6;1;4;2;4;5;56
"170030 Aguiarnópolis";3;4;7;7;3;3;2;4;9;2;1;5;50
"170035 Aliança do Tocantins";12;15;11;10;8;12;14;15;7;5;9;13;131
"170040 Almas";10;6;16;20;12;20;19;16;18;19;20;8;184
"170070 Alvorada";14;17;13;13;12;17;9;12;12;14;14;8;155
"170100 Ananás";19;23;22;26;30;31;32;29;17;26;20;16;291
"170105 Angico";6;-;7;5;5;7;5;3;2;2;9;6;57
"170110 Aparecida do Rio Negro";5;5;3;8;11;3;8;9;3;6;6;4;71
"170130 Aragominas";9;5;10;12;4;7;9;8;5;14;10;6;99
"170190 Araguacema";11;7;13;13;4;9;12;12;19;8;17;12;137
"170200 Araguaçu";11;13;17;25;11;16;17;10;14;10;13;13;170
"170210 Araguaína";257;199;232;276;246;231;238;257;238;213;196;215;2798
"170215 Araguanã";10;7;7;6;9;4;13;13;6;11;5;5;96
"170220 Araguatins";48;55;57;59;59;51;53;48;39;57;45;39;610
"170230 Arapoema";21;15;21;27;23;19;28;19;23;11;9;15;231
"170240 Arraias";14;19;18;32;26;14;11;10;12;15;11;20;202
"170255 Augustinópolis";24;43;39;30;27;31;38;34;23;40;41;30;400
"170270 Aurora do Tocantins";4;3;7;-;5;5;2;3;5;9;2;7;52
"170290 Axixá do Tocantins";11;16;34;18;29;24;29;17;22;31;38;20;289
"170300 Babaçulândia";9;14;9;14;8;11;18;15;18;15;18;11;160
"170305 Bandeirantes do Tocantins";2;6;4;3;10;7;4;3;2;3;3;1;48
"170307 Barra do Ouro";4;5;9;7;4;5;8;10;7;7;11;5;82
"170310 Barrolândia";11;7;9;5;5;8;9;7;7;9;8;7;92
"170320 Bernardo Sayão";7;3;10;5;8;9;7;3;6;6;4;8;76
"170330 Bom Jesus do Tocantins";3;7;2;6;5;2;5;3;4;6;2;9;54
"170360 Brasilândia do Tocantins";1;2;6;3;6;4;1;3;5;2;4;-;37
"170370 Brejinho de Nazaré";7;3;3;4;9;-;4;10;10;7;13;3;73
"170380 Buriti do Tocantins";16;10;14;21;20;11;21;19;13;16;19;15;195
"170382 Cachoeirinha";5;4;2;4;9;2;5;2;5;5;2;3;48
"170384 Campos Lindos";2;2;10;6;6;4;10;6;9;9;6;5;75
"170386 Cariri do Tocantins";5;2;7;4;1;4;3;2;1;6;4;4;43
"170388 Carmolândia";6;1;6;4;4;1;2;4;3;3;5;3;42
"170389 Carrasco Bonito";2;5;8;9;7;5;3;8;8;10;10;4;79
"170390 Caseara";4;7;12;8;5;10;3;12;7;6;4;4;82
"170410 Centenário";6;5;1;2;5;3;2;3;2;7;3;1;40
"170510 Chapada da Natividade";2;5;8;1;6;1;4;7;5;2;1;2;44
"170460 Chapada de Areia";1;2;2;-;1;-;1;1;2;-;1;-;11
"170550 Colinas do Tocantins";78;64;81;82;61;64;65;63;68;63;77;57;823
"171670 Colméia";12;19;24;17;19;17;16;16;23;14;11;16;204
"170555 Combinado";10;6;10;9;12;7;12;10;7;5;4;12;104
"170560 Conceição do Tocantins";7;6;5;2;12;6;8;4;4;12;9;4;79
"170600 Couto Magalhães";2;4;9;2;5;4;6;2;4;7;4;7;56
"170610 Cristalândia";16;12;13;10;19;12;12;7;9;19;12;17;158
"170625 Crixás do Tocantins";3;1;1;1;3;-;4;2;1;2;5;-;23
"170650 Darcinópolis";3;4;6;2;4;4;7;4;9;4;6;3;56
"170700 Dianópolis";50;38;39;35;30;26;28;29;29;34;39;23;400
