 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2002
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";60;51;56;61;54;46;41;38;50;46;29;54;586
"110037 Alto Alegre dos Parecis";13;8;7;13;11;9;14;11;17;9;12;13;137
"110040 Alto Paraíso";24;22;18;19;25;25;18;21;19;25;35;25;276
"110034 Alvorada D'Oeste";44;41;31;38;41;39;37;41;36;37;41;22;448
"110002 Ariquemes";167;136;156;180;163;166;164;153;174;151;191;147;1948
"110045 Buritis";69;54;69;61;63;71;75;79;68;70;63;63;805
"110003 Cabixi";3;8;7;13;11;9;11;13;11;8;8;9;111
"110060 Cacaulândia";12;9;8;13;10;9;7;10;11;18;13;18;138
"110004 Cacoal";139;131;139;155;160;106;159;155;152;118;117;125;1656
"110070 Campo Novo de Rondônia";22;8;15;21;16;19;12;12;13;18;12;14;182
"110080 Candeias do Jamari";16;15;3;5;3;4;1;1;13;25;19;16;121
"110090 Castanheiras";2;6;9;4;5;4;3;3;8;6;5;10;65
"110005 Cerejeiras";21;36;28;24;31;23;22;33;27;31;30;29;335
"110092 Chupinguaia";5;7;10;5;10;10;6;7;6;11;5;6;88
"110006 Colorado do Oeste";25;22;26;29;33;37;32;33;21;34;35;27;354
"110007 Corumbiara";12;8;13;17;17;9;13;18;10;13;18;12;160
"110008 Costa Marques";30;15;25;26;34;25;20;19;34;21;25;34;308
"110094 Cujubim";26;8;17;14;14;15;12;17;19;18;13;10;183
"110009 Espigão D'Oeste";48;48;34;58;58;34;44;40;46;42;55;39;546
"110100 Governador Jorge Teixeira";16;21;24;13;19;17;31;26;25;27;16;16;251
"110010 Guajará-Mirim";70;67;60;75;75;61;63;61;80;56;58;72;798
"110110 Itapuã do Oeste";3;-;1;1;9;8;5;3;11;4;5;6;56
