Sigla,Code,Munic,1996,2000,2007,2010
AL,2709004,Tanque d'Arca,4971,4453,3663,3982
AL,2709103,Taquarana,12381,12675,14050,11706
AL,2709152,Teotônio Vilela,7618,7043,7303,6367
AL,2709202,Traipu,16635,16308,17048,17675
AL,2709301,União dos Palmares,20305,20751,16106,14707
AL,2709400,Viçosa,9433,8652,7143,7094
AM,1300029,Alvarães,8556,6836,6025,6201
AM,1300060,Amaturá,3435,3378,3653,4507
AM,1300086,Anamã,5389,4499,4848,6040
AM,1300102,Anori,4110,4091,5183,6317
AM,1300144,Apuí,6614,7738,8187,7412
AM,1300201,Atalaia do Norte,5194,5874,7886,8260
AM,1300300,Autazes,15880,14195,17273,18242
AM,1300409,Barcelos,7598,16243,17765,14561
AM,1300508,Barreirinha,11951,13331,14845,14937
AM,1300607,Benjamin Constant,9983,9048,10670,13273
AM,1300631,Beruri,5377,6079,6004,7708
AM,1300680,Boa Vista do Ramos,5088,5465,6473,7429
AM,1300706,Boca do Acre,10858,12345,11748,11284
AM,1300805,Borba,13423,17373,17016,20527
AM,1300839,Caapiranga,4367,5688,5934,5835
AM,1300904,Canutama,3434,5298,5647,6056
AM,1301001,Carauari,6170,6545,6706,6030
AM,1301100,Careiro,13870,21677,24179,23297
AM,1301159,Careiro da Várzea,16685,16461,22226,22930
AM,1301209,Coari,23231,27592,21960,26314
AM,1301308,Codajás,4535,6218,4469,7400
AM,1301407,Eirunepé,10356,9293,8669,8499
AM,1301506,Envira,10574,12315,6702,5786
AM,1301605,Fonte Boa,14189,19876,6834,7702
AM,1301654,Guajará,7065,7000,7559,6547
AM,1301704,Humaitá,7653,8805,10480,13726
AM,1301803,Ipixuna,6753,8994,9864,12755
AM,1301852,Iranduba,18138,22363,20843,11802
AM,1301902,Itacoatiara,21591,25640,29272,28682
AM,1301951,Itamarati,5281,5303,3761,3566
AM,1302009,Itapiranga,1981,2014,2080,1760
AM,1302108,Japurá,4831,8002,2769,4028
AM,1302207,Juruá,2619,3532,3998,5116
AM,1302306,Jutaí,9430,14775,7429,7440
AM,1302405,Lábrea,10002,9680,14966,13494
AM,1302504,Manacapuru,25331,26033,27921,24967
AM,1302553,Manaquiri,13233,8546,13959,15739
AM,1302603,Manaus,7164,9067,9765,9133
AM,1302702,Manicoré,22051,22699,24702,26668
AM,1302801,Maraã,10726,12558,10410,8775
AM,1302900,Maués,17819,18857,22916,26404
AM,1303007,Nhamundá,8546,9047,10342,11268
AM,1303106,Nova Olinda do Norte,9830,13463,15957,17070
AM,1303205,Novo Airão,7278,2667,3836,5224
AM,1303304,Novo Aripuanã,7068,8065,7392,7377
AM,1303403,Parintins,21826,32025,35808,32143
AM,1303502,Pauini,12558,10122,9207,8902
AM,1303536,Presidente Figueiredo,4736,8987,12780,14174
AM,1303569,Rio Preto da Eva,6083,11350,12136,13514
AM,1303601,Santa Isabel do Rio Negro,9010,6341,10558,11290
AM,1303700,Santo Antônio do Içá,16672,20307,17516,11534
AM,1303809,São Gabriel da Cachoeira,17429,17574,22035,18842
AM,1303908,São Paulo de Olivença,14303,14343,18029,17159
AM,1303957,São Sebastião do Uatumã,1620,2443,2368,4801
AM,1304005,Silves,3879,4422,4378,4415
AM,1304062,Tabatinga,8505,11282,14295,15917
AM,1304104,Tapauá,9636,11181,9440,8459
AM,1304203,Tefé,14918,16759,15663,11384
AM,1304237,Tonantins,10651,11150,12794,8180
AM,1304260,Uarini,8433,6702,4555,5096
AM,1304302,Urucará,9547,10274,4940,7208
AM,1304401,Urucurituba,8050,5505,8435,7389
AP,1600055,Serra do Navio,1503,2077,2639,1805
AP,1600105,Amapá,1001,1199,1142,1110
AP,1600154,Pedra Branca do Amaparí,2141,2645,3249,4809
AP,1600204,Calçoene,1409,1459,1624,1693
AP,1600212,Cutias,1084,1838,2150,2254
AP,1600238,Ferreira Gomes,694,1039,1559,1627
AP,1600253,Itaubal,1249,1738,2028,2511
AP,1600279,Laranjal do Jari,8489,1723,1904,2038
AP,1600303,Macapá,11299,12680,15288,16990
AP,1600402,Mazagão,6141,6014,6517,8760
AP,1600501,Oiapoque,4230,5044,6578,6657
AP,1600535,Porto Grande,2140,3668,4750,6000
AP,1600550,Pracuúba,1049,1317,1766,1912
AP,1600600,Santana,3988,4590,1391,2151
AP,1600709,Tartarugalzinho,2452,3638,6287,6047
AP,1600808,Vitória do Jari,,1680,1294,2126
BA,2900108,Abaíra,8271,5508,5278,4580
BA,2900207,Abaré,7899,8120,9036,8035
BA,2900306,Acajutiba,2618,2138,2293,1879
BA,2900355,Adustina,8601,9818,9832,10130
BA,2900405,Água Fria,10749,10394,9591,9954
BA,2900504,Érico Cardoso,8925,10838,9057,8843
BA,2900603,Aiquara,3631,2589,2375,1922
BA,2900702,Alagoinhas,19260,17655,16893,17907
BA,2900801,Alcobaça,9316,13454,9334,10186
BA,2900900,Almadina,2957,2446,1302,1277
BA,2901007,Amargosa,11098,10224,10049,9460
BA,2901106,Amélia Rodrigues,5820,5112,3274,5233
BA,2901155,América Dourada,7243,5811,5659,5129
BA,2901205,Anagé,37342,26852,20991,20592
BA,2901304,Andaraí,9272,6718,6418,6187
BA,2901353,Andorinha,13085,11439,8521,8206
BA,2901403,Angical,10830,8666,7791,7542
BA,2901502,Anguera,5090,5378,5419,5916
BA,2901601,Antas,7073,9045,9764,10712
BA,2901700,Antônio Cardoso,9999,9304,9490,8329
BA,2901809,Antônio Gonçalves,8119,4456,5370,5232
BA,2901908,Aporá,9028,10223,9825,9226
BA,2901957,Apuarema,5469,3061,2263,2342
BA,2902005,Aracatu,13935,12304,10542,9805
BA,2902054,Araças,6573,5673,5760,5754
BA,2902104,Araci,33859,31395,33654,32013
BA,2902203,Aramari,5036,4967,5061,4911
BA,2902252,Arataca,6041,5735,5727,4804
BA,2902302,Aratuípe,3702,3594,3047,3086
BA,2902401,Aurelino Leal,3878,3209,2442,2169
BA,2902500,Baianópolis,9863,9452,10413,10368
BA,2902609,Baixa Grande,14249,13315,12804,11722
BA,2902658,Banzaê,9756,7742,7237,7772
BA,2902708,Barra,22027,24562,26729,26879
BA,2902807,Barra da Estiva,14035,15507,11620,10783
BA,2902906,Barra do Choça,22435,23097,11256,12381
BA,2903003,Barra do Mendes,7739,8031,7755,7731
BA,2903102,Barra do Rocha,5753,4649,2286,2507
BA,2903201,Barreiras,26240,16065,13588,13686
BA,2903235,Barro Alto,8725,6922,7207,6900
BA,2903276,Barrocas,,,8978,8496
BA,2903300,Governador Lomanto Júnior,2901,3443,1901,1158
BA,2903409,Belmonte,8351,9226,9940,10378
BA,2903508,Belo Campo,8759,9573,6891,6992
BA,2903607,Biritinga,11811,12294,10874,11319
BA,2903706,Boa Nova,13338,15955,10326,9607
BA,2903805,Boa Vista do Tupim,12515,12568,11762,11398
BA,2903904,Bom Jesus da Lapa,17509,16695,20494,20381
BA,2903953,Bom Jesus da Serra,10436,8549,7870,7345
BA,2904001,Boninal,10409,8640,9022,9088
BA,2904050,Bonito,8862,7401,7758,8602
BA,2904100,Boquira,15046,15521,14610,14673
BA,2904209,Botuporã,10093,8271,7310,7078
BA,2904308,Brejões,11445,10776,8250,9345
BA,2904407,Brejolândia,7964,6930,7214,9093
BA,2904506,Brotas de Macaúbas,11115,9953,7800,7599
BA,2904605,Brumado,22610,20960,19122,19471
BA,2904704,Buerarema,2876,2869,2964,3328
BA,2904753,Buritirama,11255,11873,11476,11695
BA,2904803,Caatiba,10631,11080,4758,6022
BA,2904852,Cabaceiras do Paraguaçu,12530,12242,13430,12683
BA,2904902,Cachoeira,14812,14585,15826,15639
BA,2905008,Caculé,9561,8808,9511,8927
BA,2905107,Caém,13204,9186,6812,6713
BA,2905156,Caetanos,10397,10764,9422,10348
BA,2905206,Caetité,22968,21631,20285,19068
BA,2905305,Cafarnaum,7865,6850,7601,6646
BA,2905404,Cairu,3263,4429,6032,7227
BA,2905503,Caldeirão Grande,11058,7314,8729,7933
BA,2905602,Camacan,16399,6773,6473,6787
BA,2905701,Camaçari,5964,7325,,10997
BA,2905800,Camamu,20065,21554,18779,19562
BA,2905909,Campo Alegre de Lourdes,20072,21068,21091,19964
BA,2906006,Campo Formoso,40868,40939,41072,41753
BA,2906105,Canápolis,7689,7205,7519,6185
BA,2906204,Canarana,12641,11910,13018,12612
BA,2906303,Canavieiras,8153,8979,7476,6433
BA,2906402,Candeal,7356,6704,5459,5419
BA,2906501,Candeias,6302,7656,6953,7164
BA,2906600,Candiba,7893,5965,5531,5485
BA,2906709,Cândido Sales,11415,9592,7519,8632
BA,2906808,Cansanção,22343,22726,22146,21887
BA,2906824,Canudos,11043,6749,7016,7034
BA,2906857,Capela do Alto Alegre,7948,7365,6410,5932
BA,2906873,Capim Grosso,8632,6047,5962,4815
BA,2906899,Caraíbas,14015,15740,8599,7709
BA,2906907,Caravelas,9322,9771,9567,10105
BA,2907004,Cardeal da Silva,4702,5202,5435,5998
BA,2907103,Carinhanha,16752,16789,16516,15795
BA,2907202,Casa Nova,26327,28464,30117,27397
BA,2907301,Castro Alves,11991,10914,10413,9722
BA,2907400,Catolândia,2246,2244,2798,1645
BA,2907509,Catu,11147,8915,8422,8322
BA,2907558,Caturama,9119,7077,6847,6469
BA,2907608,Central,7065,9155,9332,8856
BA,2907707,Chorrochó,7443,8016,8125,8103
BA,2907806,Cícero Dantas,14603,15137,13938,14574
BA,2907905,Cipó,4377,4758,4858,4468
BA,2908002,Coaraci,8169,4583,2168,1834
BA,2908101,Cocos,11392,11187,9745,9581
BA,2908200,Conceição da Feira,8911,6277,6982,7254
BA,2908309,Conceição do Almeida,10952,10594,9379,9963
BA,2908408,Conceição do Coité,29503,28291,27164,25762
BA,2908507,Conceição do Jacuípe,6590,6728,6655,6584
BA,2908606,Conde,11558,9934,10589,11491
BA,2908705,Condeúba,11367,11716,9718,9436
BA,2908804,Contendas do Sincorá,2510,1933,1570,2366
BA,2908903,Coração de Maria,16497,16290,14618,13001
BA,2909000,Cordeiros,7933,6093,5975,5617
BA,2909109,Coribe,10248,9453,8944,8166
BA,2909208,Coronel João Sá,15072,14127,11518,10023
BA,2909307,Correntina,19816,19228,19288,18645
BA,2909406,Cotegipe,7178,6827,7257,6988
BA,2909505,Cravolândia,1972,2001,1853,1861
BA,2909604,Crisópolis,12494,12182,11789,11434
BA,2909703,Cristópolis,10257,9987,10538,10147
BA,2909802,Cruz das Almas,16320,13445,8706,8721
BA,2909901,Curaçá,15457,18066,19402,18449
BA,2910008,Dário Meira,9325,10291,7556,7746
BA,2910057,Dias d'Ávila,4938,2660,3063,3967
BA,2910107,Dom Basílio,8644,8906,9368,9114
BA,2910206,Dom Macedo Costa,2775,2451,2267,2113
BA,2910305,Elísio Medrado,5562,5346,5110,4699
BA,2910404,Encruzilhada,26647,27941,17657,18636
BA,2910503,Entre Rios,12560,14494,14817,16032
BA,2910602,Esplanada,8971,9692,11290,11980
BA,2910701,Euclides da Cunha,29962,29354,30597,28873
BA,2910727,Eunápolis,10213,4959,6109,6783
BA,2910750,Fátima,12485,11955,12136,10736
BA,2910776,Feira da Mata,4577,3413,3108,2941
BA,2910800,Feira de Santana,56544,49219,,46007
BA,2910859,Filadélfia,11598,9228,7548,7718
BA,2910909,Firmino Alves,1593,1364,1188,1047
BA,2911006,Floresta Azul,5068,4066,2985,3317
BA,2911105,Formosa do Rio Preto,10277,8907,9400,8881
BA,2911204,Gandu,6618,5100,5618,5488
BA,2911253,Gavião,3067,2589,2107,2023
BA,2911303,Gentio do Ouro,5302,5271,5709,5272
BA,2911402,Glória,11401,12194,11188,12249
BA,2911501,Gongogi,3518,4272,2073,2999
BA,2911600,Governador Mangabeira,10702,10481,12504,12401
BA,2911659,Guajeru,10714,11113,5378,8335
BA,2911709,Guanambi,18818,17725,16920,16268
BA,2911808,Guaratinga,13312,14302,12382,11740
BA,2911857,Heliópolis,8819,8876,8254,7764
BA,2911907,Iaçu,7178,6865,6630,5568
BA,2912004,Ibiassucê,7762,8791,5020,5356
BA,2912103,Ibicaraí,11236,9528,6291,6387
BA,2912202,Ibicoara,7353,10437,10002,6321
BA,2912301,Ibicuí,5206,4675,4065,3821
BA,2912400,Ibipeba,9379,6080,6851,6959
BA,2912509,Ibipitanga,10319,9756,9558,9016
BA,2912608,Ibiquera,2462,2002,2449,2405
BA,2912707,Ibirapitanga,17861,15814,17132,16435
BA,2912806,Ibirapuã,4103,3523,3546,3424
BA,2912905,Ibirataia,7745,6015,5877,3201
BA,2913002,Ibitiara,13322,11729,12613,12071
BA,2913101,Ibititá,9532,9845,10140,9502
BA,2913200,Ibotirama,8467,7765,6582,5923
BA,2913309,Ichu,6296,2930,2770,1890
BA,2913408,Igaporã,7591,7456,7105,7341
BA,2913457,Igrapiúna,11656,12583,9336,9068
BA,2913507,Iguaí,11166,12577,13758,11125
BA,2913606,Ilhéus,69818,60002,,28955
BA,2913705,Inhambupe,15171,17008,20246,20671
BA,2913804,Ipecaetá,15839,16318,13674,12694
BA,2913903,Ipiaú,5808,5697,4591,4006
BA,2914000,Ipirá,42666,38426,32601,30334
BA,2914109,Ipupiara,3472,3357,3366,3306
BA,2914208,Irajuba,4464,3645,3821,3729
BA,2914307,Iramaia,9956,9871,7564,6586
BA,2914406,Iraquara,13439,13004,16975,15844
BA,2914505,Irará,16292,16506,15959,16220
BA,2914604,Irecê,7619,4293,4640,5162
BA,2914653,Itabela,7650,6909,6079,7006
BA,2914703,Itaberaba,14420,14426,13548,13146
BA,2914802,Itabuna,5459,5491,,5024
BA,2914901,Itacaré,11354,10169,10370,10676
BA,2915007,Itaeté,9079,8552,8543,8715
BA,2915106,Itagi,5651,4643,3745,2841
BA,2915205,Itagibá,7855,8424,6753,5621
BA,2915304,Itagimirim,1821,1787,1369,1461
BA,2915353,Itaguaçu da Bahia,11496,9322,10172,10611
BA,2915403,Itaju do Colônia,6453,2139,1675,1449
BA,2915502,Itajuípe,9430,6388,4612,4242
BA,2915601,Itamaraju,14649,16107,15306,13284
BA,2915700,Itamari,3092,2859,2617,2064
BA,2915809,Itambé,8059,8675,11463,3391
BA,2915908,Itanagra,3032,4511,4392,5271
BA,2916005,Itanhém,8543,7244,6548,6010
BA,2916104,Itaparica,,,,0
BA,2916203,Itapé,7117,5973,4422,3815
BA,2916302,Itapebi,3144,2584,1969,2227
BA,2916401,Itapetinga,3486,2749,2520,1997
BA,2916500,Itapicuru,19812,22230,24676,25586
BA,2916609,Itapitanga,3216,3287,2683,2616
BA,2916708,Itaquara,3660,3696,3001,3070
BA,2916807,Itarantim,4470,3963,3237,3237
BA,2916856,Itatim,3775,4000,4929,4410
BA,2916906,Itiruçu,5089,3714,4162,3167
BA,2917003,Itiúba,26408,26679,26279,26414
BA,2917102,Itororó,3095,3172,2238,1814
BA,2917201,Ituaçu,14095,12839,12107,11558
BA,2917300,Ituberá,7850,8223,6693,7339
BA,2917334,Iuiú,6926,5918,6343,5616
BA,2917359,Jaborandi,8503,8265,6539,5933
BA,2917409,Jacaraci,10389,9869,9655,8728
BA,2917508,Jacobina,28488,24404,23524,23379
BA,2917607,Jaguaquara,11642,11518,10056,12161
BA,2917706,Jaguarari,29285,14031,14167,13731
BA,2917805,Jaguaripe,8626,8790,10811,11169
BA,2917904,Jandaíra,3647,4520,3602,4184
BA,2918001,Jequié,30435,16906,12080,12469
BA,2918100,Jeremoabo,20001,20152,20621,20243
BA,2918209,Jiquiriçá,9803,9050,8182,8537
