Sigla,Code,Munic,1996,2000,2007,2010
AC,1200013,Acrelândia,1895,3506,5470,5916
AC,1200054,Assis Brasil,1857,2151,2956,3700
AC,1200104,Brasiléia,7290,9026,12243,14257
AC,1200138,Bujari,1111,1628,3034,3693
AC,1200179,Capixaba,989,1521,3154,3929
AC,1200203,Cruzeiro do Sul,32659,38971,50950,55326
AC,1200252,Epitaciolândia,5603,7404,9227,10618
AC,1200302,Feijó,9744,11240,15726,16636
AC,1200328,Jordão,548,863,1735,2272
AC,1200336,Mâncio Lima,4708,5794,8164,8750
AC,1200344,Manoel Urbano,2647,3281,4153,5278
AC,1200351,Marechal Thaumaturgo,499,985,3238,3969
AC,1200385,Plácido de Castro,3867,6979,8866,10382
AC,1200393,Porto Walter,1150,1441,2709,3323
AC,1200401,Rio Branco,201347,226298,269505,308545
AC,1200427,Rodrigues Alves,1854,2632,3674,4315
AC,1200435,Santa Rosa do Purus,327,518,1425,1892
AC,1200450,Senador Guiomard,6452,8640,11280,12703
AC,1200500,Sena Madureira,12310,16155,21356,25112
AC,1200609,Tarauacá,11386,13946,16608,19351
AC,1200708,Xapuri,6160,5995,7366,10330
AC,1200807,Porto Acre,868,1293,1841,1982
AL,2700102,Água Branca,3933,4496,5365,5101
AL,2700201,Anadia,8551,9108,9109,8949
AL,2700300,Arapiraca,138243,152354,163708,181481
AL,2700409,Atalaia,16598,17949,24794,22457
AL,2700508,Barra de Santo Antônio,5469,9574,12362,13242
AL,2700607,Barra de São Miguel,4732,5241,6122,6521
AL,2700706,Batalha,9003,10322,11347,12042
AL,2700805,Belém,1889,1823,1864,1872
AL,2700904,Belo Monte,1164,1226,1197,1171
AL,2701001,Boca da Mata,13282,15415,16495,17450
AL,2701100,Branquinha,3162,5888,6830,6673
AL,2701209,Cacimbinhas,3872,4236,5216,5402
AL,2701308,Cajueiro,12861,14048,16024,16484
AL,2701357,Campestre,,4725,5102,5540
AL,2701407,Campo Alegre,15294,16117,18594,22161
AL,2701506,Campo Grande,4950,3703,3953,4185
AL,2701605,Canapi,3962,4112,5081,5538
AL,2701704,Capela,11672,12227,12733,12650
AL,2701803,Carneiros,2853,3385,4428,4702
AL,2701902,Chã Preta,3339,3672,3685,4488
AL,2702009,Coité do Nóia,2465,2519,3639,3737
AL,2702108,Colônia Leopoldina,10819,11414,14454,15319
AL,2702207,Coqueiro Seco,4547,4574,4747,4973
AL,2702306,Coruripe,15881,22199,42680,46043
AL,2702355,Craíbas,5818,6608,7075,7328
AL,2702405,Delmiro Gouveia,31882,33563,33626,34854
AL,2702504,Dois Riachos,4224,4421,4826,5085
AL,2702553,Estrela de Alagoas,3127,3260,3753,4029
AL,2702603,Feira Grande,3177,3557,3281,3421
AL,2702702,Feliz Deserto,2846,2848,3288,3481
AL,2702801,Flexeiras,5798,6690,7630,8017
AL,2702900,Girau do Ponciano,8098,8858,10511,11298
AL,2703007,Ibateguara,7823,8277,8805,9335
AL,2703106,Igaci,5332,5886,5953,6184
AL,2703205,Igreja Nova,4211,4433,4837,4775
AL,2703304,Inhapi,4785,5937,6337,6699
AL,2703403,Jacaré dos Homens,2563,2826,2966,3032
AL,2703502,Jacuípe,3369,3344,3909,4355
AL,2703601,Japaratinga,2064,2511,3051,3308
AL,2703700,Jaramataia,2406,2887,3317,2913
AL,2703759,Jequiá da Praia,,,2539,2879
AL,2703809,Joaquim Gomes,10820,12606,14089,14477
AL,2703908,Jundiá,1909,2148,2914,2827
AL,2704005,Junqueiro,6254,6957,7578,7803
AL,2704104,Lagoa da Canoa,5892,8886,8883,9165
AL,2704203,Limoeiro de Anadia,1657,2105,2146,2246
AL,2704302,Maceió,667827,795804,896067,932129
AL,2704401,Major Isidoro,8439,8535,9349,9306
AL,2704500,Maragogi,10337,12902,17112,18625
AL,2704609,Maravilha,4679,5254,4665,5137
AL,2704708,Marechal Deodoro,17451,29837,37578,43392
AL,2704807,Maribondo,9546,10101,9896,9978
AL,2704906,Mar Vermelho,1181,1469,1667,1638
AL,2705002,Mata Grande,4693,4731,5240,5674
AL,2705101,Matriz de Camaragibe,16647,18262,20373,22096
AL,2705200,Messias,7584,9552,13612,14263
AL,2705309,Minador do Negrão,1793,1898,2078,2252
AL,2705408,Monteirópolis,2359,2691,2789,2515
AL,2705507,Murici,14881,17485,20839,22108
AL,2705606,Novo Lino,5075,5341,6978,7328
AL,2705705,Olho d'Água das Flores,11010,12996,13533,13989
AL,2705804,Olho d'Água do Casado,3628,3887,4213,4027
AL,2705903,Olho d'Água Grande,1019,1077,1205,1203
AL,2706000,Olivença,2005,2371,2538,3137
