Sigla,Codigo,Munic’pio,1991,2000
AM,1301803,Ipixuna,3554,5765
AM,1301852,Iranduba,6403,9940
AM,1301902,Itacoatiara,37380,46465
AM,1301951,Itamarati,1538,3103
AM,1302009,Itapiranga,3468,5295
AM,1302108,Japur‡,1417,2283
AM,1302207,Juru‡,1676,3052
AM,1302306,Juta’,9087,7725
AM,1302405,L‡brea,15444,19276
AM,1302504,Manacapuru,36019,47662
AM,1302553,Manaquiri,2391,4165
AM,1302603,Manaus,1006585,1396768
AM,1302702,Manicor_,14373,15339
AM,1302801,Mara‹,2199,4521
AM,1302900,Mau_s,16658,21179
AM,1303007,Nhamund‡,4847,6308
AM,1303106,Nova Olinda do Norte,6298,10262
AM,1303205,Novo Air‹o,5980,6984
AM,1303304,Novo Aripuan‹,5432,9054
AM,1303403,Parintins,41591,58125
AM,1303502,Pauini,2724,6970
AM,1303536,Presidente Figueiredo,3232,8407
AM,1303569,Rio Preto da Eva,2343,6232
AM,1303601,Santa Isabel do Rio Negro,2104,4220
AM,1303700,Santo Ant™nio do Iç‡,4472,7906
AM,1303809,S‹o Gabriel da Cachoeira,6835,12373
AM,1303908,S‹o Paulo de Olivença,5105,8770
AM,1303957,S‹o Sebasti‹o do Uatum‹,3410,4717
AM,1304005,Silves,2241,3363
AM,1304062,Tabatinga,19822,26637
AM,1304104,Tapau‡,7516,9414
AM,1304203,Tef_,39057,47698
AM,1304237,Tonantins,2491,4362
AM,1304260,Uarini,1305,3552
AM,1304302,Urucar‡,6143,8098
AM,1304401,Urucurituba,5971,6759
AP,1600055,Serra do Navio,1629,1216
AP,1600105,Amap‡,3522,5922
AP,1600154,Pedra Branca do Amapar’,1983,1364
AP,1600204,Calçoene,3904,5271
AP,1600212,Cutias,1622,1442
AP,1600238,Ferreira Gomes,1762,2523
AP,1600253,Itaubal,1431,1156
AP,1600279,Laranjal do Jari,14301,26792
AP,1600303,Macap‡,140136,270628
AP,1600402,Mazag‹o,3921,5972
AP,1600501,Oiapoque,4004,7842
AP,1600535,Porto Grande,5462,7374
AP,1600550,Pracuœba,1131,969
AP,1600600,Santana,45800,75849
AP,1600709,Tartarugalzinho,3522,3483
AP,1600808,Vit—ria do Jari,0,6880
BA,2900108,Aba’ra,2965,3559
BA,2900207,Abar_,2952,5528
BA,2900306,Acajutiba,9728,12184
BA,2900355,Adustina,2279,4484
BA,2900405,çgua Fria,3122,4324
BA,2900504,ƒrico Cardoso,1108,1322
BA,2900603,Aiquara,2455,2726
BA,2900702,Alagoinhas,99508,112440
BA,2900801,Alcobaça,5464,7446
BA,2900900,Almadina,6028,5416
BA,2901007,Amargosa,15831,20884
BA,2901106,Am_lia Rodrigues,16444,19022
BA,2901155,Am_rica Dourada,8247,10148
BA,2901205,Anag_,4341,4208
BA,2901304,Andara’,5825,7166
